Name,GoalKeeping,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
Claudio Marchisio,3.4,2.0,4.0,4.0,3.0,4.0
Miranda,10.6,13.0,12.0,10.0,6.0,12.0
Karim Benzema,8.2,5.0,13.0,5.0,11.0,7.0
Cesc Fàbregas,10.8,15.0,6.0,8.0,10.0,15.0
Franck Ribéry,9.4,7.0,15.0,9.0,6.0,10.0
Santi Cazorla,8.4,7.0,6.0,5.0,9.0,15.0
Andrea Barzagli,3.2,2.0,4.0,4.0,2.0,4.0
Harry Kane,10.8,14.0,8.0,11.0,10.0,11.0
Alexandre Lacazette,7.4,5.0,11.0,9.0,6.0,6.0
Keylor Navas,81.2,80.0,87.0,72.0,82.0,85.0
Romelu Lukaku,10.8,7.0,8.0,14.0,15.0,10.0
Christian Eriksen,8.6,7.0,9.0,7.0,14.0,6.0
İlkay Gündoğan,9.6,5.0,11.0,5.0,14.0,13.0
Toby Alderweireld,13.2,16.0,16.0,14.0,6.0,14.0
Willian,11.8,7.0,14.0,13.0,12.0,13.0
Miralem Pjanić,8.4,7.0,7.0,13.0,7.0,8.0
Juan Mata,9.2,5.0,9.0,14.0,10.0,8.0
Javi Martinez,9.0,11.0,5.0,9.0,12.0,8.0
Dimitri Payet,12.2,14.0,11.0,9.0,15.0,12.0
Dries Mertens,7.8,10.0,7.0,8.0,10.0,4.0
Sokratis,7.2,12.0,6.0,5.0,8.0,5.0
Marek Hamšik,9.2,14.0,8.0,4.0,6.0,14.0
Blaise Matuidi,9.6,10.0,8.0,5.0,11.0,14.0
Stéphane Ruffier,83.0,85.0,82.0,77.0,84.0,87.0
Laurent Koscielny,10.2,11.0,13.0,9.0,11.0,7.0
Filipe Luís,9.8,9.0,11.0,9.0,15.0,5.0
Vincent Kompany,7.6,8.0,10.0,5.0,9.0,6.0
Aymeric Laporte,9.0,14.0,10.0,5.0,11.0,5.0
Yannick Carrasco,9.8,10.0,9.0,9.0,11.0,10.0
Carvajal,13.0,9.0,13.0,15.0,13.0,15.0
Riyad Mahrez,10.8,11.0,15.0,13.0,9.0,6.0
Raphaël Varane,10.0,5.0,11.0,9.0,11.0,14.0
Mauro Icardi,8.6,7.0,13.0,5.0,9.0,9.0
Lorenzo Insigne,9.0,9.0,8.0,14.0,4.0,10.0
Isco,10.2,15.0,10.0,12.0,8.0,6.0
Koke,10.8,10.0,14.0,5.0,12.0,13.0
Kostas Manolas,9.8,15.0,8.0,8.0,6.0,12.0
Danijel Subašić,81.4,83.0,82.0,79.0,79.0,84.0
Nicolás Otamendi,9.6,11.0,12.0,8.0,5.0,12.0
Shkodran Mustafi,10.2,10.0,11.0,15.0,9.0,6.0
Nemanja Matić,11.4,14.0,7.0,12.0,15.0,9.0
Alex Sandro,8.0,12.0,7.0,9.0,7.0,5.0
Kamil Glik,9.4,8.0,10.0,5.0,14.0,10.0
Douglas Costa,10.8,12.0,13.0,9.0,15.0,5.0
Kevin Strootman,8.6,6.0,7.0,11.0,12.0,7.0
Nicolás Gaitán,8.0,7.0,8.0,9.0,11.0,5.0
Bruno,10.2,11.0,13.0,9.0,10.0,8.0
Ivan Perišić,7.6,9.0,6.0,10.0,7.0,6.0
David Luiz,10.8,7.0,11.0,10.0,12.0,14.0
Sami Khedira,9.6,15.0,11.0,5.0,9.0,8.0
Benedikt Höwedes,9.2,10.0,14.0,9.0,6.0,7.0
Ralf Fährmann,78.4,85.0,83.0,51.0,86.0,87.0
Sergio Asenjo,82.4,82.0,86.0,76.0,83.0,85.0
Éver Banega,9.0,7.0,13.0,7.0,8.0,10.0
Medhi Benatia,7.4,7.0,7.0,8.0,4.0,11.0
Steve Mandanda,81.6,80.0,86.0,77.0,80.0,85.0
Dani Alves,7.6,6.0,5.0,9.0,11.0,7.0
Arda Turan,10.4,12.0,11.0,11.0,7.0,11.0
Javier Mascherano,6.8,5.0,6.0,8.0,10.0,5.0
Aduriz,11.4,15.0,14.0,9.0,10.0,9.0
Yaya Touré,10.6,12.0,13.0,6.0,14.0,8.0
Eric Bailly,11.0,9.0,14.0,10.0,14.0,8.0
José María Giménez,10.4,10.0,9.0,7.0,11.0,15.0
N'Golo Kanté,10.8,7.0,15.0,10.0,12.0,10.0
Gerónimo Rulli,81.4,82.0,85.0,75.0,79.0,86.0
João Mário,9.0,8.0,6.0,8.0,15.0,8.0
André Gomes,9.8,14.0,12.0,6.0,9.0,8.0
Marquinhos,9.4,10.0,6.0,12.0,6.0,13.0
Carlos Bacca,9.0,5.0,12.0,8.0,12.0,8.0
William Carvalho,9.0,14.0,6.0,5.0,6.0,14.0
Karim Bellarabi,10.0,11.0,10.0,7.0,12.0,10.0
Raheem Sterling,12.6,15.0,15.0,12.0,12.0,9.0
Julian Draxler,10.0,13.0,11.0,5.0,13.0,8.0
Roberto Firmino,8.8,6.0,8.0,9.0,11.0,10.0
Marcos Rojo,10.4,15.0,7.0,12.0,8.0,10.0
Kalidou Koulibaly,8.6,13.0,7.0,7.0,11.0,5.0
Danilo Pereira,11.6,14.0,9.0,13.0,7.0,15.0
Timo Horn,82.2,82.0,80.0,83.0,82.0,84.0
Casemiro,13.4,12.0,13.0,16.0,14.0,12.0
Vitolo,13.0,14.0,11.0,8.0,16.0,16.0
Anthony Lopes,81.8,77.0,86.0,80.0,79.0,87.0
Mattia Perin,80.8,78.0,80.0,71.0,85.0,90.0
Joel Matip,10.6,7.0,11.0,10.0,15.0,10.0
Juan Cuadrado,7.6,6.0,5.0,13.0,5.0,9.0
Iago Aspas,12.4,12.0,12.0,9.0,16.0,13.0
Marc-André ter Stegen,82.2,78.0,84.0,83.0,81.0,85.0
Mario Götze,9.8,6.0,14.0,12.0,7.0,10.0
Ander Herrera,10.6,9.0,9.0,15.0,12.0,8.0
Javier Pastore,10.2,10.0,14.0,6.0,9.0,12.0
Chris Smalling,14.2,15.0,10.0,16.0,15.0,15.0
Pedro,10.4,15.0,5.0,12.0,11.0,9.0
Giacomo Bonaventura,12.0,15.0,10.0,7.0,14.0,14.0
Roman Bürki,80.6,80.0,83.0,73.0,82.0,85.0
Oscar,12.2,12.0,12.0,15.0,10.0,12.0
Steven N'Zonzi,13.6,16.0,7.0,16.0,16.0,13.0
Aaron Ramsey,8.0,10.0,6.0,5.0,11.0,8.0
Mateo Musacchio,9.2,6.0,5.0,12.0,11.0,12.0
Ömer Toprak,11.4,12.0,11.0,11.0,8.0,15.0
José Callejón,9.8,11.0,8.0,14.0,5.0,11.0
Adrien Silva,9.2,10.0,15.0,8.0,6.0,7.0
Azpilicueta,8.6,6.0,13.0,10.0,9.0,5.0
Sebastian Giovinco,4.2,3.0,6.0,6.0,3.0,3.0
Anthony Modeste,9.2,6.0,10.0,11.0,11.0,8.0
Mario Mandžukić,9.2,8.0,10.0,5.0,8.0,15.0
Adam Lallana,10.8,8.0,6.0,14.0,15.0,11.0
Olivier Giroud,9.8,6.0,12.0,11.0,15.0,5.0
Rui Patrício,81.4,79.0,85.0,80.0,81.0,82.0
Yann Sommer,81.8,80.0,81.0,83.0,82.0,83.0
Jonas,8.6,8.0,12.0,7.0,11.0,5.0
Kévin Gameiro,7.6,8.0,6.0,8.0,10.0,6.0
Claudio Bravo,82.4,77.0,82.0,87.0,84.0,82.0
Łukasz Piszczek,11.4,6.0,14.0,14.0,11.0,12.0
Jan Vertonghen,8.8,12.0,6.0,9.0,10.0,7.0
Asmir Begović,80.4,80.0,83.0,74.0,81.0,84.0
Naldo,12.0,8.0,14.0,14.0,10.0,14.0
Daniel Sturridge,9.8,5.0,7.0,9.0,15.0,13.0
José Fonte,10.0,10.0,7.0,16.0,11.0,6.0
Ezequiel Garay,12.0,13.0,14.0,13.0,6.0,14.0
Samir Nasri,1.0,1.0,1.0,1.0,1.0,1.0
Gary Cahill,8.6,5.0,5.0,9.0,12.0,12.0
Ashley Williams,10.0,7.0,7.0,16.0,10.0,10.0
Leighton Baines,11.6,13.0,8.0,10.0,15.0,12.0
Kasper Schmeichel,82.8,80.0,83.0,86.0,80.0,85.0
Borja Valero,6.8,8.0,5.0,10.0,4.0,7.0
Hatem Ben Arfa,10.8,13.0,12.0,9.0,8.0,12.0
Joe Hart,80.8,81.0,83.0,75.0,80.0,85.0
Juanfran,11.4,15.0,11.0,10.0,14.0,7.0
Wesley Sneijder,10.0,11.0,9.0,13.0,5.0,12.0
Nani,8.0,6.0,5.0,13.0,10.0,6.0
Stephan Lichtsteiner,2.8,3.0,4.0,2.0,3.0,2.0
Wayne Rooney,9.8,8.0,10.0,13.0,11.0,7.0
Daniele De Rossi,9.8,10.0,10.0,13.0,7.0,9.0
José Reina,81.8,82.0,80.0,82.0,83.0,82.0
Quaresma,11.2,5.0,12.0,10.0,14.0,15.0
Marco Asensio,10.0,12.0,13.0,6.0,9.0,10.0
Bernardo Silva,10.8,12.0,9.0,14.0,10.0,9.0
Islam Slimani,10.2,15.0,10.0,6.0,9.0,11.0
Jonathan Tah,9.8,9.0,11.0,7.0,8.0,14.0
Anthony Martial,10.2,15.0,9.0,8.0,8.0,11.0
Dele Alli,8.2,11.0,7.0,9.0,6.0,8.0
Ederson,80.8,78.0,81.0,82.0,76.0,87.0
Mohamed Salah,12.4,11.0,14.0,9.0,14.0,14.0
Sadio Mané,11.2,7.0,10.0,15.0,10.0,14.0
Lucas Vázquez,10.0,9.0,9.0,9.0,16.0,7.0
Franco Vázquez,11.6,9.0,14.0,13.0,15.0,7.0
Manu Trigueros,10.0,7.0,9.0,12.0,14.0,8.0
Samuel Umtiti,13.2,12.0,15.0,14.0,10.0,15.0
Stefan Savić,13.2,13.0,14.0,14.0,13.0,12.0
Roque Mesa,10.0,11.0,15.0,7.0,8.0,9.0
Loris Karius,79.8,79.0,84.0,76.0,75.0,85.0
Alessandro Florenzi,9.6,11.0,9.0,10.0,8.0,10.0
Virgil van Dijk,11.6,11.0,13.0,13.0,10.0,11.0
Jack Butland,80.2,79.0,81.0,73.0,83.0,85.0
Morata,4.4,4.0,4.0,4.0,5.0,5.0
Lucas,10.8,7.0,9.0,14.0,10.0,14.0
Yevhen Konoplyanka,9.8,9.0,5.0,15.0,11.0,9.0
Francesco Acerbi,10.6,13.0,11.0,9.0,9.0,11.0
Nolito,10.6,8.0,10.0,12.0,15.0,8.0
Granit Xhaka,9.2,7.0,7.0,11.0,8.0,13.0
Stefan de Vrij,10.4,14.0,8.0,7.0,10.0,13.0
Jonathan Viera,12.8,14.0,16.0,9.0,16.0,9.0
Pizzi,12.4,9.0,15.0,9.0,14.0,15.0
Serge Aurier,11.4,16.0,7.0,15.0,10.0,9.0
Grzegorz Krychowiak,10.0,6.0,15.0,8.0,14.0,7.0
Kevin Kampl,10.6,6.0,13.0,7.0,11.0,16.0
Dejan Lovren,11.6,10.0,14.0,13.0,14.0,7.0
Gary Medel,8.4,6.0,14.0,9.0,7.0,6.0
Idrissa Gueye,9.4,12.0,8.0,8.0,6.0,13.0
Víctor Ruíz,9.2,6.0,12.0,6.0,8.0,14.0
Ricardo Rodríguez,13.2,14.0,14.0,14.0,13.0,11.0
Xherdan Shaqiri,11.8,11.0,13.0,12.0,12.0,11.0
Ciro Immobile,9.4,12.0,6.0,15.0,8.0,6.0
Nathaniel Clyne,11.2,15.0,10.0,13.0,11.0,7.0
Iborra,10.8,15.0,14.0,6.0,11.0,8.0
Jack Wilshere,11.2,9.0,6.0,15.0,15.0,11.0
Shinji Kagawa,10.0,9.0,11.0,8.0,9.0,13.0
Kevin Trapp,81.0,80.0,83.0,79.0,79.0,84.0
Taison,10.6,15.0,7.0,11.0,7.0,13.0
Kyle Walker,11.4,15.0,12.0,16.0,6.0,8.0
Marlos,9.8,8.0,6.0,13.0,13.0,9.0
Luiz Gustavo,10.4,12.0,10.0,11.0,6.0,13.0
Giuliano,11.4,9.0,16.0,13.0,11.0,8.0
Gylfi Sigurðsson,11.6,15.0,13.0,10.0,8.0,12.0
Yacine Brahimi,11.0,7.0,13.0,12.0,16.0,7.0
Marko Arnautović,12.8,10.0,14.0,10.0,15.0,15.0
Jordan Henderson,9.8,9.0,7.0,7.0,13.0,13.0
Orestis Karnezis,79.4,80.0,80.0,70.0,83.0,84.0
Mamadou Sakho,10.0,7.0,14.0,9.0,12.0,8.0
Adil Rami,4.2,5.0,5.0,5.0,3.0,3.0
Fernando Néstor Muslera,79.8,83.0,81.0,75.0,75.0,85.0
Vedran Ćorluka,11.2,14.0,15.0,12.0,9.0,6.0
Edin Džeko,12.6,15.0,9.0,13.0,11.0,15.0
Séamus Coleman,10.0,13.0,5.0,10.0,15.0,7.0
Javier Hernández,11.6,12.0,14.0,9.0,12.0,11.0
Beñat,11.8,6.0,16.0,14.0,10.0,13.0
Lars Bender,8.8,12.0,12.0,7.0,6.0,7.0
Axel Witsel,7.2,10.0,5.0,7.0,7.0,7.0
Morgan Schneiderlin,10.0,14.0,6.0,12.0,11.0,7.0
Kevin Mirallas,12.0,13.0,8.0,14.0,10.0,15.0
Carlos Vela,10.6,13.0,8.0,8.0,14.0,10.0
Emiliano Viviano,81.0,78.0,81.0,79.0,84.0,83.0
Antonio Valencia,10.2,7.0,16.0,10.0,11.0,7.0
Gonzalo Castro,12.0,10.0,14.0,13.0,8.0,15.0
Falcao,8.6,9.0,10.0,6.0,13.0,5.0
Diego Alves,79.6,76.0,86.0,76.0,75.0,85.0
Andrea Consigli,80.6,81.0,82.0,72.0,84.0,84.0
João Moutinho,13.8,13.0,13.0,15.0,15.0,13.0
Moussa Dembélé,14.2,16.0,16.0,11.0,14.0,14.0
Michael Krohn-Dehli,12.0,16.0,10.0,15.0,8.0,11.0
Loïc Perrin,10.0,11.0,6.0,12.0,7.0,14.0
Lucas Biglia,10.4,12.0,14.0,7.0,12.0,7.0
Benoît Costil,81.2,82.0,82.0,78.0,80.0,84.0
Raúl Albiol,7.2,9.0,8.0,5.0,6.0,8.0
Mario Gómez,9.2,7.0,8.0,9.0,8.0,14.0
Gabi,8.6,5.0,6.0,10.0,12.0,10.0
Diego López,78.6,83.0,75.0,72.0,84.0,79.0
Raffael,10.8,13.0,12.0,5.0,10.0,14.0
Alejandro Gómez,9.2,9.0,8.0,12.0,11.0,6.0
Gonzalo Rodríguez,9.6,12.0,12.0,11.0,4.0,9.0
Vincent Enyeama,80.2,78.0,77.0,76.0,80.0,90.0
Kaká,3.8,3.0,3.0,5.0,5.0,3.0
Fernandinho,9.6,13.0,12.0,5.0,11.0,7.0
David Villa,9.2,11.0,8.0,9.0,9.0,9.0
Victor Valdés,80.2,84.0,81.0,75.0,78.0,83.0
Per Mertesacker,10.0,12.0,12.0,5.0,13.0,8.0
Patrice Evra,4.2,5.0,3.0,5.0,5.0,3.0
Xabi Alonso,9.0,10.0,7.0,10.0,8.0,10.0
Michael Carrick,12.0,15.0,13.0,11.0,12.0,9.0
Andrea Pirlo,3.4,5.0,5.0,1.0,4.0,2.0
Casillas,76.4,80.0,86.0,58.0,74.0,84.0
Ousmane Dembélé,9.8,10.0,6.0,14.0,6.0,13.0
Corentin Tolisso,10.8,9.0,7.0,14.0,10.0,14.0
Marcelo Brozović,10.0,11.0,8.0,15.0,8.0,8.0
Federico Bernardeschi,12.8,13.0,14.0,10.0,15.0,12.0
Niklas Süle,11.6,7.0,15.0,14.0,7.0,15.0
Domenico Berardi,5.4,5.0,5.0,5.0,6.0,6.0
Morgan Sanson,11.2,9.0,6.0,16.0,16.0,9.0
Samu Castillejo,13.2,8.0,13.0,15.0,16.0,14.0
Adrien Rabiot,10.4,7.0,9.0,9.0,12.0,15.0
Leon Goretzka,11.2,11.0,13.0,15.0,8.0,9.0
Quincy Promes,9.8,7.0,10.0,6.0,13.0,13.0
Andrea Belotti,10.6,14.0,13.0,12.0,7.0,7.0
Jonas Hector,11.0,12.0,9.0,10.0,10.0,14.0
Mateo Kovačić,6.8,7.0,9.0,6.0,5.0,7.0
Sergio Rico,80.2,81.0,80.0,78.0,79.0,83.0
Oleg Shatov,11.6,12.0,13.0,10.0,9.0,14.0
Jorginho,11.2,14.0,14.0,13.0,7.0,8.0
Florian Thauvin,10.4,10.0,8.0,14.0,11.0,9.0
Michy Batshuayi,11.4,7.0,9.0,16.0,10.0,15.0
Iñigo Martínez,12.6,13.0,12.0,11.0,16.0,11.0
Suso,11.2,8.0,15.0,9.0,15.0,9.0
Deulofeu,12.8,11.0,12.0,14.0,16.0,11.0
Felipe Anderson,8.6,5.0,12.0,9.0,10.0,7.0
Jasper Cillessen,78.8,81.0,79.0,74.0,83.0,77.0
Wissam Ben Yedder,8.4,7.0,6.0,9.0,13.0,7.0
Lucas Pérez,10.0,10.0,14.0,8.0,8.0,10.0
Ross Barkley,10.2,6.0,9.0,12.0,14.0,10.0
Cédric Bakambu,9.0,14.0,6.0,6.0,13.0,6.0
Bartra,11.6,12.0,10.0,13.0,15.0,8.0
André Schürrle,10.2,9.0,7.0,12.0,11.0,12.0
Roberto Pereyra,4.8,4.0,4.0,3.0,5.0,8.0
Mario Gaspar,10.6,9.0,9.0,8.0,12.0,15.0
Fabián Orellana,13.0,16.0,12.0,15.0,7.0,15.0
Lukáš Hrádecký,79.2,79.0,79.0,77.0,76.0,85.0
Daley Blind,11.0,14.0,12.0,10.0,9.0,10.0
De Marcos,10.2,15.0,8.0,13.0,6.0,9.0
Wilfried Bony,8.2,7.0,10.0,5.0,8.0,11.0
Iturraspe,8.6,7.0,7.0,8.0,12.0,9.0
Parejo,9.6,14.0,5.0,12.0,9.0,8.0
Salomón Rondón,10.4,5.0,13.0,7.0,13.0,14.0
Daniel Carriço,13.2,15.0,14.0,15.0,10.0,12.0
Bas Dost,10.4,11.0,6.0,15.0,12.0,8.0
James McCarthy,10.8,10.0,12.0,8.0,11.0,13.0
Camacho,11.0,8.0,9.0,15.0,13.0,10.0
Paulinho,11.4,6.0,16.0,11.0,16.0,8.0
Alan Dzagoev,12.6,14.0,11.0,12.0,16.0,10.0
Igor Smolnikov,10.4,8.0,7.0,10.0,12.0,15.0
Lars Stindl,10.6,11.0,7.0,13.0,10.0,12.0
Mario Balotelli,2.4,4.0,2.0,2.0,2.0,2.0
Wojciech Szczęsny,79.2,77.0,83.0,74.0,77.0,85.0
Nikola Kalinić,9.4,11.0,9.0,9.0,11.0,7.0
Mikel San José,10.0,8.0,10.0,10.0,6.0,16.0
Christian Benteke,8.8,8.0,14.0,12.0,5.0,5.0
Marco Parolo,8.8,7.0,13.0,6.0,9.0,9.0
Ljubomir Fejsa,12.8,11.0,14.0,13.0,12.0,14.0
Martín Cáceres,3.0,2.0,2.0,4.0,3.0,4.0
Georginio Wijnaldum,10.8,12.0,16.0,14.0,6.0,6.0
Federico Fazio,10.8,11.0,8.0,12.0,9.0,14.0
Simon Kjær,10.8,10.0,6.0,13.0,10.0,15.0
Loïc Rémy,12.0,14.0,9.0,15.0,10.0,12.0
Miguel Layún,10.4,12.0,7.0,6.0,16.0,11.0
Adán,79.6,81.0,80.0,72.0,83.0,82.0
Benoît Trémoulinas,10.4,14.0,5.0,11.0,14.0,8.0
Sven Bender,11.4,14.0,13.0,8.0,7.0,15.0
Mathieu Valbuena,9.6,6.0,14.0,8.0,12.0,8.0
Bojan,9.6,14.0,5.0,8.0,14.0,7.0
Augusto Fernández,10.6,16.0,9.0,6.0,13.0,9.0
Antonio Candreva,9.2,4.0,10.0,14.0,4.0,14.0
Davide Astori,4.0,4.0,4.0,4.0,4.0,4.0
Raúl García,15.0,16.0,14.0,14.0,16.0,15.0
Giovani dos Santos,7.6,7.0,6.0,11.0,9.0,5.0
Erik Lamela,11.4,8.0,10.0,11.0,15.0,13.0
Ryan Shawcross,11.4,13.0,10.0,7.0,12.0,15.0
Danny Rose,11.0,13.0,10.0,8.0,11.0,13.0
Renato Augusto,11.2,15.0,6.0,16.0,11.0,8.0
Martin Škrtel,8.8,6.0,15.0,7.0,5.0,11.0
Theo Walcott,9.0,9.0,11.0,9.0,8.0,8.0
Bacary Sagna,9.0,9.0,11.0,7.0,9.0,9.0
Dante,10.2,6.0,14.0,10.0,8.0,13.0
Salomon Kalou,8.8,7.0,8.0,14.0,9.0,6.0
André-Pierre Gignac,12.2,11.0,10.0,14.0,15.0,11.0
Lukas Podolski,10.6,9.0,10.0,16.0,9.0,9.0
Negredo,9.6,7.0,11.0,11.0,6.0,13.0
Pablo Zabaleta,10.2,7.0,10.0,15.0,14.0,5.0
Darijo Srna,8.8,6.0,10.0,6.0,10.0,12.0
Cédric Carrasso,79.8,79.0,78.0,81.0,79.0,82.0
Rubén Castro,11.4,8.0,14.0,15.0,8.0,12.0
Jérémy Mathieu,10.2,9.0,13.0,10.0,14.0,5.0
Carlos Idriss Kameni,79.8,77.0,84.0,74.0,82.0,82.0
Moyá,81.0,81.0,85.0,82.0,78.0,79.0
Rune Almenning Jarstein,80.0,85.0,77.0,75.0,80.0,83.0
Jermain Defoe,10.4,10.0,7.0,8.0,14.0,13.0
Thiago Motta,9.2,5.0,10.0,7.0,10.0,14.0
Fernando Torres,10.8,9.0,14.0,8.0,13.0,10.0
Júlio César,76.8,79.0,83.0,62.0,78.0,82.0
Didier Drogba,9.8,6.0,10.0,8.0,11.0,14.0
Danny,8.0,11.0,7.0,6.0,11.0,5.0
John Terry,9.6,15.0,14.0,6.0,5.0,8.0
Samuel Eto'o,10.6,13.0,7.0,11.0,10.0,12.0
Tiago,9.6,8.0,6.0,12.0,8.0,14.0
Gelson Martins,8.6,6.0,12.0,7.0,9.0,9.0
Leroy Sané,10.4,9.0,8.0,9.0,12.0,14.0
Julian Weigl,10.8,11.0,6.0,16.0,14.0,7.0
Nabil Fekir,12.2,14.0,15.0,8.0,9.0,15.0
Jean Michaël Seri,11.6,10.0,14.0,9.0,13.0,12.0
Williams,13.2,10.0,14.0,14.0,15.0,13.0
Marco Sportiello,78.6,78.0,82.0,72.0,78.0,83.0
Keita Baldé Diao,11.2,8.0,12.0,13.0,8.0,15.0
Nikola Maksimović,10.4,11.0,12.0,5.0,9.0,15.0
Thomas Lemar,12.0,7.0,11.0,13.0,15.0,14.0
Kingsley Coman,4.2,3.0,5.0,5.0,3.0,5.0
Alisson,77.0,78.0,75.0,70.0,76.0,86.0
Joshua Kimmich,12.0,15.0,8.0,7.0,15.0,15.0
Julian Brandt,11.0,8.0,11.0,11.0,16.0,9.0
Sofiane Boufal,11.2,14.0,9.0,10.0,16.0,7.0
Bruma,10.4,12.0,11.0,8.0,13.0,8.0
Daniele Rugani,6.0,5.0,5.0,5.0,10.0,5.0
Raphaël Guerreiro,9.0,11.0,12.0,8.0,6.0,8.0
Fabinho,9.4,8.0,13.0,6.0,12.0,8.0
Jamie Vardy,12.4,15.0,15.0,7.0,14.0,11.0
Hakim Ziyech,10.2,8.0,11.0,11.0,7.0,14.0
Emil Forsberg,11.0,15.0,13.0,9.0,7.0,11.0
Saúl,10.2,10.0,7.0,12.0,13.0,9.0
Felipe,10.0,9.0,9.0,14.0,11.0,7.0
Taras Stepanenko,12.0,14.0,15.0,9.0,13.0,9.0
Luke Shaw,9.8,7.0,10.0,13.0,12.0,7.0
Leo Baptistao,9.2,6.0,8.0,9.0,14.0,9.0
Antonio Rüdiger,11.8,12.0,14.0,10.0,15.0,8.0
Matija Nastasić,13.2,15.0,11.0,11.0,16.0,13.0
Denis Suárez,9.6,7.0,10.0,10.0,14.0,7.0
Kurt Zouma,11.8,9.0,14.0,7.0,14.0,15.0
John Brooks,8.8,9.0,8.0,10.0,7.0,10.0
Héctor Bellerín,12.2,13.0,8.0,14.0,14.0,12.0
Thorgan Hazard,7.4,7.0,6.0,7.0,9.0,8.0
Davy Klaassen,11.4,16.0,12.0,13.0,6.0,10.0
Valère Germain,11.0,9.0,14.0,11.0,7.0,14.0
Paul-Georges Ntep,9.4,8.0,15.0,9.0,9.0,6.0
Layvin Kurzawa,11.0,9.0,14.0,7.0,10.0,15.0
Rafinha,10.4,13.0,11.0,15.0,6.0,7.0
