Name,Passing,Vision,Crossing,Short_Pass,Long_Pass,Curve,Volleys
Thiago,84.33333333333333,85.0,72.0,90.0,86.0,83.0,90.0
Jordi Alba,72.83333333333333,68.0,83.0,79.0,70.0,77.0,60.0
Coutinho,81.0,87.0,77.0,85.0,78.0,84.0,75.0
Ángel Di María,83.0,85.0,88.0,83.0,82.0,83.0,77.0
Diego Costa,67.0,74.0,65.0,67.0,52.0,62.0,82.0
Edinson Cavani,71.83333333333333,77.0,70.0,75.0,50.0,75.0,84.0
Radja Nainggolan,77.0,76.0,73.0,84.0,81.0,73.0,75.0
Marcelo,75.5,75.0,87.0,81.0,76.0,80.0,54.0
Claudio Marchisio,81.0,84.0,76.0,87.0,85.0,78.0,76.0
Miranda,52.333333333333336,53.0,48.0,65.0,65.0,32.0,51.0
Karim Benzema,75.16666666666667,85.0,75.0,86.0,47.0,79.0,79.0
Cesc Fàbregas,85.83333333333333,91.0,85.0,91.0,90.0,77.0,81.0
Franck Ribéry,81.83333333333333,86.0,81.0,86.0,75.0,83.0,80.0
Santi Cazorla,83.0,85.0,85.0,86.0,84.0,86.0,72.0
Andrea Barzagli,52.166666666666664,58.0,40.0,65.0,65.0,50.0,35.0
Harry Kane,70.83333333333333,72.0,70.0,75.0,67.0,71.0,70.0
Alexandre Lacazette,75.16666666666667,77.0,70.0,80.0,68.0,74.0,82.0
Keylor Navas,25.666666666666668,54.0,11.0,30.0,37.0,11.0,11.0
Romelu Lukaku,69.5,70.0,68.0,71.0,68.0,64.0,76.0
Christian Eriksen,82.66666666666667,88.0,84.0,87.0,83.0,85.0,69.0
İlkay Gündoğan,81.66666666666667,87.0,74.0,90.0,83.0,81.0,75.0
Toby Alderweireld,64.5,64.0,64.0,77.0,81.0,63.0,38.0
Willian,76.0,83.0,75.0,82.0,77.0,80.0,59.0
Miralem Pjanić,83.16666666666667,88.0,80.0,89.0,85.0,86.0,71.0
Juan Mata,81.33333333333333,87.0,83.0,86.0,77.0,84.0,71.0
Javi Martinez,68.16666666666667,74.0,60.0,77.0,76.0,61.0,61.0
Dimitri Payet,85.33333333333333,87.0,86.0,86.0,84.0,90.0,79.0
Dries Mertens,77.0,81.0,77.0,80.0,74.0,80.0,70.0
Sokratis,51.666666666666664,52.0,47.0,64.0,64.0,37.0,46.0
Marek Hamšik,81.83333333333333,86.0,78.0,87.0,81.0,80.0,79.0
Blaise Matuidi,75.0,75.0,75.0,84.0,79.0,65.0,72.0
Stéphane Ruffier,26.166666666666668,49.0,11.0,33.0,34.0,17.0,13.0
Laurent Koscielny,52.0,56.0,54.0,76.0,69.0,22.0,35.0
Filipe Luís,73.16666666666667,70.0,84.0,78.0,77.0,74.0,56.0
Vincent Kompany,59.666666666666664,59.0,61.0,65.0,66.0,61.0,46.0
Aymeric Laporte,60.5,52.0,58.0,73.0,78.0,62.0,40.0
Yannick Carrasco,75.33333333333333,74.0,80.0,77.0,72.0,81.0,68.0
Carvajal,66.33333333333333,57.0,83.0,81.0,71.0,72.0,34.0
Riyad Mahrez,77.5,79.0,80.0,80.0,76.0,79.0,71.0
Raphaël Varane,54.333333333333336,56.0,36.0,72.0,74.0,46.0,42.0
Mauro Icardi,62.666666666666664,64.0,46.0,73.0,54.0,58.0,81.0
Lorenzo Insigne,78.66666666666667,85.0,82.0,81.0,72.0,78.0,74.0
Isco,78.66666666666667,84.0,72.0,84.0,82.0,86.0,64.0
Koke,80.83333333333333,89.0,84.0,86.0,85.0,85.0,56.0
Kostas Manolas,36.0,22.0,27.0,60.0,61.0,30.0,16.0
Danijel Subašić,25.0,52.0,11.0,24.0,26.0,24.0,13.0
Nicolás Otamendi,56.5,45.0,52.0,70.0,66.0,50.0,56.0
Shkodran Mustafi,59.666666666666664,55.0,51.0,77.0,69.0,55.0,51.0
Nemanja Matić,75.0,77.0,68.0,83.0,80.0,68.0,74.0
Alex Sandro,75.0,70.0,86.0,79.0,69.0,78.0,68.0
Kamil Glik,37.0,23.0,29.0,59.0,59.0,35.0,17.0
Douglas Costa,77.5,80.0,79.0,80.0,72.0,81.0,73.0
Kevin Strootman,77.5,84.0,74.0,86.0,83.0,75.0,63.0
Nicolás Gaitán,82.33333333333333,82.0,83.0,82.0,78.0,88.0,81.0
Bruno,72.66666666666667,83.0,60.0,87.0,86.0,72.0,48.0
Ivan Perišić,78.16666666666667,78.0,84.0,81.0,73.0,73.0,80.0
David Luiz,71.83333333333333,69.0,68.0,79.0,78.0,70.0,67.0
Sami Khedira,77.0,80.0,72.0,85.0,81.0,68.0,76.0
Benedikt Höwedes,54.833333333333336,57.0,58.0,74.0,64.0,38.0,38.0
Ralf Fährmann,22.666666666666668,42.0,14.0,25.0,26.0,18.0,11.0
Sergio Asenjo,32.166666666666664,46.0,24.0,39.0,39.0,23.0,22.0
Éver Banega,81.5,88.0,80.0,88.0,85.0,83.0,65.0
Medhi Benatia,47.833333333333336,47.0,45.0,65.0,65.0,34.0,31.0
Steve Mandanda,26.666666666666668,55.0,14.0,37.0,28.0,13.0,13.0
Dani Alves,77.66666666666667,78.0,84.0,81.0,77.0,78.0,68.0
Arda Turan,82.5,86.0,82.0,85.0,81.0,81.0,80.0
Javier Mascherano,66.5,68.0,63.0,79.0,75.0,63.0,51.0
Aduriz,65.83333333333333,73.0,54.0,71.0,52.0,61.0,84.0
Yaya Touré,78.16666666666667,85.0,67.0,86.0,83.0,80.0,68.0
Eric Bailly,48.666666666666664,41.0,41.0,72.0,56.0,46.0,36.0
José María Giménez,44.333333333333336,27.0,47.0,68.0,58.0,36.0,30.0
N'Golo Kanté,68.5,76.0,67.0,84.0,79.0,49.0,56.0
Gerónimo Rulli,26.666666666666668,58.0,12.0,32.0,23.0,19.0,16.0
João Mário,77.16666666666667,82.0,77.0,83.0,78.0,74.0,69.0
André Gomes,76.33333333333333,83.0,61.0,85.0,84.0,82.0,63.0
Marquinhos,58.833333333333336,51.0,72.0,77.0,73.0,49.0,31.0
Carlos Bacca,67.0,66.0,60.0,72.0,50.0,72.0,82.0
William Carvalho,71.16666666666667,77.0,58.0,83.0,86.0,66.0,57.0
Karim Bellarabi,73.66666666666667,79.0,78.0,81.0,62.0,70.0,72.0
Raheem Sterling,69.83333333333333,76.0,72.0,81.0,67.0,64.0,59.0
Julian Draxler,79.16666666666667,80.0,78.0,83.0,72.0,78.0,84.0
Roberto Firmino,78.66666666666667,83.0,72.0,83.0,76.0,80.0,78.0
Marcos Rojo,65.5,57.0,75.0,72.0,73.0,67.0,49.0
Kalidou Koulibaly,35.166666666666664,34.0,30.0,57.0,48.0,28.0,14.0
Danilo Pereira,63.833333333333336,69.0,50.0,81.0,79.0,48.0,56.0
Timo Horn,27.833333333333332,55.0,19.0,35.0,32.0,12.0,14.0
Casemiro,66.33333333333333,72.0,52.0,80.0,82.0,59.0,53.0
Vitolo,78.66666666666667,78.0,80.0,81.0,82.0,76.0,75.0
Anthony Lopes,27.0,52.0,19.0,32.0,31.0,15.0,13.0
Mattia Perin,25.5,44.0,11.0,33.0,31.0,15.0,19.0
Joel Matip,65.5,72.0,54.0,77.0,77.0,63.0,50.0
Juan Cuadrado,74.5,70.0,78.0,77.0,73.0,76.0,73.0
Iago Aspas,75.5,68.0,69.0,80.0,67.0,83.0,86.0
Marc-André ter Stegen,28.666666666666668,57.0,15.0,30.0,38.0,18.0,14.0
Mario Götze,81.66666666666667,82.0,77.0,85.0,79.0,80.0,87.0
Ander Herrera,78.5,86.0,74.0,86.0,80.0,78.0,67.0
Javier Pastore,82.33333333333333,86.0,77.0,87.0,83.0,83.0,78.0
Chris Smalling,55.5,49.0,52.0,66.0,63.0,49.0,54.0
Pedro,76.0,74.0,78.0,83.0,70.0,81.0,70.0
Giacomo Bonaventura,80.5,81.0,82.0,83.0,81.0,78.0,78.0
Roman Bürki,25.333333333333332,50.0,15.0,37.0,24.0,13.0,13.0
Oscar,76.0,83.0,70.0,83.0,80.0,77.0,63.0
Steven N'Zonzi,70.66666666666667,77.0,59.0,82.0,78.0,73.0,55.0
Aaron Ramsey,78.16666666666667,80.0,75.0,85.0,80.0,70.0,79.0
Mateo Musacchio,59.333333333333336,64.0,55.0,78.0,70.0,53.0,36.0
Ömer Toprak,58.333333333333336,59.0,49.0,74.0,69.0,44.0,55.0
José Callejón,71.66666666666667,78.0,77.0,75.0,51.0,65.0,84.0
Adrien Silva,80.83333333333333,85.0,78.0,83.0,84.0,77.0,78.0
Azpilicueta,70.16666666666667,68.0,79.0,80.0,74.0,66.0,54.0
Sebastian Giovinco,76.83333333333333,85.0,72.0,78.0,70.0,86.0,70.0
Anthony Modeste,67.0,62.0,62.0,70.0,55.0,66.0,87.0
Mario Mandžukić,64.0,62.0,64.0,71.0,45.0,56.0,86.0
Adam Lallana,78.33333333333333,83.0,74.0,86.0,78.0,77.0,72.0
Olivier Giroud,70.5,75.0,63.0,77.0,56.0,70.0,82.0
Rui Patrício,27.166666666666668,63.0,12.0,31.0,30.0,10.0,17.0
Yann Sommer,27.0,58.0,13.0,40.0,31.0,12.0,8.0
Jonas,78.16666666666667,83.0,70.0,75.0,71.0,85.0,85.0
Kévin Gameiro,75.16666666666667,76.0,70.0,79.0,72.0,76.0,78.0
Claudio Bravo,30.333333333333332,71.0,12.0,32.0,31.0,25.0,11.0
Łukasz Piszczek,74.5,72.0,85.0,78.0,69.0,76.0,67.0
Jan Vertonghen,65.83333333333333,65.0,68.0,78.0,74.0,58.0,52.0
Asmir Begović,22.0,31.0,14.0,26.0,32.0,17.0,12.0
Naldo,59.833333333333336,59.0,45.0,73.0,70.0,52.0,60.0
Daniel Sturridge,68.5,74.0,62.0,75.0,62.0,62.0,76.0
José Fonte,45.833333333333336,55.0,36.0,63.0,54.0,33.0,34.0
Ezequiel Garay,61.666666666666664,63.0,62.0,69.0,72.0,55.0,49.0
Samir Nasri,79.0,83.0,80.0,86.0,76.0,77.0,72.0
Gary Cahill,50.833333333333336,56.0,28.0,65.0,61.0,48.0,47.0
Ashley Williams,49.833333333333336,53.0,32.0,72.0,74.0,34.0,34.0
Leighton Baines,77.16666666666667,76.0,88.0,81.0,74.0,81.0,63.0
Kasper Schmeichel,24.0,59.0,18.0,21.0,18.0,13.0,15.0
Borja Valero,81.16666666666667,86.0,78.0,89.0,86.0,78.0,70.0
Hatem Ben Arfa,78.16666666666667,80.0,77.0,79.0,78.0,80.0,75.0
Joe Hart,26.5,42.0,14.0,32.0,35.0,17.0,19.0
Juanfran,70.83333333333333,72.0,83.0,75.0,66.0,80.0,49.0
Wesley Sneijder,84.16666666666667,85.0,83.0,86.0,83.0,88.0,80.0
Nani,80.5,80.0,82.0,81.0,79.0,86.0,75.0
Stephan Lichtsteiner,70.33333333333333,62.0,82.0,77.0,71.0,68.0,62.0
Wayne Rooney,82.33333333333333,83.0,78.0,79.0,85.0,84.0,85.0
Daniele De Rossi,71.5,72.0,57.0,82.0,82.0,62.0,74.0
José Reina,23.166666666666668,65.0,11.0,19.0,22.0,11.0,11.0
Quaresma,82.33333333333333,80.0,88.0,79.0,75.0,92.0,80.0
Marco Asensio,81.66666666666667,83.0,80.0,86.0,81.0,84.0,76.0
Bernardo Silva,77.16666666666667,84.0,76.0,83.0,78.0,77.0,65.0
Islam Slimani,69.0,72.0,58.0,73.0,59.0,73.0,79.0
Jonathan Tah,48.833333333333336,61.0,35.0,74.0,69.0,30.0,24.0
Anthony Martial,71.0,70.0,73.0,75.0,58.0,76.0,74.0
Dele Alli,73.33333333333333,81.0,65.0,83.0,73.0,67.0,71.0
Ederson,25.0,60.0,20.0,15.0,25.0,12.0,18.0
Mohamed Salah,68.5,71.0,71.0,78.0,63.0,59.0,69.0
Sadio Mané,72.83333333333333,77.0,72.0,76.0,72.0,74.0,66.0
Lucas Vázquez,76.33333333333333,82.0,84.0,80.0,76.0,82.0,54.0
Franco Vázquez,79.16666666666667,84.0,73.0,83.0,74.0,82.0,79.0
Manu Trigueros,76.83333333333333,83.0,69.0,86.0,82.0,78.0,63.0
Samuel Umtiti,69.33333333333333,56.0,69.0,78.0,71.0,72.0,70.0
Stefan Savić,45.5,41.0,35.0,67.0,69.0,34.0,27.0
Roque Mesa,65.16666666666667,75.0,67.0,89.0,80.0,46.0,34.0
Loris Karius,26.166666666666668,45.0,14.0,35.0,37.0,12.0,14.0
Alessandro Florenzi,78.16666666666667,75.0,77.0,82.0,75.0,73.0,87.0
Virgil van Dijk,61.166666666666664,59.0,53.0,74.0,76.0,60.0,45.0
Jack Butland,23.666666666666668,31.0,11.0,36.0,40.0,12.0,12.0
Morata,71.66666666666667,76.0,73.0,74.0,51.0,76.0,80.0
Lucas,73.0,73.0,75.0,77.0,74.0,69.0,70.0
Yevhen Konoplyanka,77.83333333333333,79.0,79.0,81.0,78.0,83.0,67.0
Francesco Acerbi,55.0,59.0,25.0,70.0,75.0,62.0,39.0
Nolito,75.66666666666667,81.0,81.0,77.0,67.0,83.0,65.0
Granit Xhaka,74.33333333333333,86.0,68.0,85.0,89.0,68.0,50.0
Stefan de Vrij,52.0,50.0,49.0,70.0,71.0,45.0,27.0
Jonathan Viera,76.66666666666667,87.0,75.0,85.0,76.0,80.0,57.0
Pizzi,80.5,84.0,75.0,82.0,80.0,85.0,77.0
Serge Aurier,69.83333333333333,71.0,80.0,78.0,71.0,69.0,50.0
Grzegorz Krychowiak,63.0,71.0,59.0,79.0,83.0,46.0,40.0
Kevin Kampl,73.83333333333333,83.0,64.0,84.0,78.0,76.0,58.0
Dejan Lovren,52.833333333333336,56.0,59.0,68.0,66.0,26.0,42.0
Gary Medel,62.833333333333336,72.0,55.0,78.0,76.0,35.0,61.0
Idrissa Gueye,58.833333333333336,72.0,60.0,80.0,76.0,33.0,32.0
Víctor Ruíz,60.166666666666664,56.0,54.0,75.0,70.0,67.0,39.0
Ricardo Rodríguez,78.5,74.0,88.0,80.0,80.0,82.0,67.0
Xherdan Shaqiri,77.66666666666667,79.0,74.0,80.0,75.0,82.0,76.0
Ciro Immobile,64.0,59.0,55.0,70.0,49.0,70.0,81.0
Nathaniel Clyne,66.0,64.0,80.0,76.0,67.0,64.0,45.0
Iborra,70.33333333333333,74.0,53.0,81.0,82.0,66.0,66.0
Jack Wilshere,78.16666666666667,85.0,73.0,84.0,83.0,80.0,64.0
Shinji Kagawa,74.33333333333333,80.0,60.0,84.0,73.0,74.0,75.0
Kevin Trapp,20.166666666666668,45.0,13.0,25.0,12.0,14.0,12.0
Taison,73.0,79.0,73.0,77.0,75.0,52.0,82.0
Kyle Walker,70.33333333333333,69.0,79.0,74.0,67.0,76.0,57.0
Marlos,75.66666666666667,78.0,76.0,81.0,73.0,80.0,66.0
Luiz Gustavo,63.0,69.0,61.0,77.0,75.0,42.0,54.0
Giuliano,73.83333333333333,81.0,74.0,79.0,75.0,68.0,66.0
Gylfi Sigurðsson,81.16666666666667,84.0,82.0,83.0,77.0,86.0,75.0
Yacine Brahimi,76.16666666666667,78.0,76.0,77.0,70.0,83.0,73.0
Marko Arnautović,78.0,80.0,83.0,79.0,68.0,79.0,79.0
Jordan Henderson,80.5,82.0,81.0,85.0,83.0,80.0,72.0
Orestis Karnezis,24.833333333333332,47.0,19.0,22.0,36.0,11.0,14.0
Mamadou Sakho,53.333333333333336,49.0,60.0,75.0,66.0,50.0,20.0
Adil Rami,45.333333333333336,22.0,28.0,66.0,68.0,43.0,45.0
Fernando Néstor Muslera,31.333333333333332,58.0,15.0,44.0,47.0,14.0,10.0
Vedran Ćorluka,62.833333333333336,60.0,68.0,70.0,72.0,69.0,38.0
Edin Džeko,67.33333333333333,70.0,63.0,72.0,59.0,65.0,75.0
Séamus Coleman,67.33333333333333,70.0,81.0,77.0,70.0,42.0,64.0
Javier Hernández,67.5,72.0,62.0,70.0,55.0,67.0,79.0
Beñat,80.0,84.0,81.0,85.0,86.0,83.0,61.0
Lars Bender,67.33333333333333,76.0,69.0,79.0,74.0,49.0,57.0
Axel Witsel,74.0,78.0,69.0,83.0,78.0,69.0,67.0
Morgan Schneiderlin,70.66666666666667,73.0,65.0,83.0,79.0,68.0,56.0
Kevin Mirallas,76.5,67.0,82.0,80.0,77.0,77.0,76.0
Carlos Vela,77.16666666666667,79.0,78.0,79.0,63.0,80.0,84.0
Emiliano Viviano,28.666666666666668,60.0,12.0,36.0,37.0,14.0,13.0
Antonio Valencia,73.33333333333333,71.0,85.0,77.0,69.0,69.0,69.0
Gonzalo Castro,79.33333333333333,83.0,82.0,84.0,82.0,80.0,65.0
Falcao,68.33333333333333,68.0,55.0,67.0,53.0,83.0,84.0
Diego Alves,33.833333333333336,64.0,24.0,33.0,33.0,24.0,25.0
Andrea Consigli,24.666666666666668,46.0,10.0,31.0,27.0,15.0,19.0
João Moutinho,80.33333333333333,82.0,77.0,83.0,81.0,82.0,77.0
Moussa Dembélé,74.33333333333333,76.0,65.0,84.0,79.0,65.0,77.0
Michael Krohn-Dehli,78.5,86.0,86.0,84.0,85.0,77.0,53.0
Loïc Perrin,64.33333333333333,63.0,69.0,74.0,77.0,59.0,44.0
Lucas Biglia,78.0,80.0,74.0,83.0,82.0,71.0,78.0
Benoît Costil,24.5,44.0,11.0,35.0,33.0,12.0,12.0
Raúl Albiol,51.166666666666664,49.0,38.0,71.0,65.0,53.0,31.0
Mario Gómez,64.83333333333333,62.0,62.0,69.0,50.0,68.0,78.0
Gabi,77.5,79.0,67.0,85.0,84.0,86.0,64.0
Diego López,23.166666666666668,53.0,11.0,28.0,23.0,10.0,14.0
Raffael,78.66666666666667,83.0,73.0,84.0,77.0,80.0,75.0
Alejandro Gómez,76.66666666666667,79.0,80.0,80.0,72.0,77.0,72.0
Gonzalo Rodríguez,53.666666666666664,64.0,38.0,72.0,76.0,50.0,22.0
Vincent Enyeama,26.666666666666668,58.0,10.0,39.0,28.0,14.0,11.0
Kaká,81.16666666666667,86.0,74.0,84.0,73.0,84.0,86.0
Fernandinho,75.33333333333333,75.0,68.0,82.0,81.0,70.0,76.0
David Villa,74.0,71.0,71.0,74.0,67.0,83.0,78.0
Victor Valdés,22.0,38.0,10.0,27.0,36.0,11.0,10.0
Per Mertesacker,48.333333333333336,58.0,38.0,67.0,58.0,39.0,30.0
Patrice Evra,69.16666666666667,62.0,80.0,75.0,69.0,76.0,53.0
Xabi Alonso,83.16666666666667,87.0,79.0,89.0,91.0,82.0,71.0
Michael Carrick,77.33333333333333,85.0,72.0,87.0,85.0,68.0,67.0
Andrea Pirlo,88.5,94.0,91.0,88.0,90.0,92.0,76.0
Casillas,26.666666666666668,65.0,13.0,21.0,22.0,25.0,14.0
Ousmane Dembélé,72.66666666666667,78.0,75.0,74.0,65.0,74.0,70.0
Corentin Tolisso,72.83333333333333,77.0,67.0,83.0,82.0,66.0,62.0
Marcelo Brozović,76.83333333333333,81.0,72.0,83.0,81.0,79.0,65.0
Federico Bernardeschi,75.16666666666667,78.0,76.0,79.0,70.0,78.0,70.0
Niklas Süle,41.0,30.0,30.0,72.0,57.0,28.0,29.0
Domenico Berardi,75.5,77.0,76.0,75.0,75.0,72.0,78.0
Morgan Sanson,78.66666666666667,83.0,79.0,83.0,82.0,75.0,70.0
Samu Castillejo,74.83333333333333,80.0,82.0,79.0,75.0,75.0,58.0
Adrien Rabiot,74.66666666666667,81.0,69.0,84.0,79.0,67.0,68.0
Leon Goretzka,75.66666666666667,78.0,72.0,82.0,78.0,76.0,68.0
Quincy Promes,73.33333333333333,81.0,73.0,74.0,69.0,75.0,68.0
Andrea Belotti,59.5,61.0,42.0,68.0,42.0,64.0,80.0
Jonas Hector,69.83333333333333,70.0,79.0,79.0,75.0,65.0,51.0
Mateo Kovačić,80.16666666666667,88.0,73.0,87.0,79.0,78.0,76.0
Sergio Rico,24.5,45.0,17.0,23.0,23.0,24.0,15.0
Oleg Shatov,75.5,81.0,74.0,80.0,72.0,77.0,69.0
Jorginho,78.0,83.0,70.0,85.0,84.0,75.0,71.0
Florian Thauvin,76.5,78.0,80.0,79.0,75.0,80.0,67.0
Michy Batshuayi,60.5,63.0,65.0,64.0,36.0,61.0,74.0
Iñigo Martínez,58.666666666666664,46.0,51.0,69.0,77.0,72.0,37.0
Suso,78.0,80.0,81.0,81.0,75.0,83.0,68.0
Deulofeu,72.0,72.0,76.0,78.0,62.0,84.0,60.0
Felipe Anderson,74.66666666666667,78.0,79.0,78.0,74.0,71.0,68.0
Jasper Cillessen,31.0,60.0,17.0,47.0,33.0,10.0,19.0
Wissam Ben Yedder,75.0,76.0,73.0,77.0,68.0,80.0,76.0
Lucas Pérez,76.5,76.0,74.0,77.0,70.0,83.0,79.0
Ross Barkley,72.83333333333333,81.0,65.0,84.0,78.0,68.0,61.0
Cédric Bakambu,72.33333333333333,73.0,74.0,75.0,66.0,68.0,78.0
Bartra,63.5,75.0,50.0,79.0,78.0,56.0,43.0
André Schürrle,75.16666666666667,76.0,76.0,78.0,59.0,80.0,82.0
Roberto Pereyra,78.66666666666667,82.0,78.0,83.0,77.0,78.0,74.0
Mario Gaspar,72.0,57.0,79.0,75.0,69.0,75.0,77.0
Fabián Orellana,74.16666666666667,77.0,78.0,77.0,68.0,84.0,61.0
Lukáš Hrádecký,19.833333333333332,53.0,11.0,15.0,20.0,11.0,9.0
Daley Blind,75.66666666666667,79.0,75.0,81.0,80.0,77.0,62.0
De Marcos,70.66666666666667,66.0,78.0,77.0,69.0,77.0,57.0
Wilfried Bony,60.833333333333336,65.0,45.0,68.0,45.0,66.0,76.0
Iturraspe,70.5,81.0,57.0,86.0,84.0,68.0,47.0
Parejo,83.16666666666667,84.0,84.0,90.0,87.0,82.0,72.0
Salomón Rondón,56.333333333333336,53.0,48.0,69.0,40.0,53.0,75.0
Daniel Carriço,61.0,62.0,61.0,78.0,79.0,39.0,47.0
Bas Dost,56.666666666666664,60.0,38.0,70.0,37.0,51.0,84.0
James McCarthy,71.33333333333333,72.0,68.0,82.0,81.0,64.0,61.0
Camacho,66.33333333333333,79.0,50.0,81.0,74.0,62.0,52.0
Paulinho,72.83333333333333,75.0,64.0,81.0,76.0,66.0,75.0
Alan Dzagoev,76.83333333333333,81.0,77.0,79.0,76.0,75.0,73.0
Igor Smolnikov,69.66666666666667,76.0,80.0,80.0,76.0,49.0,57.0
Lars Stindl,78.5,80.0,76.0,83.0,69.0,79.0,84.0
Mario Balotelli,69.0,70.0,68.0,72.0,52.0,78.0,74.0
Wojciech Szczęsny,25.166666666666668,41.0,12.0,32.0,36.0,16.0,14.0
Nikola Kalinić,65.0,66.0,60.0,72.0,48.0,64.0,80.0
Mikel San José,65.33333333333333,77.0,47.0,84.0,83.0,31.0,70.0
Christian Benteke,64.16666666666667,73.0,58.0,72.0,48.0,60.0,74.0
Marco Parolo,75.66666666666667,78.0,70.0,80.0,83.0,67.0,76.0
Ljubomir Fejsa,60.333333333333336,62.0,50.0,77.0,74.0,43.0,56.0
Martín Cáceres,64.83333333333333,58.0,68.0,65.0,65.0,68.0,65.0
Georginio Wijnaldum,74.16666666666667,76.0,67.0,82.0,71.0,76.0,73.0
Federico Fazio,49.666666666666664,47.0,44.0,64.0,62.0,46.0,35.0
Simon Kjær,56.833333333333336,49.0,54.0,75.0,74.0,52.0,37.0
Loïc Rémy,67.33333333333333,71.0,61.0,75.0,60.0,66.0,71.0
Miguel Layún,73.83333333333333,71.0,84.0,79.0,75.0,68.0,66.0
Adán,25.0,35.0,12.0,34.0,43.0,11.0,15.0
Benoît Trémoulinas,73.83333333333333,70.0,86.0,81.0,77.0,82.0,47.0
Sven Bender,58.0,65.0,52.0,75.0,69.0,33.0,54.0
Mathieu Valbuena,78.33333333333333,78.0,78.0,81.0,79.0,82.0,72.0
Bojan,78.16666666666667,84.0,68.0,81.0,74.0,83.0,79.0
Augusto Fernández,72.83333333333333,82.0,70.0,82.0,81.0,65.0,57.0
