Name,Defending,Sliding_Tackle,Standing_Tackle,Interceptions
Cesc Fàbregas,58.333333333333336,62,63,50
Franck Ribéry,29.0,26,25,36
Santi Cazorla,60.0,52,64,64
Andrea Barzagli,90.66666666666667,90,90,92
Harry Kane,36.333333333333336,38,36,35
Alexandre Lacazette,37.333333333333336,30,42,40
Keylor Navas,16.0,14,14,20
Romelu Lukaku,29.0,30,30,27
Christian Eriksen,41.0,22,56,45
İlkay Gündoğan,69.0,64,64,79
Toby Alderweireld,85.66666666666667,83,88,86
Willian,56.0,51,62,55
Miralem Pjanić,65.33333333333333,64,64,68
Juan Mata,29.333333333333332,21,28,39
Javi Martinez,86.0,87,86,85
Dimitri Payet,37.333333333333336,39,36,37
Dries Mertens,38.666666666666664,40,40,36
Sokratis,85.0,86,89,80
Marek Hamšik,67.66666666666667,62,71,70
Blaise Matuidi,83.66666666666667,81,85,85
Stéphane Ruffier,16.0,11,12,25
Laurent Koscielny,86.33333333333333,86,87,86
Filipe Luís,83.66666666666667,86,83,82
Vincent Kompany,83.66666666666667,86,88,77
Aymeric Laporte,86.0,85,88,85
Yannick Carrasco,27.666666666666668,26,39,18
Carvajal,84.33333333333333,86,85,82
Riyad Mahrez,28.666666666666668,21,27,38
Raphaël Varane,84.33333333333333,85,86,82
Mauro Icardi,21.333333333333332,21,21,22
Lorenzo Insigne,24.0,22,24,26
Isco,60.0,49,66,65
Koke,60.333333333333336,51,66,64
Kostas Manolas,86.0,87,86,85
Danijel Subašić,15.666666666666666,13,14,20
Nicolás Otamendi,83.0,83,84,82
Shkodran Mustafi,84.33333333333333,85,83,85
Nemanja Matić,82.0,77,83,86
Alex Sandro,82.0,82,82,82
Kamil Glik,85.0,82,86,87
Douglas Costa,48.333333333333336,44,58,43
Kevin Strootman,80.66666666666667,75,83,84
Nicolás Gaitán,41.666666666666664,43,42,40
Bruno,84.66666666666667,85,84,85
Ivan Perišić,44.0,45,45,42
David Luiz,83.66666666666667,84,85,82
Sami Khedira,83.33333333333333,78,86,86
Benedikt Höwedes,84.33333333333333,84,84,85
Ralf Fährmann,15.0,10,12,23
Sergio Asenjo,17.0,14,15,22
Éver Banega,66.66666666666667,61,69,70
Medhi Benatia,83.33333333333333,84,86,80
Steve Mandanda,17.0,13,15,23
Dani Alves,82.0,84,80,82
Arda Turan,63.0,65,63,61
Javier Mascherano,85.66666666666667,83,84,90
Aduriz,38.666666666666664,49,44,23
Yaya Touré,70.33333333333333,75,76,60
Eric Bailly,85.33333333333333,86,85,85
José María Giménez,86.0,87,86,85
N'Golo Kanté,88.33333333333333,85,89,91
Gerónimo Rulli,17.0,17,13,21
João Mário,71.33333333333333,61,75,78
André Gomes,72.33333333333333,64,77,76
Marquinhos,85.0,86,85,84
Carlos Bacca,21.333333333333332,14,16,34
William Carvalho,80.0,71,85,84
Karim Bellarabi,33.666666666666664,33,30,38
Raheem Sterling,46.0,54,58,26
Julian Draxler,32.333333333333336,26,35,36
Roberto Firmino,47.666666666666664,42,64,37
Marcos Rojo,82.0,83,83,80
Kalidou Koulibaly,83.66666666666667,84,86,81
Danilo Pereira,82.66666666666667,78,85,85
Timo Horn,15.666666666666666,12,13,22
Casemiro,85.0,85,86,84
Vitolo,23.0,23,21,25
Anthony Lopes,17.666666666666668,13,15,25
Mattia Perin,16.666666666666668,19,12,19
Joel Matip,82.0,78,84,84
Juan Cuadrado,57.333333333333336,62,52,58
Iago Aspas,25.0,18,21,36
Marc-André ter Stegen,15.0,10,13,22
Mario Götze,44.0,23,43,66
Ander Herrera,74.0,68,72,82
Javier Pastore,59.666666666666664,51,59,69
Chris Smalling,82.33333333333333,81,84,82
Pedro,37.333333333333336,31,32,49
Giacomo Bonaventura,71.33333333333333,68,73,73
Roman Bürki,15.666666666666666,16,13,18
Oscar,43.666666666666664,47,50,34
Steven N'Zonzi,82.0,78,83,85
Aaron Ramsey,70.33333333333333,67,72,72
Mateo Musacchio,85.0,86,84,85
Ömer Toprak,83.66666666666667,82,85,84
José Callejón,34.666666666666664,32,32,40
Adrien Silva,78.33333333333333,73,78,84
Azpilicueta,86.66666666666667,87,88,85
Sebastian Giovinco,25.666666666666668,28,23,26
Anthony Modeste,25.333333333333332,19,31,26
Mario Mandžukić,53.333333333333336,48,56,56
Adam Lallana,66.0,62,68,68
Olivier Giroud,32.666666666666664,20,37,41
Rui Patrício,15.333333333333334,11,13,22
Yann Sommer,17.333333333333332,12,19,21
Jonas,31.666666666666668,25,36,34
Kévin Gameiro,36.666666666666664,39,33,38
Claudio Bravo,20.0,19,18,23
Łukasz Piszczek,82.66666666666667,83,84,81
Jan Vertonghen,83.0,81,85,83
Asmir Begović,14.666666666666666,12,11,21
Naldo,85.0,85,86,84
Daniel Sturridge,19.333333333333332,12,24,22
José Fonte,84.0,82,85,85
Ezequiel Garay,83.66666666666667,82,85,84
Samir Nasri,39.333333333333336,44,37,37
Gary Cahill,84.0,84,85,83
Ashley Williams,82.66666666666667,80,85,83
Leighton Baines,81.33333333333333,82,82,80
Kasper Schmeichel,15.666666666666666,13,14,20
Borja Valero,66.0,62,66,70
Hatem Ben Arfa,35.333333333333336,23,43,40
Joe Hart,17.333333333333332,13,14,25
Juanfran,80.66666666666667,80,84,78
Wesley Sneijder,41.0,37,41,45
Nani,24.333333333333332,20,22,31
Stephan Lichtsteiner,82.0,82,82,82
Wayne Rooney,48.333333333333336,37,54,54
Daniele De Rossi,84.33333333333333,82,84,87
José Reina,22.666666666666668,24,22,22
Quaresma,18.0,13,17,24
Marco Asensio,43.666666666666664,41,45,45
Bernardo Silva,42.666666666666664,35,44,49
Islam Slimani,42.0,24,48,54
Jonathan Tah,82.0,80,86,80
Anthony Martial,39.666666666666664,38,39,42
Dele Alli,60.666666666666664,57,60,65
Ederson,16.0,8,15,25
Mohamed Salah,46.333333333333336,41,43,55
Sadio Mané,33.333333333333336,38,33,29
Lucas Vázquez,44.0,37,51,44
Franco Vázquez,43.666666666666664,37,40,54
Manu Trigueros,66.66666666666667,58,73,69
Samuel Umtiti,84.66666666666667,83,85,86
Stefan Savić,83.33333333333333,84,82,84
Roque Mesa,80.0,80,79,81
Loris Karius,12.333333333333334,13,11,13
Alessandro Florenzi,77.33333333333333,77,79,76
Virgil van Dijk,83.0,81,85,83
Jack Butland,17.0,11,13,27
Morata,19.333333333333332,20,14,24
Lucas,47.0,48,43,50
Yevhen Konoplyanka,35.333333333333336,31,38,37
Francesco Acerbi,84.33333333333333,83,86,84
Nolito,40.666666666666664,25,39,58
Granit Xhaka,73.0,68,75,76
Stefan de Vrij,84.66666666666667,82,86,86
Jonathan Viera,64.66666666666667,58,67,69
Pizzi,62.333333333333336,52,65,70
Serge Aurier,81.0,83,82,78
Grzegorz Krychowiak,79.33333333333333,72,85,81
Kevin Kampl,66.66666666666667,56,70,74
Dejan Lovren,84.33333333333333,86,85,82
Gary Medel,84.0,82,84,86
Idrissa Gueye,83.66666666666667,82,84,85
Víctor Ruíz,84.0,85,84,83
Ricardo Rodríguez,82.33333333333333,84,81,82
Xherdan Shaqiri,56.666666666666664,53,52,65
Ciro Immobile,35.0,32,33,40
Nathaniel Clyne,82.0,86,83,77
Iborra,81.33333333333333,75,84,85
Jack Wilshere,63.0,65,63,61
Shinji Kagawa,35.666666666666664,27,24,56
Kevin Trapp,15.333333333333334,10,14,22
Taison,47.333333333333336,40,53,49
Kyle Walker,80.0,84,81,75
Marlos,47.333333333333336,42,49,51
Luiz Gustavo,86.0,87,87,84
Giuliano,41.0,38,43,42
Gylfi Sigurðsson,50.666666666666664,57,58,37
Yacine Brahimi,33.0,25,36,38
Marko Arnautović,44.333333333333336,30,57,46
Jordan Henderson,78.33333333333333,76,80,79
Orestis Karnezis,20.666666666666668,24,15,23
Mamadou Sakho,82.0,81,84,81
Adil Rami,82.0,78,84,84
Fernando Néstor Muslera,18.333333333333332,16,16,23
Vedran Ćorluka,80.66666666666667,82,83,77
Edin Džeko,31.333333333333332,16,28,50
Séamus Coleman,81.66666666666667,84,84,77
Javier Hernández,26.666666666666668,25,29,26
Beñat,70.33333333333333,65,76,70
Lars Bender,84.66666666666667,82,85,87
Axel Witsel,74.66666666666667,71,73,80
Morgan Schneiderlin,82.0,80,82,84
Kevin Mirallas,47.666666666666664,53,55,35
Carlos Vela,24.333333333333332,14,22,37
Emiliano Viviano,10.666666666666666,12,10,10
Antonio Valencia,79.66666666666667,77,82,80
Gonzalo Castro,75.33333333333333,78,70,78
Falcao,34.0,19,42,41
Diego Alves,15.666666666666666,15,13,19
Andrea Consigli,17.0,19,17,15
João Moutinho,70.33333333333333,66,72,73
Moussa Dembélé,74.33333333333333,65,80,78
Michael Krohn-Dehli,69.66666666666667,61,73,75
Loïc Perrin,83.66666666666667,83,86,82
Lucas Biglia,79.66666666666667,77,80,82
Benoît Costil,15.666666666666666,14,11,22
Raúl Albiol,83.66666666666667,83,85,83
Mario Gómez,21.333333333333332,20,24,20
Gabi,78.33333333333333,74,79,82
Diego López,14.333333333333334,14,13,16
Raffael,42.0,31,42,53
Alejandro Gómez,34.666666666666664,34,30,40
Gonzalo Rodríguez,83.66666666666667,82,85,84
Vincent Enyeama,14.666666666666666,11,12,21
Kaká,34.666666666666664,31,31,42
Fernandinho,81.66666666666667,78,81,86
David Villa,31.666666666666668,38,28,29
Victor Valdés,14.333333333333334,10,12,21
Per Mertesacker,86.33333333333333,84,87,88
Patrice Evra,84.66666666666667,86,82,86
Xabi Alonso,76.0,70,74,84
Michael Carrick,78.0,72,79,83
Andrea Pirlo,48.333333333333336,39,49,57
Casillas,15.333333333333334,13,11,22
Ousmane Dembélé,30.0,27,29,34
Corentin Tolisso,77.0,73,80,78
Marcelo Brozović,71.33333333333333,70,72,72
Federico Bernardeschi,35.0,37,34,34
Niklas Süle,84.0,82,86,84
Domenico Berardi,28.666666666666668,30,30,26
Morgan Sanson,79.66666666666667,76,82,81
Samu Castillejo,40.0,25,43,52
Adrien Rabiot,74.0,68,77,77
Leon Goretzka,79.0,78,77,82
Quincy Promes,26.0,27,24,27
Andrea Belotti,28.666666666666668,32,23,31
Jonas Hector,81.0,81,81,81
Mateo Kovačić,65.0,61,65,69
Sergio Rico,15.0,11,11,23
Oleg Shatov,50.0,42,45,63
Jorginho,74.33333333333333,70,75,78
Florian Thauvin,34.333333333333336,31,29,43
Michy Batshuayi,23.666666666666668,22,26,23
Iñigo Martínez,82.33333333333333,84,81,82
Suso,20.666666666666668,18,23,21
Deulofeu,25.666666666666668,22,30,25
Felipe Anderson,37.333333333333336,42,44,26
Jasper Cillessen,16.0,11,12,25
Wissam Ben Yedder,30.333333333333332,26,21,44
Lucas Pérez,29.333333333333332,26,24,38
Ross Barkley,52.333333333333336,52,60,45
Cédric Bakambu,29.666666666666668,21,29,39
Bartra,82.0,81,79,86
André Schürrle,42.0,42,40,44
Roberto Pereyra,70.0,70,70,70
Mario Gaspar,80.66666666666667,82,80,80
Fabián Orellana,31.0,25,37,31
Lukáš Hrádecký,13.666666666666666,13,10,18
Daley Blind,82.33333333333333,77,84,86
De Marcos,79.66666666666667,80,80,79
Wilfried Bony,36.0,28,42,38
Iturraspe,82.33333333333333,79,84,84
Parejo,60.0,51,61,68
Salomón Rondón,23.0,13,23,33
Daniel Carriço,83.0,81,84,84
Bas Dost,37.666666666666664,26,48,39
James McCarthy,78.66666666666667,78,79,79
Camacho,80.33333333333333,74,82,85
Paulinho,75.66666666666667,73,76,78
Alan Dzagoev,71.33333333333333,70,73,71
Igor Smolnikov,76.66666666666667,81,78,71
Lars Stindl,64.0,57,65,70
Mario Balotelli,24.0,20,22,30
Wojciech Szczęsny,13.333333333333334,12,13,15
Nikola Kalinić,34.0,28,32,42
Mikel San José,80.66666666666667,74,85,83
Christian Benteke,25.666666666666668,18,30,29
Marco Parolo,80.66666666666667,82,80,80
Ljubomir Fejsa,82.33333333333333,77,84,86
Martín Cáceres,83.0,81,82,86
Georginio Wijnaldum,67.0,64,67,70
Federico Fazio,81.66666666666667,78,84,83
Simon Kjær,81.0,80,82,81
Loïc Rémy,31.0,21,24,48
Miguel Layún,77.33333333333333,76,77,79
Adán,17.333333333333332,18,14,20
Benoît Trémoulinas,77.66666666666667,81,80,72
Sven Bender,85.33333333333333,87,86,83
Mathieu Valbuena,31.333333333333332,34,26,34
Bojan,23.333333333333332,19,22,29
Augusto Fernández,72.33333333333333,64,76,77
Antonio Candreva,55.666666666666664,50,58,59
Davide Astori,83.66666666666667,80,85,86
Raúl García,66.33333333333333,63,71,65
Giovani dos Santos,26.333333333333332,23,28,28
Erik Lamela,43.0,39,47,43
Ryan Shawcross,81.33333333333333,80,83,81
Danny Rose,82.0,84,83,79
Renato Augusto,65.66666666666667,59,68,70
Martin Škrtel,81.66666666666667,81,83,81
Theo Walcott,36.666666666666664,36,39,35
Bacary Sagna,82.33333333333333,84,84,79
Dante,82.33333333333333,85,82,80
Salomon Kalou,35.666666666666664,32,38,37
André-Pierre Gignac,38.333333333333336,23,41,51
Lukas Podolski,38.0,39,39,36
Negredo,32.666666666666664,32,34,32
Pablo Zabaleta,84.0,83,84,85
Darijo Srna,80.0,77,78,85
Cédric Carrasso,16.666666666666668,14,13,23
Rubén Castro,21.0,14,12,37
Jérémy Mathieu,81.33333333333333,75,85,84
Carlos Idriss Kameni,15.666666666666666,12,11,24
Moyá,13.0,14,14,11
Rune Almenning Jarstein,14.333333333333334,13,11,19
Jermain Defoe,16.666666666666668,11,20,19
Thiago Motta,78.33333333333333,75,83,77
Fernando Torres,20.0,18,22,20
Júlio César,17.0,16,10,25
Didier Drogba,34.333333333333336,29,32,42
Danny,35.333333333333336,32,33,41
John Terry,82.0,81,82,83
Samuel Eto'o,37.666666666666664,35,39,39
Tiago,72.33333333333333,69,77,71
Gelson Martins,37.666666666666664,33,37,43
Leroy Sané,33.0,35,32,32
Julian Weigl,80.66666666666667,74,82,86
Nabil Fekir,30.333333333333332,30,33,28
Jean Michaël Seri,70.33333333333333,67,70,74
Williams,30.0,31,38,21
Marco Sportiello,19.666666666666668,13,17,29
Keita Baldé Diao,29.333333333333332,28,29,31
Nikola Maksimović,81.66666666666667,79,85,81
Thomas Lemar,62.666666666666664,63,59,66
Kingsley Coman,17.666666666666668,15,15,23
Alisson,15.333333333333334,16,19,11
Joshua Kimmich,76.66666666666667,77,76,77
Julian Brandt,24.333333333333332,24,20,29
Sofiane Boufal,30.333333333333332,32,40,19
Bruma,35.0,28,39,38
Daniele Rugani,84.33333333333333,83,85,85
Raphaël Guerreiro,77.0,72,73,86
Fabinho,80.66666666666667,80,82,80
Jamie Vardy,50.666666666666664,51,52,49
Hakim Ziyech,46.333333333333336,36,44,59
Emil Forsberg,28.666666666666668,17,26,43
Saúl,78.66666666666667,77,81,78
Felipe,80.0,77,81,82
Taras Stepanenko,80.0,79,79,82
Luke Shaw,79.0,78,80,79
Leo Baptistao,23.666666666666668,19,24,28
Antonio Rüdiger,78.33333333333333,79,80,76
Matija Nastasić,82.66666666666667,86,84,78
Denis Suárez,54.333333333333336,42,59,62
Kurt Zouma,80.33333333333333,80,83,78
John Brooks,81.66666666666667,79,84,82
Héctor Bellerín,77.33333333333333,80,76,76
Thorgan Hazard,37.666666666666664,35,39,39
Davy Klaassen,67.0,57,72,72
Valère Germain,27.666666666666668,18,21,44
Paul-Georges Ntep,22.666666666666668,15,25,28
Layvin Kurzawa,78.0,81,77,76
Rafinha,69.33333333333333,66,74,68
Jeison Murillo,82.66666666666667,86,82,80
Riccardo Saponara,31.333333333333332,30,34,30
Djibril Sidibé,78.33333333333333,79,78,78
Nacho Fernández,82.0,83,82,81
Josip Iličić,36.666666666666664,30,34,46
Kevin Volland,42.333333333333336,33,50,44
Allan,82.66666666666667,80,84,84
Pablo Hernández,70.66666666666667,70,68,74
Sergi Roberto,79.33333333333333,79,80,79
Wilfried Zaha,29.0,34,30,23
Manolo Gabbiadini,20.666666666666668,20,24,18
Josuha Guilavogui,84.33333333333333,86,84,83
Patrick Herrmann,31.666666666666668,40,26,29
Sebastián Coates,82.33333333333333,84,84,79
Oğuzhan Özyakup,62.0,55,65,66
Yaroslav Rakitskyi,82.66666666666667,82,84,82
Phil Jones,81.0,82,82,79
Adrián,19.333333333333332,14,19,25
Neto,14.666666666666666,15,14,15
Hugo Mallo,80.66666666666667,82,80,80
Daniel Didavi,52.666666666666664,49,58,51
Younès Belhanda,57.333333333333336,52,54,66
Oliver Baumann,17.666666666666668,14,18,21
Mário Fernandes,80.66666666666667,84,81,77
Roberto Soriano,69.0,67,71,69
Jesús Corona,47.333333333333336,40,46,56
Maxime Gonalons,80.66666666666667,76,82,84
Alphonse Areola,17.666666666666668,12,18,23
Yunus Mallı,33.333333333333336,21,33,46
Eduardo Salvio,41.0,33,38,52
Stephan El Shaarawy,30.333333333333332,25,30,36
Iago Falqué,31.333333333333332,32,36,26
Marwin Hitz,17.333333333333332,14,15,23
Thimothée Kolodziejczak,81.0,82,80,81
Francis Coquelin,81.66666666666667,80,80,85
Marcel Schmelzer,80.0,84,81,75
Ryad Boudebouz,32.333333333333336,30,35,32
Ganso,43.0,37,45,47
Fedor Smolov,28.0,24,28,32
Christian Noboa,74.66666666666667,75,75,74
Kwadwo Asamoah,76.66666666666667,76,76,78
Ron-Robert Zieler,15.333333333333334,13,12,21
Danny Welbeck,31.0,33,38,22
Danny Drinkwater,77.0,76,79,76
Aleksandar Kolarov,81.66666666666667,82,83,80
Matteo Darmian,81.66666666666667,82,84,79
Ibrahima Traoré,41.333333333333336,40,43,41
Diego Perotti,29.666666666666668,22,31,36
Angelo Ogbonna,83.66666666666667,83,84,84
Max Kruse,37.0,34,38,39
Konstantinos Mitroglou,11.666666666666666,10,15,10
Nordin Amrabat,58.0,55,65,54
Stevan Jovetić,30.666666666666668,30,32,30
Jeremain Lens,31.333333333333332,32,39,23
Branislav Ivanović,83.0,83,84,82
Eder,23.333333333333332,26,20,24
Kiko Casilla,15.333333333333334,11,15,20
Nacho Monreal,81.66666666666667,81,82,82
Serdar Tasci,80.66666666666667,81,82,79
Marcelo Díaz,75.66666666666667,68,79,80
André Ayew,62.333333333333336,68,62,57
Winston Reid,81.0,82,81,80
Lucas Leiva,81.33333333333333,79,80,85
Kevin-Prince Boateng,70.0,72,71,67
Héctor Moreno,80.0,82,84,74
Cristian Ansaldi,78.33333333333333,83,77,75
Daniel Wass,69.66666666666667,68,67,74
Coke,79.66666666666667,80,82,77
Andrés Guardado,72.0,72,72,72
Jonathan dos Santos,61.0,55,63,65
Ryan Bertrand,80.33333333333333,82,82,77
Jardel,81.0,80,84,79
Salvatore Sirigu,14.666666666666666,13,11,20
Yohan Cabaye,75.0,73,75,77
Vitaliy Denisov,83.33333333333333,83,80,87
Dušan Basta,81.33333333333333,80,82,82
Gustavo Cabral,81.0,84,79,80
Gabriel Paletta,82.66666666666667,80,84,84
Łukasz Fabiański,13.666666666666666,13,12,16
Ben Foster,17.333333333333332,14,15,23
Vedad Ibišević,29.0,22,35,30
Andreas Granqvist,81.33333333333333,79,83,82
Héctor Herrera,75.33333333333333,67,77,82
Igor Akinfeev,14.333333333333334,13,13,17
Fernando Belluschi,64.33333333333333,59,65,69
Andriy Pyatov,14.0,10,9,23
Antonio Mirante,13.666666666666666,12,12,17
Federico Marchetti,16.0,14,12,22
James Milner,77.33333333333333,79,77,76
Michel Vorm,17.666666666666668,14,11,28
Daniel Baier,79.0,74,79,84
Atiba Hutchinson,77.66666666666667,73,80,80
Mehmet Topal,82.33333333333333,79,85,83
Bastian Schweinsteiger,77.33333333333333,75,74,83
René Adler,14.0,13,12,17
Jérémy Toulalan,79.66666666666667,73,83,83
Phil Jagielka,82.0,81,84,81
Stefano Sorrentino,16.0,13,10,25
Robin van Persie,29.0,21,32,34
Gareth Barry,80.66666666666667,80,80,82
Francesco Totti,19.333333333333332,10,24,24
Gianluigi Donnarumma,18.666666666666668,16,14,26
Nélson Semedo,75.33333333333333,77,75,74
Florin Andone,47.0,38,52,51
Sergej Milinković-Savić,73.33333333333333,69,73,78
Omar Al Soma,36.666666666666664,34,33,43
Petros,79.66666666666667,79,84,76
Victor Nilsson Lindelöf,78.66666666666667,76,79,81
Naby Keïta,67.0,61,63,77
Tiémoué Bakayoko,78.66666666666667,78,80,78
Mahmoud Dahoud,64.33333333333333,61,65,67
Rúben Semedo,78.0,76,78,80
Rafa,37.333333333333336,31,38,43
Dani García,78.0,75,77,82
Lisandro López,79.66666666666667,80,78,81
Ángel Correa,46.666666666666664,44,51,45
Andreas Christensen,81.33333333333333,81,86,77
Nabil Bentaleb,70.66666666666667,60,74,78
Stanislav Kritsyuk,14.666666666666666,13,15,16
Divock Origi,23.333333333333332,18,24,28
Max Meyer,34.666666666666664,27,36,41
Gayà,77.0,79,76,76
Marco Benassi,74.66666666666667,73,76,75
Pedro Santos,30.0,26,30,34
Elseid Hysaj,79.33333333333333,80,80,78
João Cancelo,74.66666666666667,77,78,69
Alessio Romagnoli,80.0,78,82,80
Piotr Zieliński,70.33333333333333,70,71,70
Bruno Peres,76.33333333333333,79,76,74
Ricardo Pereira,78.0,75,80,79
Óliver Torres,64.33333333333333,62,66,65
Filip Kostić,39.666666666666664,43,44,32
Emre Can,78.33333333333333,78,80,77
Matthias Ginter,79.66666666666667,79,80,80
Luciano Vietto,35.666666666666664,32,40,35
Arrizabalaga,18.333333333333332,16,18,21
Maximilian Arnold,68.33333333333333,65,70,70
Alassane Pléa,34.666666666666664,30,38,36
Denis Cheryshev,57.333333333333336,54,57,61
Edin Višća,41.333333333333336,43,32,49
Bernard,35.333333333333336,25,39,42
Daniele Baselli,63.333333333333336,61,63,66
Arkadiusz Milik,34.0,32,34,36
Bernat,78.33333333333333,79,81,75
Šime Vrsaljko,77.33333333333333,75,78,79
Eric Botteghin,78.66666666666667,74,83,79
John Stones,80.33333333333333,81,83,77
Jannik Vestergaard,80.0,77,82,81
Simone Zaza,35.333333333333336,36,36,34
Sergi Darder,68.66666666666667,71,66,69
Fernando,78.33333333333333,77,78,80
Memphis Depay,27.333333333333332,20,31,31
Jesé,22.666666666666668,12,23,33
Thomas Meunier,76.66666666666667,77,79,74
Eric Dier,80.0,81,80,79
Federico Fernández,79.66666666666667,78,79,82
Nicola Sansone,38.333333333333336,33,44,38
Gastón Ramírez,40.666666666666664,42,48,32
Faouzi Ghoulam,77.0,78,79,74
Gabriel,80.66666666666667,80,83,79
Vladimír Darida,67.33333333333333,64,67,71
Cédric,77.66666666666667,79,78,76
Lorenzo Tonelli,81.33333333333333,80,82,82
Benjamin Lecomte,15.666666666666666,12,11,24
Lucas Digne,78.33333333333333,81,77,77
Paco Alcácer,24.333333333333332,26,21,26
Heung Min Son,23.666666666666668,23,19,29
Vicente Gómez,77.33333333333333,73,79,80
Emre Çolak,44.0,43,44,45
André André,74.0,67,75,80
Dušan Tadić,30.333333333333332,26,34,31
Danilo,79.33333333333333,79,78,81
Pablo Sarabia,26.666666666666668,28,27,25
Alex Oxlade-Chamberlain,43.666666666666664,42,46,43
Marco Höger,78.0,75,78,81
Florian Lejeune,78.66666666666667,73,82,81
Giannelli Imbula,76.0,73,77,78
Nicolás Lodeiro,38.0,31,41,42
Daniel Caligiuri,32.0,25,24,47
Jeffrey Bruma,77.66666666666667,78,81,74
Willian José,37.333333333333336,35,37,40
Wahbi Khazri,46.666666666666664,30,49,61
Keko,51.666666666666664,43,53,59
Gil,80.66666666666667,82,82,78
Martin Braithwaite,29.0,26,30,31
Jaume Costa,77.66666666666667,78,77,78
Romain Hamouma,40.333333333333336,41,41,39
Escudero,79.33333333333333,81,76,81
Marcos Alonso,74.33333333333333,76,77,70
Holger Badstuber,81.33333333333333,80,83,81
Osvaldo Alonso,76.33333333333333,76,77,76
Juraj Kucka,78.66666666666667,78,80,78
Jeroen Zoet,18.333333333333332,16,18,21
Illarramendi,81.0,79,82,82
Adem Ljajić,34.0,35,35,32
Eliaquim Mangala,80.0,82,80,78
Canales,28.333333333333332,16,23,46
Balenziaga,79.33333333333333,80,81,77
Rafael,77.66666666666667,82,77,74
Sebastian Rudy,72.33333333333333,70,70,77
Jonathas,28.0,32,24,28
Aleksandar Dragović,82.0,77,84,85
Manuel Lanzini,24.666666666666668,25,26,23
Victor Wanyama,81.33333333333333,79,84,81
Alfred N'Diaye,80.66666666666667,76,86,80
Nicolas Nkoulou,77.66666666666667,78,79,76
Volkan Babacan,21.333333333333332,15,22,27
Seydou Doumbia,35.0,37,39,29
Pavel Mamaev,69.0,68,69,70
Artem Dzyuba,21.333333333333332,19,15,30
Maurício,78.66666666666667,79,79,78
Yann M'Vila,76.66666666666667,72,75,83
Kieran Gibbs,79.33333333333333,80,79,79
Mariano,76.66666666666667,81,75,74
Sofiane Feghouli,31.333333333333332,31,32,31
Fernando,81.66666666666667,82,80,83
Claudio Yacob,79.0,74,81,82
Roberto,19.0,18,15,24
Moussa Sissoko,73.0,71,72,76
Maximiliano Pereira,80.0,82,80,78
Sidnei,80.33333333333333,79,82,80
William Vainqueur,77.66666666666667,73,77,83
Miguel Veloso,75.0,74,75,76
Fabricio,17.0,11,14,26
