Rating_Group,Name,Rating
Medium,Kieran Gibbs,79
Medium,Mariano,79
Medium,Sofiane Feghouli,79
Medium,Fernando,79
Medium,Claudio Yacob,79
Medium,Roberto,79
Medium,Moussa Sissoko,79
Medium,Maximiliano Pereira,79
Medium,Sidnei,79
Medium,William Vainqueur,79
Medium,Miguel Veloso,79
Medium,Fabricio,79
Medium,Vieirinha,79
Medium,Fabian Johnson,79
Medium,Demba Ba,79
Medium,Bryan Ruíz,79
Medium,Marcus Berg,79
Medium,Pontus Wernbloom,79
Medium,David Ospina,79
Medium,Ignacio Piatti,79
Medium,Valter Birsa,79
Medium,Matías Fernández,78
Medium,Marcano,79
Medium,Simon Mignolet,79
Medium,Sergio Romero,79
Medium,Domenico Criscito,79
Medium,Castán,79
Medium,Moussa Sow,79
Medium,Diego Valeri,79
Medium,Nuri Şahin,78
Medium,Jonny Evans,79
Medium,Danilo,79
Medium,Nicolás Pareja,79
Medium,Ştefan Radu,79
Medium,Nicolas Lombaerts,79
Medium,Giuseppe Rossi,79
Medium,Llorente,79
Medium,Bafétimbi Gomis,79
Medium,Mathieu Debuchy,79
Medium,Ibrahim Afellay,79
Medium,Jefferson Farfán,79
Medium,Manuel Fernandes,79
Medium,Scott Dann,79
Medium,Clint Dempsey,79
Medium,Michael Bradley,79
Medium,Yoann Gourcuff,79
Medium,Hilton,79
Medium,Pablo Batalla,79
Medium,Gaël Clichy,79
Medium,Klaas-Jan Huntelaar,79
Medium,Luisão,79
Medium,Vasiliy Berezutskiy,79
Medium,Igor Denisov,79
Medium,Alexandr Samedov,79
Medium,Jesús Navas,79
Medium,Xabi Prieto,79
Medium,Javi Fuego,79
Medium,Marcelo Barovero,79
Medium,Lisandro López,79
Medium,Guillermo Ochoa,79
Medium,Bruno Alves,79
Medium,Burak Yılmaz,79
Medium,Diego Benaglio,79
Medium,Zoran Tošić,79
Medium,Maxwell,79
Medium,Kim Källström,79
Medium,Tim Howard,79
Medium,Denys Boyko,78
Medium,Marcus Rashford,78
Medium,Miguel Almirón,78
Medium,Gabriel Jesus,78
Medium,Oyarzabal,78
Medium,André Silva,78
Medium,Soares,78
Medium,Nemanja Radoja,78
Medium,Marcos Acuña,78
Medium,Jorge Meré,78
Medium,Jony,78
Medium,Antonio Sanabria,78
Medium,Cheikh N'Doye,78
Medium,José Izquierdo,78
Medium,Gonzalo Escalante,78
Medium,Theo Bongonda,78
Medium,Sebastián Torrico,78
Medium,Morales,78
Medium,Wendell,78
Medium,Andrej Kramarić,78
Medium,Davide Zappacosta,78
Medium,Jemerson,78
Medium,Lucas Alario,78
Medium,Duván Zapata,78
Medium,Wylan Cyprien,78
Medium,Diego Llorente,78
Medium,Alex Telles,78
Medium,Timo Werner,78
Medium,André Hahn,78
Medium,Paulo Oliveira,78
Medium,Rachid Ghezzal,77
Medium,Grimaldo,78
Medium,Kevin Wimmer,78
Medium,Tiago Volpi,78
Medium,Joël Veltman,78
Medium,Sead Kolašinac,78
Medium,Guido Pizarro,78
Medium,Michael Keane,79
Medium,Jesse Lingard,78
Medium,Bigas,78
Medium,Vlad Chiricheş,78
Medium,Ben Davies,78
Medium,Carlos Sánchez,78
Medium,Santiago Gentiletti,78
Medium,Takashi Inui,78
Medium,Raúl Jiménez,78
Medium,Joel Campbell,78
Medium,Mário Rui,78
Medium,M'Baye Niang,78
Medium,Christoph Kramer,78
Medium,Konstantinos Fortounis,78
Medium,Joãozinho,78
Medium,André Carrillo,78
Medium,Rodrigo Moledo,78
Medium,Johannes Geis,78
Medium,Salif Sané,78
Medium,Milan Badelj,78
Medium,Agustín Marchesín,78
Medium,Łukasz Teodorczyk,78
Medium,Nacer Chadli,78
Medium,Cristian Tello,78
Medium,Bruno,78
Medium,Sebastian Rode,78
Medium,Nicolai Jørgensen,78
Medium,John Guidetti,78
Medium,Bruno Martins Indi,78
Medium,Jordy Clasie,78
Medium,Charles Aránguiz,78
Medium,Mathew Ryan,78
Medium,Rogelio Funes Mori,78
Medium,Aymen Abdennour,78
Medium,Mexer,78
Medium,Enzo Pérez,78
Medium,Teófilo Gutiérrez,78
Medium,Dorlan Pabón,78
Medium,Charlie Austin,78
Medium,Borja Bastón,78
Medium,Sergi Enrich,78
Medium,Hernán Pérez,78
Medium,Thomas Delaney,78
Medium,Davy Pröpper,78
Medium,Cenk Tosun,78
Medium,Koen Casteels,78
Medium,Emanuele Giaccherini,78
Medium,Allan Nyom,78
Medium,Kevin Vogt,78
Medium,Fontàs,78
Medium,Lamine Sané,78
Medium,Gökhan Töre,78
Medium,Fredy Montero,78
Medium,Celso Borges,78
Medium,Michail Antonio,79
Medium,Etxeita,78
Medium,Julian Baumgartlinger,78
Medium,Mehmet Ekici,77
Medium,Muniain,78
Medium,Susaeta,78
Medium,Etrit Berisha,78
Medium,Yannick Bolasie,78
Medium,Miguel Lopes,78
Medium,Senad Lulić,78
Medium,Rochina,78
Medium,Omar El Kaddouri,78
Medium,Denis Glushakov,78
Medium,Carlos Zambrano,78
Medium,Mame Diouf,78
Medium,Onur Kıvrak,78
Medium,Jefferson Montero,78
Medium,Keisuke Honda,78
Medium,Bernardo Espinosa,78
Medium,Marco Fabián,78
Medium,Ivelin Popov,78
Medium,Joe Allen,78
Medium,Romain Thomas,78
Medium,Mehdi Carcela-González,78
Medium,Sandro Wagner,78
Medium,Pablo Piatti,78
Medium,Eric Maxim Choupo-Moting,78
Medium,Sebastian Langkamp,78
Medium,Neven Subotić,78
Medium,Fabian Delph,78
Medium,Raúl Bobadilla,78
Medium,Troy Deeney,78
Medium,Håvard Nordtveit,78
Medium,Balázs Dzsudzsák,78
Medium,Andy Carroll,78
Medium,Bořek Dočkal,78
Medium,Marek Suchý,78
Medium,Luiz Adriano,78
Medium,Guilherme,78
Medium,Ki Sung Yueng,78
Medium,Ruud Vormer,78
Medium,Etienne Capoue,78
Medium,Paul Baysse,78
Medium,Cristian Zapata,78
Medium,Dieumerci Mbokani,78
Medium,Marouane Fellaini,78
Medium,Nahuel Guzmán,78
Medium,Adrián Ramos,78
Medium,Baiano,78
Medium,Jan Ďurica,78
Medium,Pedro León,78
Medium,Zlatko Junuzović,78
Medium,Luca Antonelli,77
Medium,Victor Moses,78
Medium,Zurutuza,78
Medium,Fraser Forster,78
Medium,Lasse Schøne,78
Medium,James McArthur,78
Medium,Mario Suárez,78
Medium,Steven Defour,78
Medium,Diego Buonanotte,78
Medium,Tim Krul,78
Medium,Jack Cork,78
Medium,Kenneth Vermeer,78
Medium,Rafinha,78
Medium,Salvatore Bocchetti,78
Medium,Ignazio Abate,78
Medium,Rasmus Elm,78
Medium,Marco Ruben,78
Medium,Jakub Błaszczykowski,78
Medium,Adriano,78
Medium,Tom Heaton,79
Medium,Oleksandr Kucher,78
Medium,Karim El Ahmadi,78
Medium,Javi García,78
Medium,David Abraham,78
Medium,Riccardo Montolivo,78
Medium,Fabio Quagliarella,78
Medium,Jurado,78
Medium,Ezequiel Lavezzi,78
Medium,Christian Gentner,78
Medium,Laurent Ciman,78
Medium,Thomas Vermaelen,78
Medium,Rodrigo Palacio,78
Medium,Per Ciljan Skjelbred,78
Medium,Ashley Young,78
Medium,Mark Noble,78
Medium,Aaron Lennon,78
Medium,Christophe Jallet,78
Medium,Sergey Ryzhikov,78
Medium,Soldado,78
Medium,Oscar Wendt,78
Medium,Gökhan Gönül,78
Medium,José Sosa,78
Medium,Ragnar Klavan,78
Medium,Willy Caballero,78
Medium,Vágner Love,78
Medium,Robert Huth,78
Medium,Gomes,78
Medium,Martín Demichelis,78
Medium,Selçuk İnan,78
Medium,Alexander Meier,78
Medium,Sergey Ignashevich,78
Medium,Reyes,78
Medium,Nigel de Jong,78
Medium,Mathieu Bodmer,78
Medium,Joaquín,78
Medium,Claudio Pizarro,78
Medium,César Navas,78
Medium,Alessandro Gamberini,78
Medium,Kylian Mbappe Lottin,77
Medium,Alban Lafont,77
Medium,Renato Sanches,77
Medium,Formosandrinho,77
Medium,Sidney Pessinho,77
Medium,Everticinho,77
Medium,Louri Beretta,77
Medium,Claudio Coíntra,77
Medium,Maikel Catarino,77
Medium,Ronaldo Esler,77
Medium,Gazzolisco,77
Medium,Raphaelito Anjos,77
Medium,Mauricio Lemos,77
Medium,Dalbert,77
Medium,Lorenzo Pellegrini,77
Medium,Yeray,77
Medium,Vincent Janssen,77
Medium,Pablo Fornals,77
Medium,Marcos Llorente,77
Medium,Martín Campaña,77
Medium,Nadiem Amiri,77
Medium,Vincent Koziello,77
Medium,Vallejo,77
Medium,Şener Özbayraklı,77
Medium,Franco Cervi,77
Medium,Malcom,78
Medium,Rick Karsdorp,77
Medium,Dani Ceballos,78
Medium,Hirving Lozano,77
Medium,Yoan Cardinale,77
Medium,Badou Ndiaye,77
Medium,Alessandro Schöpf,77
Medium,Davinson Sánchez,77
Medium,Matias Vecino,77
Medium,Georges-Kévin Nkoudou,77
Medium,Sandro,77
Medium,Wesley Hoedt,77
Medium,Bastos,77
Medium,Wallace,77
Medium,Youri Tielemans,78
Medium,Alen Halilović,77
Medium,Yuriy Lodygin,77
Medium,Silvan Widmer,77
Medium,Gino Peruzzi,77
Medium,Pablo Pérez,77
Medium,Darío Benedetto,77
Medium,Iván Marcone,77
Medium,Matías Kranevitter,77
Medium,Emmanuel Mas,77
Medium,Franco Armani,77
Medium,Daniel Torres,77
Medium,Felipe Pardo,77
Medium,Sardar Azmoun,77
Medium,Alan Ruiz,77
Medium,Diego Rolán,77
Medium,Mohamed Elneny,77
Medium,Mario Lemina,77
