Name,Shooting,Heading,Weak_foot,Shot_Power,Finishing,Long_Shots,Freekick_Accuracy,Penalties
Coutinho,61.57142857142857,47.0,4.0,79.0,73.0,85.0,79.0,64.0
Ángel Di María,62.857142857142854,53.0,2.0,87.0,74.0,79.0,72.0,73.0
Diego Costa,66.57142857142857,82.0,4.0,84.0,89.0,72.0,59.0,76.0
Edinson Cavani,71.0,88.0,3.0,85.0,85.0,78.0,74.0,84.0
Radja Nainggolan,62.714285714285715,59.0,3.0,84.0,76.0,86.0,68.0,63.0
Marcelo,59.42857142857143,70.0,4.0,83.0,67.0,66.0,67.0,59.0
Claudio Marchisio,65.28571428571429,68.0,4.0,82.0,65.0,82.0,78.0,78.0
Miranda,47.0,84.0,3.0,70.0,43.0,41.0,39.0,49.0
Karim Benzema,69.14285714285714,78.0,4.0,83.0,87.0,77.0,73.0,82.0
Cesc Fàbregas,66.57142857142857,74.0,3.0,77.0,76.0,75.0,81.0,80.0
Franck Ribéry,61.285714285714285,41.0,4.0,76.0,76.0,73.0,81.0,78.0
Santi Cazorla,65.42857142857143,58.0,5.0,78.0,77.0,82.0,78.0,80.0
Andrea Barzagli,41.42857142857143,76.0,3.0,54.0,27.0,39.0,31.0,60.0
Harry Kane,69.71428571428571,83.0,3.0,86.0,88.0,80.0,66.0,82.0
Alexandre Lacazette,69.14285714285714,76.0,4.0,81.0,87.0,74.0,78.0,84.0
Keylor Navas,14.714285714285714,11.0,3.0,21.0,15.0,13.0,15.0,25.0
Romelu Lukaku,69.14285714285714,83.0,4.0,88.0,87.0,76.0,66.0,80.0
Christian Eriksen,63.42857142857143,52.0,5.0,78.0,75.0,80.0,87.0,67.0
İlkay Gündoğan,60.42857142857143,49.0,4.0,77.0,69.0,74.0,74.0,76.0
Toby Alderweireld,58.857142857142854,83.0,3.0,86.0,45.0,66.0,69.0,60.0
Willian,57.714285714285715,29.0,4.0,71.0,75.0,80.0,85.0,60.0
Miralem Pjanić,66.71428571428571,60.0,4.0,79.0,70.0,84.0,91.0,79.0
Juan Mata,65.14285714285714,63.0,3.0,75.0,80.0,70.0,84.0,81.0
Javi Martinez,54.285714285714285,86.0,3.0,76.0,55.0,63.0,45.0,52.0
Dimitri Payet,66.71428571428571,59.0,4.0,78.0,76.0,83.0,91.0,76.0
Dries Mertens,61.714285714285715,35.0,4.0,80.0,77.0,81.0,77.0,78.0
Sokratis,46.714285714285715,84.0,3.0,79.0,44.0,44.0,35.0,38.0
Marek Hamšik,65.57142857142857,74.0,4.0,79.0,78.0,82.0,72.0,70.0
Blaise Matuidi,55.42857142857143,73.0,2.0,74.0,65.0,66.0,52.0,56.0
Stéphane Ruffier,13.571428571428571,12.0,3.0,21.0,11.0,11.0,12.0,25.0
Laurent Koscielny,45.714285714285715,84.0,3.0,54.0,32.0,47.0,49.0,51.0
Filipe Luís,57.285714285714285,68.0,3.0,71.0,59.0,60.0,75.0,65.0
Vincent Kompany,53.857142857142854,84.0,3.0,75.0,45.0,55.0,52.0,63.0
Aymeric Laporte,51.57142857142857,85.0,2.0,70.0,45.0,47.0,77.0,35.0
Yannick Carrasco,63.714285714285715,53.0,4.0,84.0,78.0,75.0,78.0,74.0
Carvajal,43.0,65.0,3.0,64.0,41.0,36.0,47.0,45.0
Riyad Mahrez,60.285714285714285,45.0,4.0,76.0,77.0,73.0,75.0,72.0
Raphaël Varane,46.857142857142854,83.0,3.0,52.0,40.0,53.0,54.0,43.0
Mauro Icardi,64.42857142857143,84.0,4.0,81.0,89.0,70.0,45.0,78.0
Lorenzo Insigne,59.0,56.0,3.0,68.0,71.0,79.0,75.0,61.0
Isco,62.714285714285715,55.0,3.0,72.0,79.0,80.0,74.0,76.0
Koke,62.285714285714285,61.0,4.0,84.0,71.0,81.0,76.0,59.0
Kostas Manolas,26.142857142857142,80.0,2.0,43.0,10.0,12.0,10.0,26.0
Danijel Subašić,21.714285714285715,13.0,2.0,24.0,10.0,14.0,66.0,23.0
Nicolás Otamendi,49.857142857142854,85.0,3.0,69.0,53.0,56.0,39.0,44.0
Shkodran Mustafi,51.57142857142857,81.0,3.0,66.0,58.0,52.0,47.0,54.0
Nemanja Matić,61.857142857142854,77.0,3.0,78.0,64.0,75.0,67.0,69.0
Alex Sandro,57.142857142857146,72.0,3.0,78.0,57.0,72.0,59.0,59.0
Kamil Glik,34.142857142857146,84.0,2.0,57.0,11.0,20.0,26.0,39.0
Douglas Costa,65.71428571428571,58.0,3.0,88.0,72.0,84.0,78.0,77.0
Kevin Strootman,64.71428571428571,68.0,3.0,85.0,68.0,78.0,74.0,77.0
Nicolás Gaitán,59.714285714285715,54.0,2.0,72.0,73.0,74.0,72.0,71.0
Bruno,63.857142857142854,61.0,3.0,84.0,66.0,81.0,77.0,75.0
Ivan Perišić,68.0,78.0,5.0,83.0,78.0,80.0,76.0,76.0
David Luiz,62.857142857142854,82.0,3.0,77.0,56.0,71.0,76.0,75.0
Sami Khedira,64.42857142857143,76.0,4.0,84.0,70.0,80.0,68.0,69.0
Benedikt Höwedes,47.857142857142854,83.0,3.0,62.0,48.0,31.0,52.0,56.0
Ralf Fährmann,13.142857142857142,14.0,2.0,24.0,11.0,9.0,11.0,21.0
Sergio Asenjo,16.285714285714285,13.0,3.0,24.0,14.0,23.0,22.0,15.0
Éver Banega,59.0,45.0,4.0,74.0,65.0,77.0,81.0,67.0
Medhi Benatia,41.142857142857146,85.0,3.0,59.0,49.0,24.0,27.0,41.0
Steve Mandanda,12.428571428571429,13.0,3.0,24.0,13.0,11.0,12.0,11.0
Dani Alves,63.285714285714285,72.0,3.0,86.0,60.0,78.0,74.0,70.0
Arda Turan,61.857142857142854,70.0,4.0,73.0,72.0,77.0,64.0,73.0
Javier Mascherano,50.57142857142857,68.0,3.0,76.0,42.0,55.0,50.0,60.0
Aduriz,68.0,94.0,3.0,83.0,85.0,80.0,54.0,77.0
Yaya Touré,72.14285714285714,74.0,4.0,86.0,82.0,85.0,85.0,89.0
Eric Bailly,43.857142857142854,79.0,3.0,55.0,33.0,48.0,43.0,46.0
José María Giménez,45.857142857142854,79.0,3.0,72.0,37.0,48.0,44.0,38.0
N'Golo Kanté,51.857142857142854,54.0,3.0,72.0,65.0,66.0,49.0,54.0
Gerónimo Rulli,16.428571428571427,12.0,3.0,24.0,15.0,17.0,20.0,24.0
João Mário,59.142857142857146,55.0,4.0,77.0,72.0,73.0,67.0,66.0
André Gomes,59.57142857142857,69.0,4.0,80.0,68.0,73.0,68.0,55.0
Marquinhos,38.142857142857146,80.0,3.0,53.0,33.0,35.0,32.0,31.0
Carlos Bacca,64.42857142857143,76.0,2.0,78.0,88.0,70.0,58.0,79.0
William Carvalho,52.42857142857143,72.0,4.0,63.0,55.0,63.0,50.0,60.0
Karim Bellarabi,57.714285714285715,48.0,3.0,85.0,75.0,78.0,58.0,57.0
Raheem Sterling,51.857142857142854,38.0,2.0,68.0,73.0,70.0,49.0,63.0
Julian Draxler,63.57142857142857,65.0,5.0,84.0,75.0,81.0,72.0,63.0
Roberto Firmino,65.28571428571429,73.0,4.0,79.0,82.0,80.0,67.0,72.0
Marcos Rojo,57.42857142857143,85.0,2.0,79.0,52.0,63.0,57.0,64.0
Kalidou Koulibaly,32.857142857142854,78.0,2.0,55.0,19.0,15.0,28.0,33.0
Danilo Pereira,54.57142857142857,77.0,3.0,77.0,56.0,64.0,53.0,52.0
Timo Horn,15.142857142857142,14.0,4.0,22.0,13.0,17.0,15.0,21.0
Casemiro,62.42857142857143,74.0,3.0,86.0,59.0,75.0,74.0,66.0
Vitolo,62.0,65.0,4.0,77.0,79.0,73.0,62.0,74.0
Anthony Lopes,14.857142857142858,16.0,2.0,20.0,18.0,18.0,14.0,16.0
Mattia Perin,14.285714285714286,12.0,3.0,23.0,11.0,17.0,13.0,21.0
Joel Matip,43.42857142857143,88.0,2.0,66.0,36.0,48.0,22.0,42.0
Juan Cuadrado,61.42857142857143,58.0,3.0,84.0,71.0,80.0,69.0,65.0
Iago Aspas,68.0,78.0,3.0,79.0,84.0,82.0,76.0,74.0
Marc-André ter Stegen,13.857142857142858,11.0,4.0,22.0,13.0,10.0,12.0,25.0
Mario Götze,57.0,49.0,4.0,68.0,74.0,66.0,73.0,65.0
Ander Herrera,60.714285714285715,60.0,4.0,72.0,71.0,74.0,65.0,79.0
Javier Pastore,62.57142857142857,63.0,4.0,78.0,73.0,76.0,69.0,75.0
Chris Smalling,41.285714285714285,85.0,3.0,42.0,50.0,35.0,22.0,52.0
Pedro,58.285714285714285,55.0,5.0,71.0,81.0,73.0,57.0,66.0
Giacomo Bonaventura,64.42857142857143,58.0,3.0,84.0,75.0,85.0,78.0,68.0
Roman Bürki,13.571428571428571,17.0,2.0,22.0,8.0,14.0,12.0,20.0
Oscar,61.42857142857143,54.0,3.0,76.0,75.0,77.0,77.0,68.0
Steven N'Zonzi,55.714285714285715,79.0,3.0,79.0,64.0,66.0,42.0,57.0
Aaron Ramsey,62.142857142857146,58.0,3.0,81.0,73.0,75.0,70.0,75.0
Mateo Musacchio,49.142857142857146,81.0,3.0,57.0,48.0,53.0,45.0,57.0
Ömer Toprak,42.285714285714285,83.0,5.0,63.0,28.0,36.0,33.0,48.0
José Callejón,61.142857142857146,65.0,2.0,78.0,76.0,80.0,65.0,62.0
Adrien Silva,66.14285714285714,61.0,4.0,83.0,71.0,81.0,78.0,85.0
Azpilicueta,53.42857142857143,73.0,3.0,68.0,46.0,60.0,58.0,66.0
Sebastian Giovinco,63.0,37.0,4.0,78.0,81.0,80.0,86.0,75.0
Anthony Modeste,65.85714285714286,86.0,3.0,81.0,86.0,72.0,56.0,77.0
Mario Mandžukić,62.0,90.0,3.0,78.0,84.0,58.0,45.0,76.0
Adam Lallana,61.57142857142857,67.0,5.0,72.0,79.0,72.0,66.0,70.0
Olivier Giroud,68.71428571428571,88.0,3.0,84.0,84.0,76.0,65.0,81.0
Rui Patrício,17.428571428571427,11.0,2.0,38.0,12.0,11.0,16.0,32.0
Yann Sommer,14.142857142857142,10.0,4.0,23.0,13.0,12.0,13.0,24.0
Jonas,70.85714285714286,81.0,5.0,80.0,86.0,84.0,77.0,83.0
Kévin Gameiro,67.28571428571429,67.0,3.0,84.0,86.0,76.0,70.0,85.0
Claudio Bravo,22.857142857142858,18.0,3.0,22.0,13.0,21.0,60.0,23.0
Łukasz Piszczek,57.0,74.0,3.0,77.0,65.0,68.0,47.0,65.0
Jan Vertonghen,62.857142857142854,82.0,3.0,86.0,60.0,68.0,73.0,68.0
Asmir Begović,17.285714285714285,12.0,2.0,28.0,12.0,12.0,15.0,40.0
Naldo,66.28571428571429,93.0,4.0,92.0,57.0,82.0,76.0,60.0
Daniel Sturridge,66.85714285714286,73.0,2.0,83.0,84.0,83.0,68.0,75.0
José Fonte,36.142857142857146,77.0,3.0,29.0,40.0,29.0,32.0,43.0
Ezequiel Garay,62.42857142857143,85.0,3.0,80.0,58.0,68.0,74.0,69.0
Samir Nasri,62.0,42.0,5.0,74.0,77.0,80.0,79.0,77.0
Gary Cahill,50.57142857142857,86.0,3.0,63.0,56.0,66.0,27.0,53.0
Ashley Williams,41.714285714285715,79.0,4.0,64.0,37.0,40.0,23.0,45.0
Leighton Baines,68.28571428571429,74.0,3.0,84.0,70.0,75.0,82.0,90.0
Kasper Schmeichel,17.428571428571427,16.0,3.0,36.0,12.0,14.0,15.0,26.0
Borja Valero,60.142857142857146,60.0,4.0,72.0,67.0,70.0,76.0,72.0
Hatem Ben Arfa,67.71428571428571,65.0,4.0,83.0,79.0,81.0,75.0,87.0
Joe Hart,27.428571428571427,10.0,3.0,65.0,14.0,19.0,13.0,68.0
Juanfran,51.142857142857146,55.0,3.0,68.0,54.0,53.0,59.0,66.0
Wesley Sneijder,63.0,32.0,5.0,87.0,72.0,84.0,85.0,76.0
Nani,63.42857142857143,46.0,4.0,85.0,75.0,83.0,79.0,72.0
Stephan Lichtsteiner,57.285714285714285,72.0,3.0,74.0,50.0,70.0,66.0,66.0
Wayne Rooney,70.57142857142857,76.0,4.0,86.0,84.0,84.0,81.0,79.0
Daniele De Rossi,62.285714285714285,81.0,4.0,81.0,50.0,74.0,71.0,75.0
José Reina,14.857142857142858,13.0,3.0,24.0,14.0,15.0,11.0,24.0
Quaresma,61.857142857142854,41.0,4.0,83.0,70.0,83.0,78.0,74.0
Marco Asensio,58.714285714285715,50.0,3.0,67.0,75.0,78.0,76.0,62.0
Bernardo Silva,56.142857142857146,51.0,3.0,72.0,76.0,64.0,63.0,64.0
Islam Slimani,63.57142857142857,92.0,3.0,78.0,81.0,72.0,47.0,72.0
Jonathan Tah,33.857142857142854,80.0,4.0,44.0,19.0,25.0,27.0,38.0
Anthony Martial,62.42857142857143,70.0,4.0,84.0,82.0,72.0,54.0,71.0
Dele Alli,57.0,70.0,3.0,75.0,79.0,74.0,46.0,52.0
Ederson,18.142857142857142,14.0,2.0,42.0,14.0,18.0,20.0,17.0
Mohamed Salah,56.142857142857146,59.0,2.0,71.0,78.0,62.0,60.0,61.0
Sadio Mané,59.142857142857146,53.0,3.0,76.0,81.0,66.0,64.0,71.0
Lucas Vázquez,60.0,51.0,4.0,78.0,77.0,79.0,75.0,56.0
Franco Vázquez,62.857142857142854,68.0,3.0,74.0,77.0,83.0,68.0,67.0
Manu Trigueros,63.714285714285715,76.0,4.0,81.0,71.0,80.0,69.0,65.0
Samuel Umtiti,58.142857142857146,72.0,3.0,83.0,51.0,74.0,63.0,61.0
Stefan Savić,36.714285714285715,81.0,3.0,43.0,34.0,31.0,28.0,37.0
Roque Mesa,44.142857142857146,32.0,3.0,63.0,67.0,54.0,48.0,42.0
Loris Karius,14.857142857142858,14.0,3.0,20.0,18.0,16.0,14.0,19.0
Alessandro Florenzi,66.85714285714286,70.0,3.0,82.0,76.0,82.0,79.0,76.0
Virgil van Dijk,58.714285714285715,76.0,3.0,81.0,55.0,64.0,70.0,62.0
Jack Butland,18.428571428571427,12.0,3.0,29.0,16.0,13.0,14.0,42.0
Morata,61.142857142857146,75.0,4.0,78.0,81.0,74.0,44.0,72.0
Lucas,60.57142857142857,50.0,3.0,79.0,72.0,71.0,74.0,75.0
Yevhen Konoplyanka,64.14285714285714,49.0,4.0,77.0,80.0,84.0,80.0,75.0
Francesco Acerbi,54.285714285714285,77.0,3.0,75.0,37.0,60.0,56.0,72.0
Nolito,62.42857142857143,45.0,3.0,74.0,81.0,80.0,80.0,74.0
Granit Xhaka,59.57142857142857,62.0,4.0,88.0,49.0,85.0,70.0,59.0
Stefan de Vrij,41.0,76.0,4.0,65.0,25.0,60.0,16.0,41.0
Jonathan Viera,60.285714285714285,41.0,4.0,70.0,78.0,79.0,76.0,74.0
Pizzi,61.57142857142857,45.0,4.0,74.0,78.0,78.0,76.0,76.0
Serge Aurier,53.857142857142854,77.0,3.0,78.0,65.0,58.0,30.0,66.0
Grzegorz Krychowiak,59.857142857142854,83.0,3.0,81.0,42.0,70.0,62.0,78.0
Kevin Kampl,53.42857142857143,34.0,4.0,70.0,65.0,73.0,64.0,64.0
Dejan Lovren,40.142857142857146,77.0,4.0,63.0,33.0,34.0,18.0,52.0
Gary Medel,47.714285714285715,68.0,4.0,65.0,31.0,59.0,45.0,62.0
Idrissa Gueye,52.285714285714285,69.0,3.0,80.0,50.0,67.0,43.0,54.0
Víctor Ruíz,43.57142857142857,77.0,2.0,59.0,37.0,38.0,46.0,46.0
Ricardo Rodríguez,63.857142857142854,68.0,3.0,78.0,59.0,72.0,84.0,83.0
Xherdan Shaqiri,60.0,37.0,4.0,84.0,74.0,78.0,78.0,65.0
Ciro Immobile,64.71428571428571,75.0,3.0,86.0,86.0,76.0,51.0,76.0
Nathaniel Clyne,50.142857142857146,66.0,3.0,74.0,54.0,69.0,39.0,46.0
Iborra,64.0,81.0,4.0,85.0,72.0,64.0,70.0,72.0
Jack Wilshere,58.42857142857143,58.0,2.0,75.0,64.0,73.0,72.0,65.0
Shinji Kagawa,52.42857142857143,44.0,4.0,47.0,76.0,55.0,63.0,78.0
Kevin Trapp,13.142857142857142,11.0,4.0,22.0,13.0,13.0,12.0,17.0
Taison,64.0,58.0,3.0,83.0,76.0,83.0,73.0,72.0
Kyle Walker,59.285714285714285,74.0,2.0,86.0,51.0,68.0,71.0,63.0
Marlos,61.57142857142857,53.0,3.0,76.0,76.0,78.0,71.0,74.0
Luiz Gustavo,54.0,75.0,3.0,80.0,46.0,71.0,45.0,58.0
Giuliano,62.857142857142854,59.0,3.0,79.0,78.0,77.0,69.0,75.0
Gylfi Sigurðsson,68.14285714285714,60.0,3.0,82.0,81.0,83.0,88.0,80.0
Yacine Brahimi,60.0,46.0,3.0,69.0,75.0,74.0,78.0,75.0
Marko Arnautović,64.57142857142857,72.0,4.0,78.0,75.0,71.0,74.0,78.0
Jordan Henderson,59.857142857142854,65.0,3.0,75.0,67.0,71.0,74.0,64.0
Orestis Karnezis,18.142857142857142,24.0,3.0,22.0,23.0,23.0,11.0,21.0
Mamadou Sakho,36.42857142857143,71.0,2.0,51.0,23.0,38.0,30.0,40.0
Adil Rami,53.0,79.0,3.0,83.0,45.0,58.0,55.0,48.0
Fernando Néstor Muslera,13.285714285714286,12.0,2.0,25.0,10.0,10.0,10.0,24.0
Vedran Ćorluka,51.285714285714285,83.0,3.0,64.0,47.0,53.0,60.0,49.0
Edin Džeko,64.14285714285714,80.0,4.0,86.0,86.0,69.0,54.0,70.0
Séamus Coleman,53.285714285714285,67.0,3.0,75.0,65.0,68.0,35.0,60.0
Javier Hernández,63.57142857142857,82.0,3.0,76.0,87.0,69.0,52.0,76.0
Beñat,62.857142857142854,47.0,3.0,87.0,69.0,81.0,84.0,69.0
Lars Bender,54.857142857142854,78.0,3.0,74.0,59.0,71.0,47.0,52.0
Axel Witsel,64.57142857142857,77.0,3.0,78.0,71.0,74.0,68.0,81.0
Morgan Schneiderlin,54.57142857142857,71.0,3.0,71.0,64.0,56.0,61.0,56.0
Kevin Mirallas,64.28571428571429,64.0,4.0,77.0,78.0,76.0,76.0,75.0
Carlos Vela,62.714285714285715,64.0,2.0,73.0,79.0,78.0,71.0,72.0
Emiliano Viviano,15.428571428571429,13.0,2.0,21.0,17.0,18.0,16.0,21.0
Antonio Valencia,55.857142857142854,64.0,1.0,85.0,58.0,62.0,66.0,55.0
Gonzalo Castro,58.857142857142854,52.0,4.0,77.0,69.0,78.0,74.0,58.0
Falcao,69.42857142857143,90.0,4.0,78.0,83.0,76.0,71.0,84.0
Diego Alves,19.0,20.0,2.0,24.0,20.0,22.0,21.0,24.0
Andrea Consigli,14.571428571428571,10.0,3.0,24.0,10.0,19.0,15.0,21.0
João Moutinho,64.71428571428571,68.0,4.0,77.0,73.0,82.0,79.0,70.0
Moussa Dembélé,59.285714285714285,68.0,2.0,85.0,66.0,72.0,55.0,67.0
Michael Krohn-Dehli,62.857142857142854,50.0,4.0,81.0,78.0,68.0,83.0,76.0
Loïc Perrin,58.142857142857146,80.0,3.0,74.0,64.0,67.0,51.0,68.0
Lucas Biglia,58.57142857142857,54.0,4.0,77.0,52.0,75.0,76.0,72.0
Benoît Costil,13.571428571428571,15.0,3.0,22.0,14.0,15.0,11.0,15.0
Raúl Albiol,43.857142857142854,77.0,3.0,65.0,27.0,53.0,45.0,37.0
Mario Gómez,63.0,83.0,4.0,82.0,84.0,78.0,36.0,74.0
Gabi,62.285714285714285,51.0,3.0,81.0,67.0,76.0,75.0,83.0
Diego López,12.857142857142858,10.0,3.0,22.0,12.0,11.0,11.0,21.0
Raffael,64.0,63.0,4.0,77.0,81.0,78.0,73.0,72.0
Alejandro Gómez,57.42857142857143,36.0,4.0,74.0,72.0,78.0,69.0,69.0
Gonzalo Rodríguez,51.0,86.0,3.0,68.0,44.0,36.0,46.0,74.0
Vincent Enyeama,31.857142857142858,10.0,3.0,35.0,19.0,10.0,71.0,75.0
Kaká,62.42857142857143,52.0,4.0,76.0,74.0,77.0,70.0,84.0
Fernandinho,60.714285714285715,55.0,4.0,83.0,70.0,81.0,71.0,61.0
David Villa,68.71428571428571,66.0,5.0,80.0,86.0,76.0,80.0,88.0
Victor Valdés,14.714285714285714,11.0,3.0,29.0,12.0,10.0,12.0,26.0
Per Mertesacker,44.0,86.0,3.0,71.0,36.0,25.0,45.0,42.0
Patrice Evra,51.142857142857146,80.0,2.0,72.0,33.0,63.0,51.0,57.0
Xabi Alonso,66.71428571428571,72.0,4.0,86.0,56.0,85.0,84.0,80.0
Michael Carrick,58.142857142857146,73.0,3.0,78.0,59.0,71.0,59.0,64.0
Andrea Pirlo,59.714285714285715,39.0,4.0,75.0,58.0,65.0,93.0,84.0
Casillas,16.714285714285715,25.0,2.0,28.0,12.0,13.0,13.0,24.0
Ousmane Dembélé,56.857142857142854,43.0,5.0,73.0,77.0,65.0,65.0,70.0
Corentin Tolisso,65.42857142857143,82.0,3.0,80.0,75.0,75.0,73.0,70.0
Marcelo Brozović,61.714285714285715,62.0,4.0,78.0,66.0,79.0,74.0,69.0
Federico Bernardeschi,61.714285714285715,48.0,3.0,78.0,71.0,82.0,78.0,72.0
Niklas Süle,42.0,80.0,3.0,70.0,20.0,59.0,30.0,32.0
Domenico Berardi,66.42857142857143,62.0,3.0,83.0,78.0,83.0,76.0,80.0
Morgan Sanson,62.42857142857143,69.0,4.0,79.0,75.0,72.0,70.0,68.0
Samu Castillejo,53.285714285714285,43.0,2.0,69.0,69.0,59.0,72.0,59.0
Adrien Rabiot,60.57142857142857,75.0,3.0,79.0,66.0,76.0,57.0,68.0
Leon Goretzka,59.857142857142854,73.0,4.0,76.0,66.0,77.0,72.0,51.0
Quincy Promes,65.57142857142857,60.0,4.0,82.0,82.0,83.0,76.0,72.0
Andrea Belotti,64.71428571428571,81.0,5.0,81.0,86.0,67.0,56.0,77.0
Jonas Hector,55.857142857142854,73.0,3.0,69.0,55.0,61.0,65.0,65.0
Mateo Kovačić,54.857142857142854,42.0,4.0,79.0,58.0,74.0,68.0,59.0
Sergio Rico,14.714285714285714,11.0,3.0,19.0,14.0,12.0,20.0,24.0
Oleg Shatov,59.0,55.0,4.0,75.0,75.0,74.0,70.0,60.0
Jorginho,58.42857142857143,56.0,3.0,71.0,57.0,62.0,76.0,84.0
Florian Thauvin,60.0,69.0,3.0,82.0,74.0,81.0,54.0,57.0
Michy Batshuayi,61.714285714285715,73.0,4.0,83.0,83.0,76.0,46.0,67.0
Iñigo Martínez,52.142857142857146,76.0,2.0,81.0,42.0,74.0,51.0,39.0
Suso,60.42857142857143,50.0,3.0,74.0,70.0,80.0,78.0,68.0
Deulofeu,56.57142857142857,40.0,4.0,68.0,74.0,65.0,75.0,70.0
Felipe Anderson,58.42857142857143,44.0,4.0,84.0,71.0,84.0,69.0,53.0
Jasper Cillessen,15.142857142857142,12.0,3.0,35.0,10.0,15.0,10.0,21.0
Wissam Ben Yedder,65.85714285714286,74.0,5.0,78.0,84.0,69.0,77.0,74.0
Lucas Pérez,68.28571428571429,68.0,3.0,83.0,85.0,82.0,78.0,79.0
Ross Barkley,62.0,65.0,5.0,80.0,70.0,79.0,70.0,65.0
