Name,Dribbling,Skill_Moves,Ball_Control,Attacking_Position,Balance,Agility
Miranda,46.4,2,67,43,58,62
Karim Benzema,62.8,4,86,87,60,77
Cesc Fàbregas,61.8,3,86,78,77,65
Franck Ribéry,71.0,5,90,81,91,88
Santi Cazorla,69.8,4,87,82,91,85
Andrea Barzagli,43.8,2,65,28,65,59
Harry Kane,61.4,3,82,86,62,74
Alexandre Lacazette,69.2,4,84,87,84,87
Keylor Navas,31.4,1,19,16,61,60
Romelu Lukaku,55.4,3,79,85,48,62
Christian Eriksen,65.8,4,86,81,81,77
İlkay Gündoğan,67.4,4,88,77,83,85
Toby Alderweireld,47.4,2,70,56,49,60
Willian,67.4,4,86,78,82,87
Miralem Pjanić,65.4,4,89,76,79,79
Juan Mata,70.6,3,88,84,89,89
Javi Martinez,48.4,2,71,57,58,54
Dimitri Payet,66.8,4,90,79,81,80
Dries Mertens,71.8,4,88,81,92,94
Sokratis,48.0,2,58,50,67,63
Marek Hamšik,62.4,3,86,84,63,76
Blaise Matuidi,60.6,2,77,68,79,77
Stéphane Ruffier,26.8,1,15,12,55,51
Laurent Koscielny,46.4,2,67,31,62,70
Filipe Luís,57.8,3,81,71,60,74
Vincent Kompany,42.2,2,66,41,42,60
Aymeric Laporte,46.2,2,71,54,55,49
Yannick Carrasco,66.6,4,85,82,71,91
Carvajal,61.4,2,83,61,79,82
Riyad Mahrez,69.8,5,90,80,82,92
Raphaël Varane,45.2,2,75,44,47,58
Mauro Icardi,64.2,2,79,89,76,75
Lorenzo Insigne,73.2,4,90,83,93,96
Isco,68.4,4,90,83,82,83
Koke,64.8,3,86,80,78,77
Kostas Manolas,44.2,2,65,25,60,69
Danijel Subašić,22.8,1,19,15,37,42
Nicolás Otamendi,49.6,2,64,49,62,71
Shkodran Mustafi,51.4,2,70,50,69,66
Nemanja Matić,52.0,3,79,68,53,57
Alex Sandro,62.8,3,81,72,79,79
Kamil Glik,34.6,2,59,24,55,33
Douglas Costa,69.6,5,84,78,90,91
Kevin Strootman,60.0,3,85,78,68,66
Nicolás Gaitán,67.2,4,85,79,81,87
Bruno,53.4,3,83,69,59,53
Ivan Perišić,63.2,4,83,84,67,78
David Luiz,53.2,3,79,54,56,74
Sami Khedira,55.4,2,81,80,55,59
Benedikt Höwedes,49.8,2,70,51,61,65
Ralf Fährmann,22.2,1,24,11,36,39
Sergio Asenjo,29.4,1,14,12,58,62
Éver Banega,67.6,4,87,75,86,86
Medhi Benatia,44.0,2,65,39,55,59
Steve Mandanda,23.4,1,17,11,36,52
Dani Alves,66.4,3,85,72,87,85
Arda Turan,67.4,4,88,82,77,86
Javier Mascherano,56.4,2,80,51,78,71
Aduriz,55.8,3,80,86,57,53
Yaya Touré,56.0,3,82,80,55,60
Eric Bailly,50.0,2,63,44,65,76
José María Giménez,38.0,2,56,24,51,57
N'Golo Kanté,64.2,3,79,69,90,80
Gerónimo Rulli,27.2,1,15,12,50,58
João Mário,63.8,3,85,80,70,81
André Gomes,59.0,3,83,77,64,68
Marquinhos,52.0,2,76,46,68,68
Carlos Bacca,64.6,3,80,87,75,78
William Carvalho,48.8,3,78,64,54,45
Karim Bellarabi,66.6,4,84,80,78,87
Raheem Sterling,70.0,4,84,81,91,90
Julian Draxler,65.0,4,85,79,75,82
Roberto Firmino,66.8,4,83,84,81,82
Marcos Rojo,53.8,3,71,59,63,73
Kalidou Koulibaly,36.8,2,57,24,48,53
Danilo Pereira,53.0,2,77,68,60,58
Timo Horn,23.8,1,22,15,31,50
Casemiro,53.6,2,77,66,57,66
Vitolo,61.2,3,85,80,63,75
Anthony Lopes,33.2,1,21,17,62,65
Mattia Perin,27.2,1,23,12,30,70
Joel Matip,46.4,2,71,51,50,58
Juan Cuadrado,68.4,5,85,78,83,91
Iago Aspas,67.4,3,84,85,77,88
Marc-André ter Stegen,22.0,1,18,11,43,37
Mario Götze,69.2,4,90,82,84,86
Ander Herrera,67.4,4,85,79,84,85
Javier Pastore,62.4,4,87,78,58,85
Chris Smalling,43.8,2,61,48,48,60
Pedro,67.8,4,85,84,82,84
Giacomo Bonaventura,64.4,3,84,79,77,79
Roman Bürki,27.4,1,23,10,52,51
Oscar,67.0,4,84,81,80,86
Steven N'Zonzi,45.8,3,82,70,31,43
Aaron Ramsey,64.4,3,84,83,75,77
Mateo Musacchio,51.4,2,73,50,59,73
Ömer Toprak,47.0,2,72,35,61,65
José Callejón,68.2,3,84,88,81,85
Adrien Silva,60.6,3,85,75,67,73
Azpilicueta,58.4,3,77,64,73,75
Sebastian Giovinco,72.0,4,87,83,93,93
Anthony Modeste,59.0,3,78,85,61,68
Mario Mandžukić,58.4,2,77,89,55,69
Adam Lallana,65.2,4,86,77,76,83
Olivier Giroud,55.8,2,82,84,52,59
Rui Patrício,30.4,1,23,13,54,61
Yann Sommer,30.8,1,25,15,58,55
Jonas,65.2,3,88,86,67,82
Kévin Gameiro,65.6,3,80,86,77,82
Claudio Bravo,31.8,1,15,15,64,64
Łukasz Piszczek,57.0,2,76,73,67,67
Jan Vertonghen,51.2,2,74,63,55,62
Asmir Begović,26.0,1,24,11,41,53
Naldo,43.6,2,68,53,42,53
Daniel Sturridge,62.2,4,81,84,64,78
José Fonte,44.8,2,64,40,56,62
Ezequiel Garay,43.8,2,73,49,38,57
Samir Nasri,69.4,4,87,79,92,85
Gary Cahill,44.6,2,63,45,51,62
Ashley Williams,43.2,2,69,28,59,58
Leighton Baines,63.4,3,79,75,85,75
Kasper Schmeichel,29.6,1,24,14,47,62
Borja Valero,66.0,4,88,76,82,80
Hatem Ben Arfa,65.8,5,86,74,79,85
Joe Hart,23.4,1,20,14,32,50
Juanfran,57.4,3,79,68,62,75
Wesley Sneijder,66.0,3,85,74,85,83
Nani,67.4,5,86,77,77,92
Stephan Lichtsteiner,59.8,2,75,68,79,75
Wayne Rooney,64.4,3,80,85,77,77
Daniele De Rossi,55.2,2,78,55,72,69
José Reina,29.4,1,23,13,60,50
Quaresma,68.0,5,87,75,84,89
Marco Asensio,63.2,4,85,72,76,79
Bernardo Silva,67.2,4,86,78,83,85
Islam Slimani,57.4,2,76,86,57,66
Jonathan Tah,35.0,2,64,27,34,48
Anthony Martial,67.6,4,84,80,85,85
Dele Alli,60.4,3,83,84,58,74
Ederson,27.4,1,30,16,40,50
Mohamed Salah,68.8,4,87,83,84,86
Sadio Mané,68.2,4,82,82,85,88
Lucas Vázquez,65.4,3,82,81,79,82
Franco Vázquez,57.0,3,89,74,48,71
Manu Trigueros,63.0,4,84,77,71,79
Samuel Umtiti,53.4,2,73,58,66,68
Stefan Savić,42.2,2,66,29,54,60
Roque Mesa,63.4,2,82,67,89,77
Loris Karius,25.2,1,23,8,43,51
Alessandro Florenzi,67.8,3,83,82,84,87
Virgil van Dijk,44.4,2,71,41,51,57
Jack Butland,30.6,1,26,16,55,55
Morata,57.4,3,83,83,56,62
Lucas,68.8,4,84,78,85,93
Yevhen Konoplyanka,64.6,4,85,75,78,81
Francesco Acerbi,32.6,2,67,20,41,33
Nolito,66.8,4,83,82,81,84
Granit Xhaka,55.4,3,80,77,62,55
Stefan de Vrij,45.6,2,72,32,60,62
Jonathan Viera,67.6,3,83,79,84,89
Pizzi,68.4,4,82,85,86,85
Serge Aurier,62.0,3,79,74,78,76
Grzegorz Krychowiak,48.0,2,75,52,52,59
Kevin Kampl,66.8,4,82,76,81,91
Dejan Lovren,37.0,2,67,21,41,54
Gary Medel,60.8,2,74,58,92,78
Idrissa Gueye,61.2,2,79,67,83,75
Víctor Ruíz,45.2,2,71,39,58,56
Ricardo Rodríguez,59.8,3,80,68,73,75
Xherdan Shaqiri,69.0,4,83,77,94,87
Ciro Immobile,61.6,3,79,86,63,77
Nathaniel Clyne,62.0,3,75,72,76,84
Iborra,51.2,2,80,82,38,54
Jack Wilshere,67.4,3,84,80,87,83
Shinji Kagawa,70.4,4,84,80,92,92
Kevin Trapp,23.2,1,24,12,37,42
Taison,67.0,4,85,74,83,89
Kyle Walker,57.2,2,75,66,73,70
Marlos,69.2,5,88,77,84,92
Luiz Gustavo,50.8,2,73,51,62,66
Giuliano,67.0,4,82,79,85,85
Gylfi Sigurðsson,59.8,3,82,80,62,72
Yacine Brahimi,68.8,4,84,76,87,93
Marko Arnautović,60.2,4,85,79,57,76
Jordan Henderson,60.4,3,80,74,71,74
Orestis Karnezis,25.6,1,23,10,49,45
Mamadou Sakho,42.2,2,61,32,55,61
Adil Rami,39.4,2,64,24,50,57
Fernando Néstor Muslera,33.4,1,23,13,62,68
Vedran Ćorluka,44.8,3,73,45,46,57
Edin Džeko,53.6,2,79,87,42,58
Séamus Coleman,61.4,3,77,76,74,77
Javier Hernández,67.0,3,79,88,84,81
Beñat,60.8,2,80,78,74,70
Lars Bender,55.4,2,75,69,66,65
Axel Witsel,61.2,4,85,75,60,82
Morgan Schneiderlin,58.4,2,79,67,71,73
Kevin Mirallas,65.2,4,85,80,74,83
Carlos Vela,66.0,4,81,80,79,86
Emiliano Viviano,20.0,1,22,10,32,35
Antonio Valencia,64.4,3,80,78,87,74
Gonzalo Castro,65.8,3,82,78,83,83
Falcao,65.8,3,81,85,75,85
Diego Alves,31.0,1,15,13,57,69
Andrea Consigli,26.2,1,23,10,40,57
João Moutinho,64.8,3,82,74,84,81
Moussa Dembélé,62.6,4,84,71,71,83
Michael Krohn-Dehli,64.6,3,82,84,78,76
Loïc Perrin,54.0,2,74,56,73,65
Lucas Biglia,59.2,3,84,55,78,76
Benoît Costil,21.6,1,12,12,45,38
Raúl Albiol,42.0,2,67,30,56,55
Mario Gómez,56.0,2,75,84,55,64
Gabi,59.8,2,79,72,73,73
Diego López,26.0,1,23,11,47,48
Raffael,67.2,4,83,82,83,84
Alejandro Gómez,70.8,4,86,78,94,92
Gonzalo Rodríguez,46.0,2,72,32,60,64
Vincent Enyeama,30.6,1,23,10,59,60
Kaká,60.0,4,84,79,64,69
Fernandinho,61.0,3,76,68,79,79
David Villa,65.2,4,85,86,75,76
Victor Valdés,30.8,1,30,12,53,58
Per Mertesacker,33.4,2,65,43,28,29
Patrice Evra,62.4,3,75,68,87,79
Xabi Alonso,55.8,2,81,77,66,53
Michael Carrick,53.8,2,80,66,63,58
Andrea Pirlo,48.8,2,86,48,64,44
Casillas,29.6,1,23,16,46,62
Ousmane Dembélé,66.0,5,82,78,78,87
Corentin Tolisso,61.2,3,78,78,73,74
Marcelo Brozović,62.6,3,84,76,75,75
Federico Bernardeschi,64.8,4,87,78,72,83
Niklas Süle,28.0,2,46,26,33,33
Domenico Berardi,66.0,3,86,81,73,87
Morgan Sanson,61.8,3,80,74,69,83
Samu Castillejo,65.8,4,81,81,79,84
Adrien Rabiot,57.0,2,81,73,53,76
Leon Goretzka,61.4,3,81,75,72,76
Quincy Promes,66.0,4,82,79,78,87
Andrea Belotti,63.6,3,76,85,75,79
Jonas Hector,57.0,3,81,62,68,71
Mateo Kovačić,61.0,4,87,67,70,77
Sergio Rico,29.4,1,12,11,61,62
Oleg Shatov,65.0,4,82,78,78,83
Jorginho,63.0,3,84,72,74,82
Florian Thauvin,64.0,4,82,80,72,82
Michy Batshuayi,65.0,3,77,83,78,84
Iñigo Martínez,49.6,2,67,48,64,67
Suso,67.2,4,86,76,84,86
Deulofeu,67.6,4,86,78,77,93
Felipe Anderson,67.6,4,86,70,88,90
Jasper Cillessen,28.4,1,32,11,50,48
Wissam Ben Yedder,69.4,4,83,83,86,91
Lucas Pérez,63.2,4,82,81,75,74
Ross Barkley,57.8,3,86,71,59,70
Cédric Bakambu,63.4,3,82,82,69,81
Bartra,56.0,3,78,61,69,69
André Schürrle,63.8,3,79,80,78,79
Roberto Pereyra,65.2,4,85,80,75,82
Mario Gaspar,54.0,2,75,64,60,69
Fabián Orellana,61.6,4,84,75,55,90
Lukáš Hrádecký,22.2,1,19,9,39,43
Daley Blind,58.8,2,80,64,75,73
De Marcos,63.0,3,81,80,74,77
Wilfried Bony,60.2,3,76,83,72,67
Iturraspe,50.4,2,80,72,45,53
Parejo,60.4,3,83,79,68,69
Salomón Rondón,56.6,3,78,82,48,72
Daniel Carriço,51.0,2,69,57,68,59
Bas Dost,46.2,2,70,87,35,37
James McCarthy,56.0,3,77,63,71,66
Camacho,55.4,2,75,66,63,71
Paulinho,58.6,3,81,75,64,70
Alan Dzagoev,60.8,3,82,76,72,71
Igor Smolnikov,61.6,2,72,78,76,80
Lars Stindl,63.2,3,82,82,78,71
Mario Balotelli,56.8,4,85,76,50,69
Wojciech Szczęsny,27.6,1,22,14,46,55
Nikola Kalinić,59.8,3,79,90,58,69
Mikel San José,50.4,2,79,70,55,46
Christian Benteke,56.2,3,80,76,48,74
Marco Parolo,60.8,3,79,82,71,69
Ljubomir Fejsa,48.8,2,71,59,56,56
Martín Cáceres,55.4,2,65,50,79,81
Georginio Wijnaldum,66.2,3,84,82,80,82
Federico Fazio,33.2,2,70,32,33,29
Simon Kjær,41.2,2,67,31,58,48
Loïc Rémy,60.6,4,76,81,65,77
Miguel Layún,62.2,3,78,75,77,78
Adán,26.6,1,15,11,51,55
Benoît Trémoulinas,62.8,2,80,73,78,81
Sven Bender,47.8,2,64,49,62,62
Mathieu Valbuena,69.0,4,81,76,93,91
Bojan,66.2,4,82,78,84,83
Augusto Fernández,62.6,3,82,78,75,75
Antonio Candreva,63.6,4,85,78,76,75
Davide Astori,41.8,2,66,29,54,58
Raúl García,60.0,3,84,85,63,65
Giovani dos Santos,69.4,4,84,80,90,89
Erik Lamela,63.0,4,83,79,71,78
Ryan Shawcross,41.2,2,54,31,57,62
Danny Rose,59.2,3,76,68,76,73
Renato Augusto,59.0,4,84,75,66,66
Martin Škrtel,39.6,2,59,33,52,52
Theo Walcott,65.0,3,79,81,79,83
Bacary Sagna,57.6,3,75,66,76,68
Dante,46.6,2,72,41,64,54
Salomon Kalou,66.0,4,83,83,83,77
André-Pierre Gignac,57.4,3,77,81,60,66
Lukas Podolski,60.2,3,78,79,72,69
Negredo,57.2,3,79,80,57,67
Pablo Zabaleta,57.4,3,76,71,66,71
Darijo Srna,59.6,3,83,76,65,71
Cédric Carrasso,22.0,1,22,13,35,39
Rubén Castro,66.8,3,81,86,77,87
Jérémy Mathieu,40.8,2,64,48,39,51
Carlos Idriss Kameni,30.2,1,14,14,57,65
Moyá,27.6,1,24,10,49,54
Rune Almenning Jarstein,23.8,1,23,15,45,35
Jermain Defoe,67.6,3,77,87,88,83
Thiago Motta,46.6,3,83,50,50,47
Fernando Torres,58.8,3,81,82,54,74
Júlio César,34.0,1,32,12,56,69
Didier Drogba,56.6,3,80,81,56,63
Danny,64.6,4,82,78,75,84
John Terry,38.0,2,60,38,46,44
Samuel Eto'o,64.0,4,80,83,74,79
Tiago,55.4,4,83,74,56,60
Gelson Martins,69.8,4,82,78,91,94
Leroy Sané,66.6,3,83,79,82,86
Julian Weigl,54.4,2,77,55,63,75
Nabil Fekir,68.6,4,86,78,89,86
Jean Michaël Seri,65.8,2,81,77,86,83
Williams,58.4,4,81,76,45,86
Marco Sportiello,30.8,1,22,18,58,55
Keita Baldé Diao,64.6,4,88,75,77,79
Nikola Maksimović,40.8,2,61,29,58,54
Thomas Lemar,65.4,3,81,76,84,83
Kingsley Coman,66.4,4,79,75,86,88
Alisson,20.4,1,21,13,37,30
Joshua Kimmich,64.4,3,78,76,82,83
Julian Brandt,63.6,4,81,78,74,81
Sofiane Boufal,68.4,5,86,76,85,90
Bruma,68.8,4,82,75,90,93
Daniele Rugani,42.4,2,65,29,55,61
Raphaël Guerreiro,66.8,4,82,75,85,88
Fabinho,57.8,3,78,67,69,72
Jamie Vardy,63.6,3,76,83,79,77
Hakim Ziyech,61.0,3,85,75,66,76
Emil Forsberg,67.0,4,82,79,84,86
Saúl,61.0,3,82,77,68,75
Felipe,41.8,2,64,34,57,52
Taras Stepanenko,55.2,2,78,63,73,60
Luke Shaw,61.2,2,76,73,75,80
Leo Baptistao,63.0,3,82,85,67,78
Antonio Rüdiger,43.0,2,67,33,50,63
Matija Nastasić,44.0,2,66,30,58,64
Denis Suárez,64.8,3,85,77,76,83
Kurt Zouma,44.4,2,67,53,52,48
John Brooks,43.0,2,62,40,51,60
Héctor Bellerín,61.6,3,77,67,77,84
Thorgan Hazard,67.2,4,80,80,81,91
Davy Klaassen,58.2,2,77,82,63,67
Valère Germain,66.8,3,80,84,77,90
Paul-Georges Ntep,64.8,4,84,75,75,86
Layvin Kurzawa,61.8,3,80,76,75,75
Rafinha,65.4,4,84,77,81,81
Jeison Murillo,51.4,2,63,45,69,78
Riccardo Saponara,62.0,4,85,78,71,72
Djibril Sidibé,58.2,2,77,76,67,69
Nacho Fernández,47.4,2,71,37,67,60
Josip Iličić,59.0,4,87,78,56,70
Kevin Volland,64.2,3,81,80,84,73
Allan,64.0,3,78,78,82,79
Pablo Hernández,57.6,4,80,80,53,71
Sergi Roberto,59.0,3,80,69,74,69
Wilfried Zaha,66.2,4,86,73,82,86
Manolo Gabbiadini,59.0,3,84,78,56,74
Josuha Guilavogui,50.0,2,73,63,58,54
Patrick Herrmann,66.4,3,79,82,82,86
Sebastián Coates,31.0,2,57,33,32,31
Oğuzhan Özyakup,66.2,4,82,75,83,87
Yaroslav Rakitskyi,55.4,2,77,53,73,72
Phil Jones,43.6,2,69,42,62,43
Adrián,26.2,1,23,12,48,47
Neto,28.8,1,24,11,49,59
Hugo Mallo,54.4,2,80,46,66,78
Daniel Didavi,63.0,3,82,82,73,75
Younès Belhanda,65.0,4,83,74,77,87
Oliver Baumann,23.2,1,17,10,43,45
Mário Fernandes,56.2,2,74,71,55,79
Roberto Soriano,63.2,3,83,75,72,83
Jesús Corona,68.2,4,84,76,87,90
Maxime Gonalons,53.2,2,75,60,65,64
Alphonse Areola,30.2,1,22,17,58,53
Yunus Mallı,65.4,4,80,77,82,84
Eduardo Salvio,67.0,4,82,80,84,85
Stephan El Shaarawy,67.0,5,87,76,82,85
Iago Falqué,68.0,4,85,80,86,85
Marwin Hitz,20.4,1,17,8,31,45
Thimothée Kolodziejczak,48.4,2,72,57,50,61
Francis Coquelin,61.2,3,78,64,85,76
Marcel Schmelzer,51.6,2,71,54,64,67
Ryad Boudebouz,62.8,4,81,73,75,81
Ganso,57.0,4,84,74,56,67
Fedor Smolov,61.0,3,78,83,66,75
Christian Noboa,60.0,2,80,75,66,77
Kwadwo Asamoah,66.6,4,81,78,85,85
Ron-Robert Zieler,24.4,1,22,15,41,43
Danny Welbeck,62.2,3,78,81,64,85
Danny Drinkwater,60.8,3,80,74,78,69
Aleksandar Kolarov,53.4,2,74,69,58,64
Matteo Darmian,60.0,3,75,64,78,80
Ibrahima Traoré,69.0,4,78,76,93,94
Diego Perotti,65.6,4,87,78,79,80
Angelo Ogbonna,41.0,2,59,30,54,60
Max Kruse,64.2,3,83,83,76,76
Konstantinos Mitroglou,49.6,3,78,82,34,51
Nordin Amrabat,64.8,4,80,73,79,88
Stevan Jovetić,64.2,4,88,80,69,80
Jeremain Lens,62.4,4,81,71,81,75
Branislav Ivanović,46.6,2,66,61,47,57
Eder,66.8,3,85,85,80,81
Kiko Casilla,26.8,1,20,12,58,43
Nacho Monreal,57.2,2,77,61,72,74
Serdar Tasci,46.4,2,74,39,58,59
Marcelo Díaz,64.4,2,80,66,94,80
André Ayew,65.4,3,82,75,81,86
Winston Reid,40.2,2,57,42,43,57
Lucas Leiva,53.6,2,74,49,73,70
Kevin-Prince Boateng,59.8,4,83,77,58,77
Héctor Moreno,47.0,2,68,35,62,68
Cristian Ansaldi,57.4,3,74,65,66,79
Daniel Wass,59.2,3,81,74,59,79
Coke,53.4,2,79,62,59,65
Andrés Guardado,64.6,3,84,67,87,82
Jonathan dos Santos,64.8,3,85,80,81,75
Ryan Bertrand,57.6,2,76,63,71,76
Jardel,31.6,2,58,30,34,34
Salvatore Sirigu,27.2,1,18,10,55,52
Yohan Cabaye,60.8,3,82,70,77,72
Vitaliy Denisov,54.0,2,69,60,70,69
Dušan Basta,56.8,2,78,66,68,70
Gustavo Cabral,45.0,2,61,40,63,59
Gabriel Paletta,36.4,2,54,28,48,50
Łukasz Fabiański,26.8,1,22,15,44,52
Ben Foster,27.0,1,25,14,50,45
Vedad Ibišević,57.8,3,76,85,59,66
Andreas Granqvist,42.0,2,63,54,36,55
Héctor Herrera,58.6,3,76,78,70,66
Igor Akinfeev,26.4,1,22,11,45,53
Fernando Belluschi,62.4,4,82,74,74,78
Andriy Pyatov,23.4,1,12,14,32,58
Antonio Mirante,26.4,1,21,10,50,50
Federico Marchetti,30.8,1,20,12,61,60
James Milner,60.8,3,78,77,73,73
Michel Vorm,33.2,1,35,10,53,67
Daniel Baier,58.6,3,78,58,77,77
Atiba Hutchinson,55.6,3,80,64,62,69
Mehmet Topal,53.0,2,79,56,62,66
Bastian Schweinsteiger,57.8,3,81,75,63,67
René Adler,24.0,1,20,7,43,49
Jérémy Toulalan,53.6,2,79,66,64,57
Phil Jagielka,46.0,2,62,51,64,51
Stefano Sorrentino,26.2,1,20,10,48,52
Robin van Persie,59.6,4,82,84,59,69
Gareth Barry,50.2,2,76,58,63,52
Francesco Totti,58.6,3,91,80,60,59
Gianluigi Donnarumma,27.8,1,26,14,38,60
Nélson Semedo,64.4,3,75,73,83,88
Florin Andone,62.2,3,76,84,69,79
Sergej Milinković-Savić,58.6,3,84,79,59,68
Omar Al Soma,61.0,4,76,77,74,74
Petros,57.4,2,79,66,70,70
Victor Nilsson Lindelöf,41.4,2,60,43,47,55
Naby Keïta,67.0,4,82,69,90,90
Tiémoué Bakayoko,53.2,2,76,60,62,66
Mahmoud Dahoud,62.4,4,82,65,77,84
Rúben Semedo,47.0,2,65,51,52,65
Rafa,68.4,4,80,82,85,91
Dani García,55.4,3,81,58,69,66
Lisandro López,45.8,2,68,38,55,66
Ángel Correa,67.6,4,85,79,83,87
Andreas Christensen,44.2,2,71,32,62,54
Nabil Bentaleb,58.8,4,79,68,68,75
Stanislav Kritsyuk,23.8,1,23,18,41,36
Divock Origi,59.8,4,76,80,62,77
Max Meyer,68.2,4,82,74,90,91
Gayà,62.6,2,76,72,82,81
Marco Benassi,60.0,3,78,77,67,75
Pedro Santos,66.2,3,79,78,81,90
Elseid Hysaj,56.8,2,74,63,69,76
João Cancelo,63.4,3,80,80,74,80
Alessio Romagnoli,41.6,2,66,26,55,59
Piotr Zieliński,63.0,4,83,75,76,77
Bruno Peres,65.4,3,84,74,83,83
Ricardo Pereira,64.2,3,78,78,78,84
Óliver Torres,66.4,4,83,78,81,86
Filip Kostić,61.2,4,81,73,72,76
Emre Can,60.6,3,80,73,72,75
Matthias Ginter,48.2,2,72,55,53,59
Luciano Vietto,67.6,4,85,83,87,79
Arrizabalaga,21.4,1,16,15,39,36
Maximilian Arnold,61.2,3,79,79,70,75
Alassane Pléa,62.4,3,76,77,78,78
Denis Cheryshev,62.4,3,81,78,74,76
Edin Višća,68.4,3,79,80,88,92
Bernard,70.4,4,84,76,96,92
Daniele Baselli,63.0,3,83,75,75,79
Arkadiusz Milik,57.8,2,76,79,63,69
Bernat,66.2,3,83,74,86,85
Šime Vrsaljko,56.2,2,75,65,72,67
Eric Botteghin,34.2,2,64,30,39,36
John Stones,50.0,2,79,48,57,64
Jannik Vestergaard,32.2,2,56,43,29,31
Simone Zaza,61.6,3,77,83,68,77
Sergi Darder,63.6,3,85,76,77,77
Fernando,55.8,3,74,47,81,74
Memphis Depay,65.0,4,80,75,83,83
Jesé,65.4,4,84,76,76,87
Thomas Meunier,53.4,3,77,74,49,64
Eric Dier,43.8,2,68,53,40,56
Federico Fernández,40.0,2,66,36,48,48
Nicola Sansone,67.0,3,80,78,87,87
Gastón Ramírez,62.4,4,82,75,68,83
Faouzi Ghoulam,54.4,2,75,64,62,69
Gabriel,51.6,2,65,51,71,69
Vladimír Darida,65.8,3,81,73,88,84
Cédric,61.6,2,76,71,83,76
Lorenzo Tonelli,47.0,2,58,23,79,73
Benjamin Lecomte,19.0,1,23,10,25,36
Lucas Digne,59.8,3,79,67,80,70
Paco Alcácer,64.6,3,79,87,78,76
Heung Min Son,63.6,4,78,80,77,79
Vicente Gómez,51.4,2,81,70,42,62
Emre Çolak,67.0,3,82,75,89,86
André André,62.0,3,80,79,74,74
Dušan Tadić,64.0,4,85,73,77,81
Danilo,59.4,3,78,75,66,75
Pablo Sarabia,64.6,4,81,75,81,82
Alex Oxlade-Chamberlain,66.4,4,82,74,88,84
Marco Höger,55.6,3,79,70,62,64
Florian Lejeune,46.6,2,66,46,59,60
Giannelli Imbula,61.4,3,80,75,74,75
Nicolás Lodeiro,64.2,4,83,76,79,79
Daniel Caligiuri,63.0,3,80,77,77,78
Jeffrey Bruma,42.6,2,63,49,47,52
Willian José,54.6,3,79,81,51,59
Wahbi Khazri,61.6,3,80,78,67,80
Keko,62.0,3,80,73,76,78
Gil,35.4,2,68,26,40,41
Martin Braithwaite,66.0,4,77,83,76,90
Jaume Costa,60.8,3,78,62,80,81
Romain Hamouma,63.8,4,79,76,78,82
Escudero,58.6,3,76,61,78,75
