Name,Shooting,Heading,Weak_foot,Shot_Power,Finishing,Long_Shots,Freekick_Accuracy,Penalties
André Gomes,59.57142857142857,69,4,80,68,73,68,55
Marquinhos,38.142857142857146,80,3,53,33,35,32,31
Carlos Bacca,64.42857142857143,76,2,78,88,70,58,79
William Carvalho,52.42857142857143,72,4,63,55,63,50,60
Karim Bellarabi,57.714285714285715,48,3,85,75,78,58,57
Raheem Sterling,51.857142857142854,38,2,68,73,70,49,63
Julian Draxler,63.57142857142857,65,5,84,75,81,72,63
Roberto Firmino,65.28571428571429,73,4,79,82,80,67,72
Marcos Rojo,57.42857142857143,85,2,79,52,63,57,64
Kalidou Koulibaly,32.857142857142854,78,2,55,19,15,28,33
Danilo Pereira,54.57142857142857,77,3,77,56,64,53,52
Timo Horn,15.142857142857142,14,4,22,13,17,15,21
Casemiro,62.42857142857143,74,3,86,59,75,74,66
Vitolo,62.0,65,4,77,79,73,62,74
Anthony Lopes,14.857142857142858,16,2,20,18,18,14,16
Mattia Perin,14.285714285714286,12,3,23,11,17,13,21
Joel Matip,43.42857142857143,88,2,66,36,48,22,42
Juan Cuadrado,61.42857142857143,58,3,84,71,80,69,65
Iago Aspas,68.0,78,3,79,84,82,76,74
Marc-André ter Stegen,13.857142857142858,11,4,22,13,10,12,25
Mario Götze,57.0,49,4,68,74,66,73,65
Ander Herrera,60.714285714285715,60,4,72,71,74,65,79
Javier Pastore,62.57142857142857,63,4,78,73,76,69,75
Chris Smalling,41.285714285714285,85,3,42,50,35,22,52
Pedro,58.285714285714285,55,5,71,81,73,57,66
Giacomo Bonaventura,64.42857142857143,58,3,84,75,85,78,68
Roman Bürki,13.571428571428571,17,2,22,8,14,12,20
Oscar,61.42857142857143,54,3,76,75,77,77,68
Steven N'Zonzi,55.714285714285715,79,3,79,64,66,42,57
Aaron Ramsey,62.142857142857146,58,3,81,73,75,70,75
Mateo Musacchio,49.142857142857146,81,3,57,48,53,45,57
Ömer Toprak,42.285714285714285,83,5,63,28,36,33,48
José Callejón,61.142857142857146,65,2,78,76,80,65,62
Adrien Silva,66.14285714285714,61,4,83,71,81,78,85
Azpilicueta,53.42857142857143,73,3,68,46,60,58,66
Sebastian Giovinco,63.0,37,4,78,81,80,86,75
Anthony Modeste,65.85714285714286,86,3,81,86,72,56,77
Mario Mandžukić,62.0,90,3,78,84,58,45,76
Adam Lallana,61.57142857142857,67,5,72,79,72,66,70
Olivier Giroud,68.71428571428571,88,3,84,84,76,65,81
Rui Patrício,17.428571428571427,11,2,38,12,11,16,32
Yann Sommer,14.142857142857142,10,4,23,13,12,13,24
Jonas,70.85714285714286,81,5,80,86,84,77,83
Kévin Gameiro,67.28571428571429,67,3,84,86,76,70,85
Claudio Bravo,22.857142857142858,18,3,22,13,21,60,23
Łukasz Piszczek,57.0,74,3,77,65,68,47,65
Jan Vertonghen,62.857142857142854,82,3,86,60,68,73,68
Asmir Begović,17.285714285714285,12,2,28,12,12,15,40
Naldo,66.28571428571429,93,4,92,57,82,76,60
Daniel Sturridge,66.85714285714286,73,2,83,84,83,68,75
José Fonte,36.142857142857146,77,3,29,40,29,32,43
Ezequiel Garay,62.42857142857143,85,3,80,58,68,74,69
Samir Nasri,62.0,42,5,74,77,80,79,77
Gary Cahill,50.57142857142857,86,3,63,56,66,27,53
Ashley Williams,41.714285714285715,79,4,64,37,40,23,45
Leighton Baines,68.28571428571429,74,3,84,70,75,82,90
Kasper Schmeichel,17.428571428571427,16,3,36,12,14,15,26
Borja Valero,60.142857142857146,60,4,72,67,70,76,72
Hatem Ben Arfa,67.71428571428571,65,4,83,79,81,75,87
Joe Hart,27.428571428571427,10,3,65,14,19,13,68
Juanfran,51.142857142857146,55,3,68,54,53,59,66
Wesley Sneijder,63.0,32,5,87,72,84,85,76
Nani,63.42857142857143,46,4,85,75,83,79,72
Stephan Lichtsteiner,57.285714285714285,72,3,74,50,70,66,66
Wayne Rooney,70.57142857142857,76,4,86,84,84,81,79
Daniele De Rossi,62.285714285714285,81,4,81,50,74,71,75
José Reina,14.857142857142858,13,3,24,14,15,11,24
Quaresma,61.857142857142854,41,4,83,70,83,78,74
Marco Asensio,58.714285714285715,50,3,67,75,78,76,62
Bernardo Silva,56.142857142857146,51,3,72,76,64,63,64
Islam Slimani,63.57142857142857,92,3,78,81,72,47,72
Jonathan Tah,33.857142857142854,80,4,44,19,25,27,38
Anthony Martial,62.42857142857143,70,4,84,82,72,54,71
Dele Alli,57.0,70,3,75,79,74,46,52
Ederson,18.142857142857142,14,2,42,14,18,20,17
Mohamed Salah,56.142857142857146,59,2,71,78,62,60,61
Sadio Mané,59.142857142857146,53,3,76,81,66,64,71
Lucas Vázquez,60.0,51,4,78,77,79,75,56
Franco Vázquez,62.857142857142854,68,3,74,77,83,68,67
Manu Trigueros,63.714285714285715,76,4,81,71,80,69,65
Samuel Umtiti,58.142857142857146,72,3,83,51,74,63,61
Stefan Savić,36.714285714285715,81,3,43,34,31,28,37
Roque Mesa,44.142857142857146,32,3,63,67,54,48,42
Loris Karius,14.857142857142858,14,3,20,18,16,14,19
Alessandro Florenzi,66.85714285714286,70,3,82,76,82,79,76
Virgil van Dijk,58.714285714285715,76,3,81,55,64,70,62
Jack Butland,18.428571428571427,12,3,29,16,13,14,42
Morata,61.142857142857146,75,4,78,81,74,44,72
Lucas,60.57142857142857,50,3,79,72,71,74,75
Yevhen Konoplyanka,64.14285714285714,49,4,77,80,84,80,75
Francesco Acerbi,54.285714285714285,77,3,75,37,60,56,72
Nolito,62.42857142857143,45,3,74,81,80,80,74
Granit Xhaka,59.57142857142857,62,4,88,49,85,70,59
Stefan de Vrij,41.0,76,4,65,25,60,16,41
Jonathan Viera,60.285714285714285,41,4,70,78,79,76,74
Pizzi,61.57142857142857,45,4,74,78,78,76,76
Serge Aurier,53.857142857142854,77,3,78,65,58,30,66
Grzegorz Krychowiak,59.857142857142854,83,3,81,42,70,62,78
Kevin Kampl,53.42857142857143,34,4,70,65,73,64,64
Dejan Lovren,40.142857142857146,77,4,63,33,34,18,52
Gary Medel,47.714285714285715,68,4,65,31,59,45,62
Idrissa Gueye,52.285714285714285,69,3,80,50,67,43,54
Víctor Ruíz,43.57142857142857,77,2,59,37,38,46,46
Ricardo Rodríguez,63.857142857142854,68,3,78,59,72,84,83
Xherdan Shaqiri,60.0,37,4,84,74,78,78,65
Ciro Immobile,64.71428571428571,75,3,86,86,76,51,76
Nathaniel Clyne,50.142857142857146,66,3,74,54,69,39,46
Iborra,64.0,81,4,85,72,64,70,72
Jack Wilshere,58.42857142857143,58,2,75,64,73,72,65
Shinji Kagawa,52.42857142857143,44,4,47,76,55,63,78
Kevin Trapp,13.142857142857142,11,4,22,13,13,12,17
Taison,64.0,58,3,83,76,83,73,72
Kyle Walker,59.285714285714285,74,2,86,51,68,71,63
Marlos,61.57142857142857,53,3,76,76,78,71,74
Luiz Gustavo,54.0,75,3,80,46,71,45,58
Giuliano,62.857142857142854,59,3,79,78,77,69,75
Gylfi Sigurðsson,68.14285714285714,60,3,82,81,83,88,80
Yacine Brahimi,60.0,46,3,69,75,74,78,75
Marko Arnautović,64.57142857142857,72,4,78,75,71,74,78
Jordan Henderson,59.857142857142854,65,3,75,67,71,74,64
Orestis Karnezis,18.142857142857142,24,3,22,23,23,11,21
Mamadou Sakho,36.42857142857143,71,2,51,23,38,30,40
Adil Rami,53.0,79,3,83,45,58,55,48
Fernando Néstor Muslera,13.285714285714286,12,2,25,10,10,10,24
Vedran Ćorluka,51.285714285714285,83,3,64,47,53,60,49
Edin Džeko,64.14285714285714,80,4,86,86,69,54,70
Séamus Coleman,53.285714285714285,67,3,75,65,68,35,60
Javier Hernández,63.57142857142857,82,3,76,87,69,52,76
Beñat,62.857142857142854,47,3,87,69,81,84,69
Lars Bender,54.857142857142854,78,3,74,59,71,47,52
Axel Witsel,64.57142857142857,77,3,78,71,74,68,81
Morgan Schneiderlin,54.57142857142857,71,3,71,64,56,61,56
Kevin Mirallas,64.28571428571429,64,4,77,78,76,76,75
Carlos Vela,62.714285714285715,64,2,73,79,78,71,72
Emiliano Viviano,15.428571428571429,13,2,21,17,18,16,21
Antonio Valencia,55.857142857142854,64,1,85,58,62,66,55
Gonzalo Castro,58.857142857142854,52,4,77,69,78,74,58
Falcao,69.42857142857143,90,4,78,83,76,71,84
Diego Alves,19.0,20,2,24,20,22,21,24
Andrea Consigli,14.571428571428571,10,3,24,10,19,15,21
João Moutinho,64.71428571428571,68,4,77,73,82,79,70
Moussa Dembélé,59.285714285714285,68,2,85,66,72,55,67
Michael Krohn-Dehli,62.857142857142854,50,4,81,78,68,83,76
Loïc Perrin,58.142857142857146,80,3,74,64,67,51,68
Lucas Biglia,58.57142857142857,54,4,77,52,75,76,72
Benoît Costil,13.571428571428571,15,3,22,14,15,11,15
Raúl Albiol,43.857142857142854,77,3,65,27,53,45,37
Mario Gómez,63.0,83,4,82,84,78,36,74
Gabi,62.285714285714285,51,3,81,67,76,75,83
Diego López,12.857142857142858,10,3,22,12,11,11,21
Raffael,64.0,63,4,77,81,78,73,72
Alejandro Gómez,57.42857142857143,36,4,74,72,78,69,69
Gonzalo Rodríguez,51.0,86,3,68,44,36,46,74
Vincent Enyeama,31.857142857142858,10,3,35,19,10,71,75
Kaká,62.42857142857143,52,4,76,74,77,70,84
Fernandinho,60.714285714285715,55,4,83,70,81,71,61
David Villa,68.71428571428571,66,5,80,86,76,80,88
Victor Valdés,14.714285714285714,11,3,29,12,10,12,26
Per Mertesacker,44.0,86,3,71,36,25,45,42
Patrice Evra,51.142857142857146,80,2,72,33,63,51,57
Xabi Alonso,66.71428571428571,72,4,86,56,85,84,80
Michael Carrick,58.142857142857146,73,3,78,59,71,59,64
Andrea Pirlo,59.714285714285715,39,4,75,58,65,93,84
Casillas,16.714285714285715,25,2,28,12,13,13,24
Ousmane Dembélé,56.857142857142854,43,5,73,77,65,65,70
Corentin Tolisso,65.42857142857143,82,3,80,75,75,73,70
Marcelo Brozović,61.714285714285715,62,4,78,66,79,74,69
Federico Bernardeschi,61.714285714285715,48,3,78,71,82,78,72
Niklas Süle,42.0,80,3,70,20,59,30,32
Domenico Berardi,66.42857142857143,62,3,83,78,83,76,80
Morgan Sanson,62.42857142857143,69,4,79,75,72,70,68
Samu Castillejo,53.285714285714285,43,2,69,69,59,72,59
Adrien Rabiot,60.57142857142857,75,3,79,66,76,57,68
Leon Goretzka,59.857142857142854,73,4,76,66,77,72,51
Quincy Promes,65.57142857142857,60,4,82,82,83,76,72
Andrea Belotti,64.71428571428571,81,5,81,86,67,56,77
Jonas Hector,55.857142857142854,73,3,69,55,61,65,65
Mateo Kovačić,54.857142857142854,42,4,79,58,74,68,59
Sergio Rico,14.714285714285714,11,3,19,14,12,20,24
Oleg Shatov,59.0,55,4,75,75,74,70,60
Jorginho,58.42857142857143,56,3,71,57,62,76,84
Florian Thauvin,60.0,69,3,82,74,81,54,57
Michy Batshuayi,61.714285714285715,73,4,83,83,76,46,67
Iñigo Martínez,52.142857142857146,76,2,81,42,74,51,39
Suso,60.42857142857143,50,3,74,70,80,78,68
Deulofeu,56.57142857142857,40,4,68,74,65,75,70
Felipe Anderson,58.42857142857143,44,4,84,71,84,69,53
Jasper Cillessen,15.142857142857142,12,3,35,10,15,10,21
Wissam Ben Yedder,65.85714285714286,74,5,78,84,69,77,74
Lucas Pérez,68.28571428571429,68,3,83,85,82,78,79
Ross Barkley,62.0,65,5,80,70,79,70,65
Cédric Bakambu,62.0,71,4,84,81,68,54,72
Bartra,46.285714285714285,78,3,61,43,42,45,52
André Schürrle,66.42857142857143,63,4,85,80,82,68,83
Roberto Pereyra,58.142857142857146,60,4,66,61,72,72,72
Mario Gaspar,55.57142857142857,64,3,81,68,69,54,50
Fabián Orellana,63.714285714285715,69,4,64,75,80,79,75
Lukáš Hrádecký,12.571428571428571,11,3,14,11,14,15,20
Daley Blind,52.0,71,4,68,46,64,55,56
De Marcos,51.142857142857146,59,3,73,59,56,53,55
Wilfried Bony,67.28571428571429,84,4,85,83,80,58,77
Iturraspe,57.285714285714285,78,3,67,60,69,66,58
Parejo,67.0,63,4,78,75,80,86,83
Salomón Rondón,63.285714285714285,88,4,86,81,70,52,62
Daniel Carriço,51.857142857142854,80,3,66,48,50,54,62
Bas Dost,64.14285714285714,92,3,85,86,74,32,77
James McCarthy,54.285714285714285,63,4,67,57,65,64,60
Camacho,54.42857142857143,83,3,76,58,54,59,48
Paulinho,62.142857142857146,80,3,79,72,73,57,71
Alan Dzagoev,62.57142857142857,67,3,79,73,75,76,65
Igor Smolnikov,49.142857142857146,69,3,67,61,57,46,41
Lars Stindl,65.14285714285714,67,4,84,81,82,69,69
Mario Balotelli,69.0,66,4,86,83,74,78,92
Wojciech Szczęsny,13.142857142857142,16,3,15,12,14,14,18
Nikola Kalinić,62.714285714285715,80,4,78,85,68,54,70
Mikel San José,56.857142857142854,82,3,71,69,78,44,51
Christian Benteke,67.71428571428571,86,4,85,79,76,67,77
Marco Parolo,60.285714285714285,75,4,87,70,86,55,45
Ljubomir Fejsa,54.142857142857146,73,3,74,51,65,57,56
Martín Cáceres,48.0,76,3,70,37,59,41,50
Georginio Wijnaldum,63.57142857142857,74,3,77,76,71,70,74
Federico Fazio,41.42857142857143,88,2,63,41,26,37,33
Simon Kjær,54.0,82,3,78,55,41,73,46
Loïc Rémy,63.857142857142854,80,3,78,80,77,51,78
Miguel Layún,63.285714285714285,66,5,80,67,76,74,75
Adán,15.714285714285714,23,2,25,11,12,12,25
Benoît Trémoulinas,57.57142857142857,67,3,74,58,65,59,77
Sven Bender,48.42857142857143,75,4,73,43,62,40,42
Mathieu Valbuena,60.0,50,3,75,73,74,80,65
Bojan,57.42857142857143,42,4,77,70,72,66,71
Augusto Fernández,57.285714285714285,59,3,74,69,73,61,62
Antonio Candreva,66.28571428571429,55,4,87,74,87,71,86
Davide Astori,35.714285714285715,77,3,65,25,36,17,27
Raúl García,67.42857142857143,88,3,84,73,80,68,76
Giovani dos Santos,64.71428571428571,61,4,80,79,79,80,70
Erik Lamela,66.28571428571429,71,2,80,75,82,79,75
Ryan Shawcross,40.57142857142857,84,3,44,53,28,24,48
Danny Rose,53.57142857142857,60,3,72,57,69,57,57
Renato Augusto,61.57142857142857,57,4,81,65,81,75,68
Martin Škrtel,40.0,83,2,46,35,35,27,52
Theo Walcott,62.285714285714285,58,3,76,82,69,74,74
Bacary Sagna,51.42857142857143,79,4,69,40,62,47,59
Dante,53.285714285714285,83,4,67,48,54,60,57
Salomon Kalou,63.857142857142854,76,3,76,83,67,56,86
André-Pierre Gignac,68.14285714285714,80,3,84,82,80,70,78
Lukas Podolski,68.57142857142857,65,2,92,82,81,75,83
Negredo,68.28571428571429,83,3,85,81,77,69,80
Pablo Zabaleta,54.42857142857143,76,3,66,49,57,66,64
Darijo Srna,65.57142857142857,60,3,83,69,77,83,84
Cédric Carrasso,12.857142857142858,11,3,24,13,14,12,13
Rubén Castro,65.71428571428571,73,3,77,84,78,69,76
Jérémy Mathieu,60.0,83,2,79,51,74,71,60
Carlos Idriss Kameni,13.857142857142858,13,3,22,11,12,12,24
Moyá,12.142857142857142,12,2,21,11,16,12,11
Rune Almenning Jarstein,14.142857142857142,16,4,21,13,18,14,13
Jermain Defoe,66.71428571428571,68,4,88,87,81,68,71
Thiago Motta,61.285714285714285,79,4,82,54,73,67,70
Fernando Torres,64.28571428571429,76,4,83,77,73,63,74
Júlio César,12.571428571428571,18,3,14,12,17,11,13
Didier Drogba,71.85714285714286,85,4,85,82,79,84,84
Danny,58.42857142857143,47,4,71,75,73,72,67
John Terry,45.285714285714285,90,4,61,46,33,31,52
Samuel Eto'o,68.14285714285714,73,3,85,84,75,72,85
Tiago,59.57142857142857,75,3,77,62,75,68,57
Gelson Martins,56.285714285714285,51,3,73,67,74,60,66
Leroy Sané,61.42857142857143,72,3,78,75,77,62,63
Julian Weigl,45.285714285714285,63,3,57,47,51,46,50
Nabil Fekir,60.857142857142854,49,3,84,77,68,75,70
Jean Michaël Seri,62.142857142857146,60,4,78,69,76,81,67
Williams,59.57142857142857,67,3,85,74,71,53,64
Marco Sportiello,16.571428571428573,18,2,19,18,17,21,21
Keita Baldé Diao,56.0,58,4,75,73,72,52,58
Nikola Maksimović,32.0,82,3,39,22,29,23,26
Thomas Lemar,62.0,54,2,79,75,75,81,68
Kingsley Coman,59.857142857142854,52,3,76,75,73,70,70
Alisson,15.714285714285714,19,2,21,13,14,18,23
Joshua Kimmich,55.285714285714285,70,4,75,66,67,61,44
Julian Brandt,53.714285714285715,42,4,77,74,73,52,54
Sofiane Boufal,56.714285714285715,35,4,73,75,69,72,69
Bruma,59.0,52,4,81,69,67,69,71
Daniele Rugani,37.714285714285715,77,3,58,33,39,25,29
Raphaël Guerreiro,58.42857142857143,61,3,78,71,75,77,44
Fabinho,57.714285714285715,75,2,75,66,53,45,88
Jamie Vardy,61.0,64,3,85,83,68,48,76
Hakim Ziyech,63.57142857142857,53,2,82,74,77,83,74
Emil Forsberg,57.142857142857146,45,4,72,71,73,71,64
Saúl,57.714285714285715,83,4,74,67,62,60,54
Felipe,41.142857142857146,82,3,46,39,41,30,47
Taras Stepanenko,52.42857142857143,69,3,75,53,70,45,52
Luke Shaw,47.714285714285715,67,2,62,44,48,58,53
Leo Baptistao,61.42857142857143,79,3,73,80,71,59,65
Antonio Rüdiger,44.714285714285715,77,3,70,27,40,56,40
Matija Nastasić,36.285714285714285,79,3,44,27,22,32,47
Denis Suárez,58.142857142857146,44,3,76,75,74,72,63
Kurt Zouma,50.42857142857143,77,3,56,47,49,60,61
John Brooks,39.0,85,3,50,33,29,28,45
Héctor Bellerín,46.0,60,3,52,52,43,50,62
Thorgan Hazard,60.285714285714285,38,3,78,79,78,73,73
Davy Klaassen,61.42857142857143,75,3,79,80,74,44,75
Valère Germain,67.57142857142857,79,4,79,82,77,75,77
Paul-Georges Ntep,59.857142857142854,43,4,79,74,76,73,70
Layvin Kurzawa,57.285714285714285,76,3,69,71,67,53,62
Rafinha,60.285714285714285,55,4,79,74,82,61,67
Jeison Murillo,38.857142857142854,80,2,68,37,13,26,46
Riccardo Saponara,57.57142857142857,57,4,73,64,68,70,67
Djibril Sidibé,56.142857142857146,66,4,69,70,68,73,43
Nacho Fernández,39.857142857142854,79,4,54,32,28,37,45
Josip Iličić,67.57142857142857,58,3,86,78,86,84,78
Kevin Volland,66.42857142857143,69,3,85,80,80,76,72
Allan,51.142857142857146,59,3,70,62,62,49,53
Pablo Hernández,57.857142857142854,53,3,75,69,74,69,62
Sergi Roberto,53.857142857142854,61,3,65,64,66,61,57
Wilfried Zaha,53.142857142857146,43,3,75,74,60,51,66
Manolo Gabbiadini,69.57142857142857,73,3,87,81,89,82,72
Josuha Guilavogui,53.857142857142854,78,3,78,49,66,53,50
Patrick Herrmann,56.714285714285715,55,3,78,76,74,50,61
Sebastián Coates,36.714285714285715,80,3,63,23,27,19,42
Oğuzhan Özyakup,62.857142857142854,50,4,80,72,79,77,78
Yaroslav Rakitskyi,60.857142857142854,68,3,87,57,84,77,50
Phil Jones,49.285714285714285,75,3,68,50,59,35,55
Adrián,22.0,15,2,40,16,20,17,44
Neto,16.142857142857142,14,2,28,15,19,13,22
Hugo Mallo,38.285714285714285,63,3,74,28,39,38,23
Daniel Didavi,65.0,58,3,87,81,87,74,65
Younès Belhanda,65.85714285714286,67,4,78,73,81,78,80
Oliver Baumann,13.857142857142858,16,3,21,11,13,11,22
Mário Fernandes,51.142857142857146,73,3,72,56,62,39,53
Roberto Soriano,59.714285714285715,65,4,81,73,77,56,62
Jesús Corona,59.0,68,5,66,78,61,67,68
Maxime Gonalons,57.285714285714285,78,4,77,55,59,57,71
Alphonse Areola,16.571428571428573,14,3,25,19,14,16,25
Yunus Mallı,57.57142857142857,40,4,64,77,68,69,81
Eduardo Salvio,59.42857142857143,67,4,75,73,73,64,60
Stephan El Shaarawy,58.714285714285715,51,2,74,75,74,63,72
Iago Falqué,60.0,53,3,62,75,75,75,77
Marwin Hitz,19.571428571428573,18,3,38,27,12,17,22
Thimothée Kolodziejczak,38.42857142857143,72,2,47,22,43,34,49
Francis Coquelin,46.42857142857143,60,3,71,41,57,41,52
