Name,Passing,Vision,Crossing,Short_Pass,Long_Pass,Curve,Volleys
Ivan Rakitić,85.83333333333333,87,81,87,92,88,80
David Silva,84.83333333333333,92,85,91,78,83,80
Samir Handanovič,24.5,41,12,36,34,12,12
Piqué,65.83333333333333,62,57,81,80,58,57
Arjen Robben,81.66666666666667,83,80,84,71,86,86
Paulo Dybala,81.0,82,78,83,67,88,88
Marco Verratti,78.66666666666667,86,72,90,87,73,64
David Alaba,78.16666666666667,78,82,83,80,78,68
Henrikh Mkhitaryan,81.16666666666667,85,80,85,73,83,81
Bernd Leno,25.166666666666668,53,9,37,33,9,10
Thomas Müller,78.0,81,74,81,68,81,83
Sergio Busquets,70.5,84,62,88,79,66,44
Thiago,84.33333333333333,85,72,90,86,83,90
Jordi Alba,72.83333333333333,68,83,79,70,77,60
Coutinho,81.0,87,77,85,78,84,75
Ángel Di María,83.0,85,88,83,82,83,77
Diego Costa,67.0,74,65,67,52,62,82
Edinson Cavani,71.83333333333333,77,70,75,50,75,84
Radja Nainggolan,77.0,76,73,84,81,73,75
Marcelo,75.5,75,87,81,76,80,54
Claudio Marchisio,81.0,84,76,87,85,78,76
Miranda,52.333333333333336,53,48,65,65,32,51
Karim Benzema,75.16666666666667,85,75,86,47,79,79
Cesc Fàbregas,85.83333333333333,91,85,91,90,77,81
Franck Ribéry,81.83333333333333,86,81,86,75,83,80
Santi Cazorla,83.0,85,85,86,84,86,72
Andrea Barzagli,52.166666666666664,58,40,65,65,50,35
Harry Kane,70.83333333333333,72,70,75,67,71,70
Alexandre Lacazette,75.16666666666667,77,70,80,68,74,82
Keylor Navas,25.666666666666668,54,11,30,37,11,11
Romelu Lukaku,69.5,70,68,71,68,64,76
Christian Eriksen,82.66666666666667,88,84,87,83,85,69
İlkay Gündoğan,81.66666666666667,87,74,90,83,81,75
Toby Alderweireld,64.5,64,64,77,81,63,38
Willian,76.0,83,75,82,77,80,59
Miralem Pjanić,83.16666666666667,88,80,89,85,86,71
Juan Mata,81.33333333333333,87,83,86,77,84,71
Javi Martinez,68.16666666666667,74,60,77,76,61,61
Dimitri Payet,85.33333333333333,87,86,86,84,90,79
Dries Mertens,77.0,81,77,80,74,80,70
Sokratis,51.666666666666664,52,47,64,64,37,46
Marek Hamšik,81.83333333333333,86,78,87,81,80,79
Blaise Matuidi,75.0,75,75,84,79,65,72
Stéphane Ruffier,26.166666666666668,49,11,33,34,17,13
Laurent Koscielny,52.0,56,54,76,69,22,35
Filipe Luís,73.16666666666667,70,84,78,77,74,56
Vincent Kompany,59.666666666666664,59,61,65,66,61,46
Aymeric Laporte,60.5,52,58,73,78,62,40
Yannick Carrasco,75.33333333333333,74,80,77,72,81,68
Carvajal,66.33333333333333,57,83,81,71,72,34
Riyad Mahrez,77.5,79,80,80,76,79,71
Raphaël Varane,54.333333333333336,56,36,72,74,46,42
Mauro Icardi,62.666666666666664,64,46,73,54,58,81
Lorenzo Insigne,78.66666666666667,85,82,81,72,78,74
Isco,78.66666666666667,84,72,84,82,86,64
Koke,80.83333333333333,89,84,86,85,85,56
Kostas Manolas,36.0,22,27,60,61,30,16
Danijel Subašić,25.0,52,11,24,26,24,13
Nicolás Otamendi,56.5,45,52,70,66,50,56
Shkodran Mustafi,59.666666666666664,55,51,77,69,55,51
Nemanja Matić,75.0,77,68,83,80,68,74
Alex Sandro,75.0,70,86,79,69,78,68
Kamil Glik,37.0,23,29,59,59,35,17
Douglas Costa,77.5,80,79,80,72,81,73
Kevin Strootman,77.5,84,74,86,83,75,63
Nicolás Gaitán,82.33333333333333,82,83,82,78,88,81
Bruno,72.66666666666667,83,60,87,86,72,48
Ivan Perišić,78.16666666666667,78,84,81,73,73,80
David Luiz,71.83333333333333,69,68,79,78,70,67
Sami Khedira,77.0,80,72,85,81,68,76
Benedikt Höwedes,54.833333333333336,57,58,74,64,38,38
Ralf Fährmann,22.666666666666668,42,14,25,26,18,11
Sergio Asenjo,32.166666666666664,46,24,39,39,23,22
Éver Banega,81.5,88,80,88,85,83,65
Medhi Benatia,47.833333333333336,47,45,65,65,34,31
Steve Mandanda,26.666666666666668,55,14,37,28,13,13
Dani Alves,77.66666666666667,78,84,81,77,78,68
Arda Turan,82.5,86,82,85,81,81,80
Javier Mascherano,66.5,68,63,79,75,63,51
Aduriz,65.83333333333333,73,54,71,52,61,84
Yaya Touré,78.16666666666667,85,67,86,83,80,68
Eric Bailly,48.666666666666664,41,41,72,56,46,36
José María Giménez,44.333333333333336,27,47,68,58,36,30
N'Golo Kanté,68.5,76,67,84,79,49,56
Gerónimo Rulli,26.666666666666668,58,12,32,23,19,16
João Mário,77.16666666666667,82,77,83,78,74,69
André Gomes,76.33333333333333,83,61,85,84,82,63
Marquinhos,58.833333333333336,51,72,77,73,49,31
Carlos Bacca,67.0,66,60,72,50,72,82
William Carvalho,71.16666666666667,77,58,83,86,66,57
Karim Bellarabi,73.66666666666667,79,78,81,62,70,72
Raheem Sterling,69.83333333333333,76,72,81,67,64,59
Julian Draxler,79.16666666666667,80,78,83,72,78,84
Roberto Firmino,78.66666666666667,83,72,83,76,80,78
Marcos Rojo,65.5,57,75,72,73,67,49
Kalidou Koulibaly,35.166666666666664,34,30,57,48,28,14
Danilo Pereira,63.833333333333336,69,50,81,79,48,56
Timo Horn,27.833333333333332,55,19,35,32,12,14
Casemiro,66.33333333333333,72,52,80,82,59,53
Vitolo,78.66666666666667,78,80,81,82,76,75
Anthony Lopes,27.0,52,19,32,31,15,13
Mattia Perin,25.5,44,11,33,31,15,19
Joel Matip,65.5,72,54,77,77,63,50
Juan Cuadrado,74.5,70,78,77,73,76,73
Iago Aspas,75.5,68,69,80,67,83,86
Marc-André ter Stegen,28.666666666666668,57,15,30,38,18,14
Mario Götze,81.66666666666667,82,77,85,79,80,87
Ander Herrera,78.5,86,74,86,80,78,67
Javier Pastore,82.33333333333333,86,77,87,83,83,78
Chris Smalling,55.5,49,52,66,63,49,54
Pedro,76.0,74,78,83,70,81,70
Giacomo Bonaventura,80.5,81,82,83,81,78,78
Roman Bürki,25.333333333333332,50,15,37,24,13,13
Oscar,76.0,83,70,83,80,77,63
Steven N'Zonzi,70.66666666666667,77,59,82,78,73,55
Aaron Ramsey,78.16666666666667,80,75,85,80,70,79
Mateo Musacchio,59.333333333333336,64,55,78,70,53,36
Ömer Toprak,58.333333333333336,59,49,74,69,44,55
José Callejón,71.66666666666667,78,77,75,51,65,84
Adrien Silva,80.83333333333333,85,78,83,84,77,78
Azpilicueta,70.16666666666667,68,79,80,74,66,54
Sebastian Giovinco,76.83333333333333,85,72,78,70,86,70
Anthony Modeste,67.0,62,62,70,55,66,87
Mario Mandžukić,64.0,62,64,71,45,56,86
Adam Lallana,78.33333333333333,83,74,86,78,77,72
Olivier Giroud,70.5,75,63,77,56,70,82
Rui Patrício,27.166666666666668,63,12,31,30,10,17
Yann Sommer,27.0,58,13,40,31,12,8
Jonas,78.16666666666667,83,70,75,71,85,85
Kévin Gameiro,75.16666666666667,76,70,79,72,76,78
Claudio Bravo,30.333333333333332,71,12,32,31,25,11
Łukasz Piszczek,74.5,72,85,78,69,76,67
Jan Vertonghen,65.83333333333333,65,68,78,74,58,52
Asmir Begović,22.0,31,14,26,32,17,12
Naldo,59.833333333333336,59,45,73,70,52,60
Daniel Sturridge,68.5,74,62,75,62,62,76
José Fonte,45.833333333333336,55,36,63,54,33,34
Ezequiel Garay,61.666666666666664,63,62,69,72,55,49
Samir Nasri,79.0,83,80,86,76,77,72
Gary Cahill,50.833333333333336,56,28,65,61,48,47
Ashley Williams,49.833333333333336,53,32,72,74,34,34
Leighton Baines,77.16666666666667,76,88,81,74,81,63
Kasper Schmeichel,24.0,59,18,21,18,13,15
Borja Valero,81.16666666666667,86,78,89,86,78,70
Hatem Ben Arfa,78.16666666666667,80,77,79,78,80,75
Joe Hart,26.5,42,14,32,35,17,19
Juanfran,70.83333333333333,72,83,75,66,80,49
Wesley Sneijder,84.16666666666667,85,83,86,83,88,80
Nani,80.5,80,82,81,79,86,75
Stephan Lichtsteiner,70.33333333333333,62,82,77,71,68,62
Wayne Rooney,82.33333333333333,83,78,79,85,84,85
Daniele De Rossi,71.5,72,57,82,82,62,74
José Reina,23.166666666666668,65,11,19,22,11,11
Quaresma,82.33333333333333,80,88,79,75,92,80
Marco Asensio,81.66666666666667,83,80,86,81,84,76
Bernardo Silva,77.16666666666667,84,76,83,78,77,65
Islam Slimani,69.0,72,58,73,59,73,79
Jonathan Tah,48.833333333333336,61,35,74,69,30,24
Anthony Martial,71.0,70,73,75,58,76,74
Dele Alli,73.33333333333333,81,65,83,73,67,71
Ederson,25.0,60,20,15,25,12,18
Mohamed Salah,68.5,71,71,78,63,59,69
Sadio Mané,72.83333333333333,77,72,76,72,74,66
Lucas Vázquez,76.33333333333333,82,84,80,76,82,54
Franco Vázquez,79.16666666666667,84,73,83,74,82,79
Manu Trigueros,76.83333333333333,83,69,86,82,78,63
Samuel Umtiti,69.33333333333333,56,69,78,71,72,70
Stefan Savić,45.5,41,35,67,69,34,27
Roque Mesa,65.16666666666667,75,67,89,80,46,34
Loris Karius,26.166666666666668,45,14,35,37,12,14
Alessandro Florenzi,78.16666666666667,75,77,82,75,73,87
Virgil van Dijk,61.166666666666664,59,53,74,76,60,45
Jack Butland,23.666666666666668,31,11,36,40,12,12
Morata,71.66666666666667,76,73,74,51,76,80
Lucas,73.0,73,75,77,74,69,70
Yevhen Konoplyanka,77.83333333333333,79,79,81,78,83,67
Francesco Acerbi,55.0,59,25,70,75,62,39
Nolito,75.66666666666667,81,81,77,67,83,65
Granit Xhaka,74.33333333333333,86,68,85,89,68,50
Stefan de Vrij,52.0,50,49,70,71,45,27
Jonathan Viera,76.66666666666667,87,75,85,76,80,57
Pizzi,80.5,84,75,82,80,85,77
Serge Aurier,69.83333333333333,71,80,78,71,69,50
Grzegorz Krychowiak,63.0,71,59,79,83,46,40
Kevin Kampl,73.83333333333333,83,64,84,78,76,58
Dejan Lovren,52.833333333333336,56,59,68,66,26,42
Gary Medel,62.833333333333336,72,55,78,76,35,61
Idrissa Gueye,58.833333333333336,72,60,80,76,33,32
Víctor Ruíz,60.166666666666664,56,54,75,70,67,39
Ricardo Rodríguez,78.5,74,88,80,80,82,67
Xherdan Shaqiri,77.66666666666667,79,74,80,75,82,76
Ciro Immobile,64.0,59,55,70,49,70,81
Nathaniel Clyne,66.0,64,80,76,67,64,45
Iborra,70.33333333333333,74,53,81,82,66,66
Jack Wilshere,78.16666666666667,85,73,84,83,80,64
Shinji Kagawa,74.33333333333333,80,60,84,73,74,75
Kevin Trapp,20.166666666666668,45,13,25,12,14,12
Taison,73.0,79,73,77,75,52,82
Kyle Walker,70.33333333333333,69,79,74,67,76,57
Marlos,75.66666666666667,78,76,81,73,80,66
Luiz Gustavo,63.0,69,61,77,75,42,54
Giuliano,73.83333333333333,81,74,79,75,68,66
Gylfi Sigurðsson,81.16666666666667,84,82,83,77,86,75
Yacine Brahimi,76.16666666666667,78,76,77,70,83,73
Marko Arnautović,78.0,80,83,79,68,79,79
Jordan Henderson,80.5,82,81,85,83,80,72
Orestis Karnezis,24.833333333333332,47,19,22,36,11,14
Mamadou Sakho,53.333333333333336,49,60,75,66,50,20
Adil Rami,45.333333333333336,22,28,66,68,43,45
Fernando Néstor Muslera,31.333333333333332,58,15,44,47,14,10
Vedran Ćorluka,62.833333333333336,60,68,70,72,69,38
Edin Džeko,67.33333333333333,70,63,72,59,65,75
Séamus Coleman,67.33333333333333,70,81,77,70,42,64
Javier Hernández,67.5,72,62,70,55,67,79
Beñat,80.0,84,81,85,86,83,61
Lars Bender,67.33333333333333,76,69,79,74,49,57
Axel Witsel,74.0,78,69,83,78,69,67
Morgan Schneiderlin,70.66666666666667,73,65,83,79,68,56
Kevin Mirallas,76.5,67,82,80,77,77,76
Carlos Vela,77.16666666666667,79,78,79,63,80,84
Emiliano Viviano,28.666666666666668,60,12,36,37,14,13
Antonio Valencia,73.33333333333333,71,85,77,69,69,69
Gonzalo Castro,79.33333333333333,83,82,84,82,80,65
Falcao,68.33333333333333,68,55,67,53,83,84
Diego Alves,33.833333333333336,64,24,33,33,24,25
Andrea Consigli,24.666666666666668,46,10,31,27,15,19
João Moutinho,80.33333333333333,82,77,83,81,82,77
Moussa Dembélé,74.33333333333333,76,65,84,79,65,77
Michael Krohn-Dehli,78.5,86,86,84,85,77,53
Loïc Perrin,64.33333333333333,63,69,74,77,59,44
Lucas Biglia,78.0,80,74,83,82,71,78
Benoît Costil,24.5,44,11,35,33,12,12
Raúl Albiol,51.166666666666664,49,38,71,65,53,31
Mario Gómez,64.83333333333333,62,62,69,50,68,78
Gabi,77.5,79,67,85,84,86,64
Diego López,23.166666666666668,53,11,28,23,10,14
Raffael,78.66666666666667,83,73,84,77,80,75
Alejandro Gómez,76.66666666666667,79,80,80,72,77,72
Gonzalo Rodríguez,53.666666666666664,64,38,72,76,50,22
Vincent Enyeama,26.666666666666668,58,10,39,28,14,11
Kaká,81.16666666666667,86,74,84,73,84,86
Fernandinho,75.33333333333333,75,68,82,81,70,76
David Villa,74.0,71,71,74,67,83,78
Victor Valdés,22.0,38,10,27,36,11,10
Per Mertesacker,48.333333333333336,58,38,67,58,39,30
Patrice Evra,69.16666666666667,62,80,75,69,76,53
Xabi Alonso,83.16666666666667,87,79,89,91,82,71
Michael Carrick,77.33333333333333,85,72,87,85,68,67
Andrea Pirlo,88.5,94,91,88,90,92,76
Casillas,26.666666666666668,65,13,21,22,25,14
Ousmane Dembélé,72.66666666666667,78,75,74,65,74,70
Corentin Tolisso,72.83333333333333,77,67,83,82,66,62
Marcelo Brozović,76.83333333333333,81,72,83,81,79,65
Federico Bernardeschi,75.16666666666667,78,76,79,70,78,70
Niklas Süle,41.0,30,30,72,57,28,29
Domenico Berardi,75.5,77,76,75,75,72,78
Morgan Sanson,78.66666666666667,83,79,83,82,75,70
Samu Castillejo,74.83333333333333,80,82,79,75,75,58
Adrien Rabiot,74.66666666666667,81,69,84,79,67,68
Leon Goretzka,75.66666666666667,78,72,82,78,76,68
Quincy Promes,73.33333333333333,81,73,74,69,75,68
Andrea Belotti,59.5,61,42,68,42,64,80
Jonas Hector,69.83333333333333,70,79,79,75,65,51
Mateo Kovačić,80.16666666666667,88,73,87,79,78,76
Sergio Rico,24.5,45,17,23,23,24,15
Oleg Shatov,75.5,81,74,80,72,77,69
Jorginho,78.0,83,70,85,84,75,71
Florian Thauvin,76.5,78,80,79,75,80,67
Michy Batshuayi,60.5,63,65,64,36,61,74
Iñigo Martínez,58.666666666666664,46,51,69,77,72,37
Suso,78.0,80,81,81,75,83,68
Deulofeu,72.0,72,76,78,62,84,60
Felipe Anderson,74.66666666666667,78,79,78,74,71,68
Jasper Cillessen,31.0,60,17,47,33,10,19
Wissam Ben Yedder,75.0,76,73,77,68,80,76
Lucas Pérez,76.5,76,74,77,70,83,79
Ross Barkley,72.83333333333333,81,65,84,78,68,61
Cédric Bakambu,72.33333333333333,73,74,75,66,68,78
Bartra,63.5,75,50,79,78,56,43
André Schürrle,75.16666666666667,76,76,78,59,80,82
Roberto Pereyra,78.66666666666667,82,78,83,77,78,74
Mario Gaspar,72.0,57,79,75,69,75,77
Fabián Orellana,74.16666666666667,77,78,77,68,84,61
Lukáš Hrádecký,19.833333333333332,53,11,15,20,11,9
Daley Blind,75.66666666666667,79,75,81,80,77,62
De Marcos,70.66666666666667,66,78,77,69,77,57
Wilfried Bony,60.833333333333336,65,45,68,45,66,76
Iturraspe,70.5,81,57,86,84,68,47
Parejo,83.16666666666667,84,84,90,87,82,72
Salomón Rondón,56.333333333333336,53,48,69,40,53,75
Daniel Carriço,61.0,62,61,78,79,39,47
Bas Dost,56.666666666666664,60,38,70,37,51,84
James McCarthy,71.33333333333333,72,68,82,81,64,61
Camacho,66.33333333333333,79,50,81,74,62,52
Paulinho,72.83333333333333,75,64,81,76,66,75
Alan Dzagoev,76.83333333333333,81,77,79,76,75,73
Igor Smolnikov,69.66666666666667,76,80,80,76,49,57
Lars Stindl,78.5,80,76,83,69,79,84
Mario Balotelli,69.0,70,68,72,52,78,74
Wojciech Szczęsny,25.166666666666668,41,12,32,36,16,14
Nikola Kalinić,65.0,66,60,72,48,64,80
Mikel San José,65.33333333333333,77,47,84,83,31,70
Christian Benteke,64.16666666666667,73,58,72,48,60,74
Marco Parolo,75.66666666666667,78,70,80,83,67,76
Ljubomir Fejsa,60.333333333333336,62,50,77,74,43,56
Martín Cáceres,64.83333333333333,58,68,65,65,68,65
Georginio Wijnaldum,74.16666666666667,76,67,82,71,76,73
Federico Fazio,49.666666666666664,47,44,64,62,46,35
Simon Kjær,56.833333333333336,49,54,75,74,52,37
Loïc Rémy,67.33333333333333,71,61,75,60,66,71
Miguel Layún,73.83333333333333,71,84,79,75,68,66
Adán,25.0,35,12,34,43,11,15
Benoît Trémoulinas,73.83333333333333,70,86,81,77,82,47
Sven Bender,58.0,65,52,75,69,33,54
Mathieu Valbuena,78.33333333333333,78,78,81,79,82,72
Bojan,78.16666666666667,84,68,81,74,83,79
Augusto Fernández,72.83333333333333,82,70,82,81,65,57
Antonio Candreva,78.83333333333333,82,86,81,73,76,75
Davide Astori,46.0,46,34,68,68,33,27
Raúl García,76.33333333333333,82,77,87,85,72,55
Giovani dos Santos,73.33333333333333,70,74,73,71,73,79
Erik Lamela,79.5,81,77,83,73,83,80
Ryan Shawcross,47.333333333333336,50,33,63,69,34,35
Danny Rose,70.33333333333333,73,80,75,66,64,64
Renato Augusto,80.16666666666667,81,79,83,81,80,77
Martin Škrtel,46.5,28,39,69,67,33,43
Theo Walcott,73.0,73,77,75,65,76,72
Bacary Sagna,64.83333333333333,59,74,70,64,66,56
Dante,61.333333333333336,62,61,74,76,51,44
Salomon Kalou,73.33333333333333,75,69,78,68,72,78
André-Pierre Gignac,73.66666666666667,72,72,73,68,77,80
Lukas Podolski,77.16666666666667,78,75,77,64,80,89
Negredo,67.83333333333333,64,53,75,66,68,81
Pablo Zabaleta,66.33333333333333,66,75,72,64,68,53
Darijo Srna,83.5,86,85,85,87,86,72
Cédric Carrasso,22.166666666666668,53,11,24,22,10,13
Rubén Castro,65.33333333333333,74,60,69,45,72,72
Jérémy Mathieu,68.5,42,79,66,76,80,68
Carlos Idriss Kameni,22.0,40,12,27,29,11,13
Moyá,28.0,62,11,31,35,16,13
Rune Almenning Jarstein,24.833333333333332,37,18,34,34,10,16
Jermain Defoe,63.0,67,54,68,43,63,83
Thiago Motta,75.33333333333333,74,66,84,85,67,76
Fernando Torres,72.33333333333333,76,68,78,51,80,81
Júlio César,26.0,67,18,23,21,16,11
Didier Drogba,69.5,76,67,60,60,78,76
Danny,77.83333333333333,82,73,82,80,82,68
John Terry,54.666666666666664,59,42,66,62,44,55
Samuel Eto'o,74.83333333333333,75,69,76,71,78,80
Tiago,75.33333333333333,82,61,84,83,75,67
Gelson Martins,74.16666666666667,75,77,73,60,86,74
Leroy Sané,70.66666666666667,68,72,75,64,81,64
Julian Weigl,68.0,78,58,89,83,48,52
Nabil Fekir,75.16666666666667,76,73,78,70,80,74
Jean Michaël Seri,73.33333333333333,84,70,80,83,76,47
Williams,67.66666666666667,75,75,77,66,49,64
Marco Sportiello,22.333333333333332,44,13,32,19,14,12
Keita Baldé Diao,70.66666666666667,72,74,76,64,70,68
Nikola Maksimović,41.833333333333336,31,45,59,59,29,28
Thomas Lemar,74.66666666666667,78,78,79,70,79,64
Kingsley Coman,74.5,69,77,78,62,84,77
Alisson,28.0,65,17,27,20,19,20
Joshua Kimmich,76.5,79,79,84,80,76,61
Julian Brandt,72.83333333333333,80,74,80,68,69,66
Sofiane Boufal,71.0,73,70,76,66,71,70
Bruma,69.5,69,73,72,68,75,60
Daniele Rugani,48.666666666666664,50,40,63,59,45,35
Raphaël Guerreiro,78.16666666666667,79,79,83,74,80,74
Fabinho,66.66666666666667,70,79,76,74,71,30
Jamie Vardy,63.833333333333336,72,63,66,48,59,75
Hakim Ziyech,81.83333333333333,88,84,77,75,90,77
Emil Forsberg,73.33333333333333,81,70,80,68,74,67
Saúl,66.83333333333333,76,69,85,78,63,30
Felipe,45.333333333333336,43,45,62,50,32,40
Taras Stepanenko,66.16666666666667,69,61,81,77,53,56
Luke Shaw,67.16666666666667,65,78,75,64,63,58
Leo Baptistao,68.83333333333333,69,69,76,55,70,74
Antonio Rüdiger,54.666666666666664,57,68,70,65,34,34
Matija Nastasić,49.666666666666664,55,46,69,67,29,32
Denis Suárez,78.5,81,77,84,79,82,68
Kurt Zouma,55.833333333333336,57,54,62,56,59,47
John Brooks,48.833333333333336,57,36,70,69,30,31
Héctor Bellerín,62.333333333333336,63,74,74,59,63,41
Thorgan Hazard,77.16666666666667,81,75,79,71,80,77
Davy Klaassen,72.5,75,63,80,75,62,80
Valère Germain,75.0,78,75,78,64,76,79
Paul-Georges Ntep,74.0,71,77,75,70,77,74
Layvin Kurzawa,74.0,75,83,81,71,73,61
Rafinha,77.16666666666667,80,72,86,74,75,76
Jeison Murillo,52.333333333333336,54,56,61,61,38,44
Riccardo Saponara,77.66666666666667,84,76,83,78,80,65
Djibril Sidibé,68.83333333333333,69,79,76,70,77,42
Nacho Fernández,58.666666666666664,53,70,75,61,55,38
Josip Iličić,78.83333333333333,82,78,82,74,77,80
Kevin Volland,76.5,80,78,81,67,79,74
Allan,71.0,79,70,80,76,65,56
Pablo Hernández,73.5,81,54,82,80,75,69
Sergi Roberto,73.16666666666667,80,81,85,77,70,46
Wilfried Zaha,64.83333333333333,72,78,71,63,54,51
Manolo Gabbiadini,71.83333333333333,72,70,74,64,78,73
Josuha Guilavogui,60.0,65,52,77,75,42,49
Patrick Herrmann,74.33333333333333,77,79,78,64,74,74
Sebastián Coates,47.833333333333336,43,17,69,72,26,60
Oğuzhan Özyakup,80.33333333333333,83,77,84,83,83,72
Yaroslav Rakitskyi,72.16666666666667,75,68,78,84,75,53
Phil Jones,60.5,59,64,75,67,38,60
Adrián,20.166666666666668,32,12,21,32,12,12
Neto,24.5,40,11,36,36,12,12
Hugo Mallo,65.33333333333333,64,84,70,68,78,28
Daniel Didavi,74.66666666666667,70,75,78,74,78,73
Younès Belhanda,78.33333333333333,81,79,83,80,78,69
Oliver Baumann,22.166666666666668,41,14,30,25,12,11
Mário Fernandes,68.5,69,76,78,70,66,52
Roberto Soriano,79.16666666666667,83,76,84,78,79,75
Jesús Corona,73.66666666666667,77,69,74,68,85,69
Maxime Gonalons,66.33333333333333,65,61,79,76,57,60
Alphonse Areola,26.5,34,20,41,32,16,16
Yunus Mallı,75.5,80,76,79,74,75,69
Eduardo Salvio,73.0,70,77,74,70,75,72
Stephan El Shaarawy,71.83333333333333,73,70,74,57,80,77
Iago Falqué,76.16666666666667,78,78,80,72,80,69
Marwin Hitz,20.333333333333332,15,12,29,25,15,26
Thimothée Kolodziejczak,57.166666666666664,58,63,71,66,59,26
Francis Coquelin,63.0,70,60,78,72,55,43
Marcel Schmelzer,65.33333333333333,52,79,74,66,74,47
Ryad Boudebouz,78.0,79,82,81,76,79,71
Ganso,82.5,87,83,86,84,80,75
Fedor Smolov,71.16666666666667,75,56,77,62,78,79
Christian Noboa,76.83333333333333,81,78,83,80,76,63
Kwadwo Asamoah,76.33333333333333,76,76,79,79,72,76
Ron-Robert Zieler,20.666666666666668,39,15,25,22,11,12
Danny Welbeck,69.83333333333333,72,69,77,64,61,76
Danny Drinkwater,73.0,77,64,81,83,70,63
Aleksandar Kolarov,77.5,76,90,73,77,85,64
Matteo Darmian,67.16666666666667,63,71,75,66,69,59
Ibrahima Traoré,73.83333333333333,76,80,76,74,84,53
Diego Perotti,74.33333333333333,84,79,82,69,72,60
Angelo Ogbonna,52.833333333333336,50,51,68,67,51,30
Max Kruse,79.33333333333333,82,81,83,76,75,79
Konstantinos Mitroglou,67.66666666666667,67,60,67,59,73,80
Nordin Amrabat,75.33333333333333,78,78,79,67,77,73
Stevan Jovetić,76.0,78,72,78,64,85,79
Jeremain Lens,76.33333333333333,77,83,79,63,71,85
Branislav Ivanović,61.833333333333336,57,72,68,56,70,48
Eder,73.33333333333333,78,72,76,58,80,76
Kiko Casilla,29.666666666666668,52,24,30,24,25,23
Nacho Monreal,68.66666666666667,66,78,77,61,74,56
Serdar Tasci,58.0,57,50,76,78,37,50
Marcelo Díaz,77.33333333333333,76,74,84,81,83,66
André Ayew,73.83333333333333,75,80,78,71,74,65
Winston Reid,43.166666666666664,44,28,62,62,33,30
Lucas Leiva,65.83333333333333,69,63,77,73,66,47
Kevin-Prince Boateng,78.66666666666667,76,75,80,77,81,83
Héctor Moreno,59.0,59,50,74,68,48,55
Cristian Ansaldi,68.0,70,78,75,72,62,51
Daniel Wass,77.5,80,78,82,77,79,69
Coke,66.0,60,81,76,66,70,43
Andrés Guardado,76.33333333333333,80,73,84,82,70,69
Jonathan dos Santos,80.16666666666667,83,83,84,78,80,73
Ryan Bertrand,65.5,51,79,76,70,74,43
Jardel,44.0,51,46,57,53,30,27
Salvatore Sirigu,22.166666666666668,46,13,23,28,11,12
Yohan Cabaye,76.5,78,72,81,78,77,73
Vitaliy Denisov,65.0,63,73,67,65,65,57
Dušan Basta,70.0,56,78,76,74,72,64
Gustavo Cabral,46.333333333333336,49,35,74,59,33,28
Gabriel Paletta,40.166666666666664,18,30,55,60,48,30
Łukasz Fabiański,25.5,52,14,20,32,18,17
Ben Foster,25.666666666666668,42,15,36,32,15,14
Vedad Ibišević,69.66666666666667,73,65,76,47,73,84
Andreas Granqvist,51.833333333333336,49,49,73,67,36,37
