Name,Pace,Acceleration,Speed
Marco Asensio,79.5,81,78
Bernardo Silva,79.5,82,77
Islam Slimani,72.5,69,76
Jonathan Tah,71.5,65,78
Anthony Martial,91.5,92,91
Dele Alli,76.5,77,76
Ederson,63.0,64,62
Mohamed Salah,92.0,92,92
Sadio Mané,93.0,94,92
Lucas Vázquez,83.5,86,81
Franco Vázquez,64.5,62,67
Manu Trigueros,74.0,75,73
Samuel Umtiti,74.5,74,75
Stefan Savić,62.5,60,65
Roque Mesa,78.5,79,78
Loris Karius,50.5,51,50
Alessandro Florenzi,85.0,86,84
Virgil van Dijk,75.0,74,76
Jack Butland,48.0,51,45
Morata,83.0,80,86
Lucas,93.0,95,91
Yevhen Konoplyanka,88.5,89,88
Francesco Acerbi,64.5,65,64
Nolito,77.5,79,76
Granit Xhaka,51.0,48,54
Stefan de Vrij,69.0,69,69
Jonathan Viera,82.0,87,77
Pizzi,79.5,83,76
Serge Aurier,84.5,84,85
Grzegorz Krychowiak,68.0,65,71
Kevin Kampl,80.5,86,75
Dejan Lovren,59.5,61,58
Gary Medel,76.5,77,76
Idrissa Gueye,78.5,80,77
Víctor Ruíz,59.5,57,62
Ricardo Rodríguez,73.5,73,74
Xherdan Shaqiri,86.5,89,84
Ciro Immobile,82.0,79,85
Nathaniel Clyne,86.0,86,86
Iborra,54.0,54,54
Jack Wilshere,75.5,78,73
Shinji Kagawa,74.5,83,66
Kevin Trapp,48.5,45,52
Taison,92.0,93,91
Kyle Walker,90.0,87,93
Marlos,83.5,85,82
Luiz Gustavo,67.5,68,67
Giuliano,81.0,83,79
Gylfi Sigurðsson,68.0,67,69
Yacine Brahimi,80.5,86,75
Marko Arnautović,78.0,78,78
Jordan Henderson,74.5,76,73
Orestis Karnezis,39.0,44,34
Mamadou Sakho,61.5,55,68
Adil Rami,58.5,54,63
Fernando Néstor Muslera,61.0,60,62
Vedran Ćorluka,57.0,49,65
Edin Džeko,66.5,68,65
Séamus Coleman,79.0,79,79
Javier Hernández,82.5,86,79
Beñat,60.0,65,55
Lars Bender,67.5,66,69
Axel Witsel,70.5,67,74
Morgan Schneiderlin,67.5,69,66
Kevin Mirallas,86.5,87,86
Carlos Vela,85.0,87,83
Emiliano Viviano,31.5,30,33
Antonio Valencia,86.0,87,85
Gonzalo Castro,74.0,76,72
Falcao,71.5,75,68
Diego Alves,54.5,55,54
Andrea Consigli,41.0,48,34
João Moutinho,71.0,75,67
Moussa Dembélé,77.5,78,77
Michael Krohn-Dehli,69.5,70,69
Loïc Perrin,69.5,67,72
Lucas Biglia,71.5,74,69
Benoît Costil,51.0,49,53
Raúl Albiol,61.0,60,62
Mario Gómez,71.5,68,75
Gabi,63.5,62,65
Diego López,43.0,34,52
Raffael,74.5,77,72
Alejandro Gómez,90.0,94,86
Gonzalo Rodríguez,68.0,68,68
Vincent Enyeama,52.0,50,54
Kaká,68.0,67,69
Fernandinho,77.0,77,77
David Villa,73.5,75,72
Victor Valdés,42.0,39,45
Per Mertesacker,27.0,26,28
Patrice Evra,76.0,79,73
Xabi Alonso,32.5,32,33
Michael Carrick,52.5,53,52
Andrea Pirlo,40.0,47,33
Casillas,58.0,59,57
Ousmane Dembélé,92.0,93,91
Corentin Tolisso,74.5,74,75
Marcelo Brozović,75.0,75,75
Federico Bernardeschi,83.0,83,83
Niklas Süle,59.5,51,68
Domenico Berardi,85.0,85,85
Morgan Sanson,77.0,77,77
Samu Castillejo,87.0,87,87
Adrien Rabiot,71.5,73,70
Leon Goretzka,80.5,77,84
Quincy Promes,88.5,86,91
Andrea Belotti,81.0,80,82
Jonas Hector,76.5,76,77
Mateo Kovačić,82.0,86,78
Sergio Rico,51.5,50,53
Oleg Shatov,87.5,85,90
Jorginho,77.0,77,77
Florian Thauvin,81.0,84,78
Michy Batshuayi,82.5,81,84
Iñigo Martínez,71.5,71,72
Suso,81.5,82,81
Deulofeu,90.5,89,92
Felipe Anderson,92.5,94,91
Jasper Cillessen,52.0,54,50
Wissam Ben Yedder,85.0,86,84
Lucas Pérez,78.0,78,78
Ross Barkley,80.0,80,80
Cédric Bakambu,87.5,87,88
Bartra,77.0,78,76
André Schürrle,86.5,87,86
Roberto Pereyra,81.0,81,81
Mario Gaspar,82.5,81,84
Fabián Orellana,83.0,86,80
Lukáš Hrádecký,40.5,37,44
Daley Blind,61.5,65,58
De Marcos,88.0,85,91
Wilfried Bony,72.0,69,75
Iturraspe,59.5,58,61
Parejo,55.5,56,55
Salomón Rondón,76.5,76,77
Daniel Carriço,58.5,57,60
Bas Dost,60.0,54,66
James McCarthy,72.0,75,69
Camacho,61.5,64,59
Paulinho,77.0,76,78
Alan Dzagoev,76.5,78,75
Igor Smolnikov,87.0,84,90
Lars Stindl,70.5,73,68
Mario Balotelli,77.0,76,78
Wojciech Szczęsny,45.0,50,40
Nikola Kalinić,73.5,69,78
Mikel San José,49.0,44,54
Christian Benteke,77.0,75,79
Marco Parolo,72.5,69,76
Ljubomir Fejsa,52.5,52,53
Martín Cáceres,81.0,79,83
Georginio Wijnaldum,82.0,79,85
Federico Fazio,32.5,33,32
Simon Kjær,64.5,60,69
Loïc Rémy,86.5,87,86
Miguel Layún,82.5,82,83
Adán,55.0,55,55
Benoît Trémoulinas,82.0,82,82
Sven Bender,65.5,64,67
Mathieu Valbuena,83.5,85,82
Bojan,77.0,79,75
Augusto Fernández,69.0,67,71
Antonio Candreva,80.0,79,81
Davide Astori,68.0,67,69
Raúl García,58.0,55,61
Giovani dos Santos,86.5,87,86
Erik Lamela,79.0,81,77
Ryan Shawcross,54.0,54,54
Danny Rose,82.5,81,84
Renato Augusto,67.5,66,69
Martin Škrtel,61.0,54,68
Theo Walcott,92.5,92,93
Bacary Sagna,74.5,75,74
Dante,54.0,53,55
Salomon Kalou,75.0,76,74
André-Pierre Gignac,73.5,75,72
Lukas Podolski,78.0,79,77
Negredo,64.5,64,65
Pablo Zabaleta,67.5,67,68
Darijo Srna,75.0,69,81
Cédric Carrasso,40.0,38,42
Rubén Castro,78.5,80,77
Jérémy Mathieu,71.0,67,75
Carlos Idriss Kameni,44.5,44,45
Moyá,40.0,46,34
Rune Almenning Jarstein,43.0,40,46
Jermain Defoe,77.5,78,77
Thiago Motta,41.5,42,41
Fernando Torres,77.0,76,78
Júlio César,41.0,39,43
Didier Drogba,64.0,64,64
Danny,83.0,83,83
John Terry,33.5,33,34
Samuel Eto'o,74.0,73,75
Tiago,54.5,54,55
Gelson Martins,93.0,93,93
Leroy Sané,91.5,92,91
Julian Weigl,71.5,74,69
Nabil Fekir,81.5,81,82
Jean Michaël Seri,78.5,79,78
Williams,93.5,92,95
Marco Sportiello,43.0,48,38
Keita Baldé Diao,91.0,90,92
Nikola Maksimović,66.0,63,69
Thomas Lemar,83.5,85,82
Kingsley Coman,93.5,94,93
Alisson,39.5,44,35
Joshua Kimmich,71.0,75,67
Julian Brandt,82.0,81,83
Sofiane Boufal,85.5,86,85
Bruma,93.0,94,92
Daniele Rugani,64.0,61,67
Raphaël Guerreiro,79.5,84,75
Fabinho,74.5,74,75
Jamie Vardy,93.0,94,92
Hakim Ziyech,73.5,75,72
Emil Forsberg,75.5,79,72
Saúl,73.5,74,73
Felipe,69.0,64,74
Taras Stepanenko,67.5,71,64
Luke Shaw,85.5,83,88
Leo Baptistao,80.0,79,81
Antonio Rüdiger,77.0,76,78
Matija Nastasić,70.0,66,74
Denis Suárez,81.0,82,80
Kurt Zouma,73.0,69,77
John Brooks,73.5,69,78
Héctor Bellerín,95.0,96,94
Thorgan Hazard,81.5,86,77
Davy Klaassen,72.5,72,73
Valère Germain,78.5,78,79
Paul-Georges Ntep,90.0,90,90
Layvin Kurzawa,79.0,82,76
Rafinha,75.0,76,74
Jeison Murillo,77.0,76,78
Riccardo Saponara,76.0,74,78
Djibril Sidibé,81.5,80,83
Nacho Fernández,73.0,74,72
Josip Iličić,72.0,69,75
Kevin Volland,77.5,78,77
Allan,77.5,79,76
Pablo Hernández,72.5,74,71
Sergi Roberto,78.5,78,79
Wilfried Zaha,89.0,89,89
Manolo Gabbiadini,79.0,79,79
Josuha Guilavogui,69.5,66,73
Patrick Herrmann,87.5,87,88
Sebastián Coates,58.0,50,66
Oğuzhan Özyakup,75.5,76,75
Yaroslav Rakitskyi,71.5,69,74
Phil Jones,61.5,55,68
Adrián,45.0,46,44
Neto,51.0,53,49
Hugo Mallo,75.5,75,76
Daniel Didavi,77.0,76,78
Younès Belhanda,75.0,77,73
Oliver Baumann,49.0,47,51
Mário Fernandes,81.0,79,83
Roberto Soriano,78.5,79,78
Jesús Corona,82.5,86,79
Maxime Gonalons,67.5,68,67
Alphonse Areola,53.0,54,52
Yunus Mallı,77.5,79,76
Eduardo Salvio,90.5,91,90
Stephan El Shaarawy,86.5,86,87
Iago Falqué,80.0,81,79
Marwin Hitz,43.5,41,46
Thimothée Kolodziejczak,71.0,68,74
Francis Coquelin,69.5,69,70
Marcel Schmelzer,77.0,75,79
Ryad Boudebouz,76.5,77,76
Ganso,35.0,36,34
Fedor Smolov,85.5,86,85
Christian Noboa,73.0,73,73
Kwadwo Asamoah,81.0,81,81
Ron-Robert Zieler,48.0,46,50
Danny Welbeck,86.0,87,85
Danny Drinkwater,68.0,68,68
Aleksandar Kolarov,67.5,69,66
Matteo Darmian,80.0,80,80
Ibrahima Traoré,88.5,92,85
Diego Perotti,82.0,85,79
Angelo Ogbonna,71.5,70,73
Max Kruse,72.5,74,71
Konstantinos Mitroglou,57.5,53,62
Nordin Amrabat,86.0,87,85
Stevan Jovetić,79.5,78,81
Jeremain Lens,87.5,86,89
Branislav Ivanović,64.5,63,66
Eder,85.0,86,84
Kiko Casilla,40.5,32,49
Nacho Monreal,75.0,75,75
Serdar Tasci,66.5,67,66
Marcelo Díaz,61.5,65,58
André Ayew,78.0,78,78
Winston Reid,72.5,71,74
Lucas Leiva,54.0,55,53
Kevin-Prince Boateng,74.0,75,73
Héctor Moreno,67.0,67,67
Cristian Ansaldi,81.0,79,83
Daniel Wass,75.5,75,76
Coke,70.5,68,73
Andrés Guardado,77.5,78,77
Jonathan dos Santos,71.5,72,71
Ryan Bertrand,80.0,81,79
Jardel,60.5,55,66
Salvatore Sirigu,50.5,50,51
Yohan Cabaye,67.0,66,68
Vitaliy Denisov,83.0,86,80
Dušan Basta,78.5,79,78
Gustavo Cabral,51.5,52,51
Gabriel Paletta,55.0,55,55
Łukasz Fabiański,48.5,50,47
Ben Foster,49.0,50,48
Vedad Ibišević,59.0,54,64
Andreas Granqvist,47.5,46,49
Héctor Herrera,75.5,74,77
Igor Akinfeev,50.5,51,50
Fernando Belluschi,69.5,69,70
Andriy Pyatov,44.0,44,44
Antonio Mirante,43.5,44,43
Federico Marchetti,52.5,55,50
James Milner,70.0,71,69
Michel Vorm,57.5,57,58
Daniel Baier,61.0,64,58
Atiba Hutchinson,71.5,68,75
Mehmet Topal,67.5,67,68
Bastian Schweinsteiger,51.0,50,52
René Adler,41.5,46,37
Jérémy Toulalan,48.0,49,47
Phil Jagielka,62.0,60,64
Stefano Sorrentino,37.0,33,41
Robin van Persie,65.0,66,64
Gareth Barry,33.0,32,34
Francesco Totti,38.5,43,34
Gianluigi Donnarumma,48.0,46,50
Nélson Semedo,91.0,90,92
Florin Andone,80.0,81,79
Sergej Milinković-Savić,72.0,69,75
Omar Al Soma,77.5,79,76
Petros,74.5,74,75
Victor Nilsson Lindelöf,67.0,66,68
Naby Keïta,77.0,82,72
Tiémoué Bakayoko,71.5,71,72
Mahmoud Dahoud,71.5,78,65
Rúben Semedo,72.0,68,76
Rafa,91.5,91,92
Dani García,52.5,58,47
Lisandro López,66.5,64,69
Ángel Correa,83.0,86,80
Andreas Christensen,66.0,64,68
Nabil Bentaleb,67.0,68,66
Stanislav Kritsyuk,48.0,49,47
Divock Origi,86.0,87,85
Max Meyer,75.0,82,68
Gayà,86.5,85,88
Marco Benassi,69.0,69,69
Pedro Santos,92.5,92,93
Elseid Hysaj,81.5,79,84
João Cancelo,92.5,93,92
Alessio Romagnoli,67.0,65,69
Piotr Zieliński,83.0,83,83
Bruno Peres,90.5,89,92
Ricardo Pereira,88.0,88,88
Óliver Torres,72.0,76,68
Filip Kostić,89.0,89,89
Emre Can,74.5,72,77
Matthias Ginter,63.5,54,73
Luciano Vietto,76.5,78,75
Arrizabalaga,33.5,34,33
Maximilian Arnold,67.0,67,67
Alassane Pléa,81.5,81,82
Denis Cheryshev,82.5,81,84
Edin Višća,89.0,91,87
Bernard,89.0,94,84
Daniele Baselli,72.0,72,72
Arkadiusz Milik,74.0,73,75
Bernat,79.5,84,75
Šime Vrsaljko,82.5,82,83
Eric Botteghin,36.0,38,34
John Stones,75.0,75,75
Jannik Vestergaard,46.5,47,46
Simone Zaza,77.5,77,78
Sergi Darder,59.0,63,55
Fernando,76.5,77,76
Memphis Depay,90.0,91,89
Jesé,86.5,90,83
Thomas Meunier,76.5,72,81
Eric Dier,60.5,55,66
Federico Fernández,53.5,54,53
Nicola Sansone,85.0,86,84
Gastón Ramírez,74.0,76,72
Faouzi Ghoulam,80.5,77,84
Gabriel,70.0,68,72
Vladimír Darida,69.5,74,65
Cédric,83.0,83,83
Lorenzo Tonelli,76.0,75,77
Benjamin Lecomte,42.0,44,40
Lucas Digne,81.5,81,82
Paco Alcácer,73.5,74,73
Heung Min Son,85.5,85,86
Vicente Gómez,53.0,51,55
Emre Çolak,74.5,78,71
André André,73.5,74,73
Dušan Tadić,71.0,72,70
Danilo,79.5,77,82
Pablo Sarabia,77.5,77,78
Alex Oxlade-Chamberlain,89.0,89,89
Marco Höger,60.0,61,59
Florian Lejeune,53.5,49,58
Giannelli Imbula,77.0,79,75
Nicolás Lodeiro,72.0,75,69
Daniel Caligiuri,81.0,84,78
Jeffrey Bruma,65.5,62,69
Willian José,66.0,64,68
Wahbi Khazri,75.5,74,77
Keko,80.5,82,79
Gil,62.0,53,71
Martin Braithwaite,84.5,82,87
Jaume Costa,84.5,84,85
Romain Hamouma,79.0,79,79
Escudero,77.0,74,80
Marcos Alonso,79.0,76,82
Holger Badstuber,47.5,45,50
Osvaldo Alonso,78.0,79,77
Juraj Kucka,69.0,69,69
Jeroen Zoet,51.0,57,45
Illarramendi,61.5,65,58
Adem Ljajić,81.0,83,79
Eliaquim Mangala,74.0,71,77
Canales,64.0,65,63
Balenziaga,76.0,75,77
Rafael,81.5,84,79
Sebastian Rudy,71.0,74,68
Jonathas,74.5,72,77
Aleksandar Dragović,71.5,69,74
Manuel Lanzini,82.0,85,79
Victor Wanyama,65.5,62,69
Alfred N'Diaye,71.5,66,77
Nicolas Nkoulou,74.0,73,75
Volkan Babacan,55.0,49,61
Seydou Doumbia,91.0,90,92
Pavel Mamaev,82.5,81,84
Artem Dzyuba,71.0,69,73
Maurício,69.0,69,69
Yann M'Vila,75.5,79,72
Kieran Gibbs,81.0,79,83
Mariano,84.0,86,82
Sofiane Feghouli,87.5,86,89
Fernando,67.0,66,68
Claudio Yacob,53.0,55,51
Roberto,46.5,45,48
Moussa Sissoko,80.5,79,82
Maximiliano Pereira,76.5,77,76
Sidnei,55.0,51,59
William Vainqueur,72.0,75,69
Miguel Veloso,64.5,68,61
Fabricio,64.5,66,63
Vieirinha,79.5,83,76
Fabian Johnson,86.5,84,89
Demba Ba,73.5,72,75
Bryan Ruíz,68.5,68,69
Marcus Berg,74.5,74,75
Pontus Wernbloom,56.0,54,58
David Ospina,34.0,34,34
Ignacio Piatti,77.5,80,75
Valter Birsa,75.0,74,76
Matías Fernández,77.0,79,75
Marcano,69.0,67,71
Simon Mignolet,57.0,55,59
Sergio Romero,45.5,47,44
Domenico Criscito,77.5,78,77
Castán,67.0,65,69
Moussa Sow,85.5,86,85
Diego Valeri,68.0,69,67
Nuri Şahin,54.5,59,50
Jonny Evans,68.0,69,67
Danilo,55.0,55,55
Nicolás Pareja,46.5,52,41
Ştefan Radu,75.0,75,75
Nicolas Lombaerts,40.5,33,48
Giuseppe Rossi,82.5,83,82
Llorente,54.5,52,57
Bafétimbi Gomis,68.0,66,70
Mathieu Debuchy,73.5,75,72
Ibrahim Afellay,77.5,78,77
Jefferson Farfán,82.5,82,83
Manuel Fernandes,79.5,83,76
Scott Dann,51.5,49,54
Clint Dempsey,69.0,69,69
Michael Bradley,69.0,69,69
Yoann Gourcuff,68.0,68,68
Hilton,59.0,54,64
Pablo Batalla,73.0,74,72
Gaël Clichy,81.5,80,83
Klaas-Jan Huntelaar,65.5,64,67
Luisão,35.0,32,38
Vasiliy Berezutskiy,55.5,52,59
Igor Denisov,73.0,73,73
Alexandr Samedov,80.5,81,80
Jesús Navas,88.5,89,88
Xabi Prieto,54.0,53,55
Javi Fuego,58.5,61,56
Marcelo Barovero,35.0,35,35
Lisandro López,77.5,75,80
Guillermo Ochoa,48.5,47,50
Bruno Alves,58.5,62,55
Burak Yılmaz,82.5,83,82
Diego Benaglio,43.0,42,44
Zoran Tošić,80.0,82,78
Maxwell,72.5,71,74
Kim Källström,52.5,54,51
Tim Howard,49.0,50,48
Denys Boyko,48.5,49,48
Marcus Rashford,91.0,92,90
Miguel Almirón,89.0,90,88
Gabriel Jesus,86.5,88,85
Oyarzabal,72.5,72,73
André Silva,81.5,78,85
Soares,83.5,83,84
Nemanja Radoja,55.5,58,53
Marcos Acuña,84.5,85,84
Jorge Meré,70.0,72,68
Jony,85.5,87,84
Antonio Sanabria,82.0,81,83
Cheikh N'Doye,58.0,56,60
José Izquierdo,93.5,94,93
Gonzalo Escalante,66.0,64,68
Theo Bongonda,84.0,85,83
Sebastián Torrico,48.5,48,49
Morales,89.0,90,88
Wendell,86.5,87,86
Andrej Kramarić,73.5,78,69
Davide Zappacosta,82.0,79,85
Jemerson,67.5,70,65
Lucas Alario,71.5,73,70
Duván Zapata,73.5,69,78
Wylan Cyprien,80.0,80,80
Diego Llorente,61.5,60,63
Alex Telles,83.0,82,84
Timo Werner,91.0,92,90
André Hahn,78.0,70,86
Paulo Oliveira,67.0,66,68
Rachid Ghezzal,78.0,79,77
Grimaldo,86.5,87,86
Kevin Wimmer,67.0,64,70
Tiago Volpi,58.5,59,58
Joël Veltman,66.5,64,69
Sead Kolašinac,79.0,74,84
Guido Pizarro,58.5,60,57
Michael Keane,69.5,72,67
Jesse Lingard,84.5,85,84
Bigas,72.5,72,73
Vlad Chiricheş,68.5,68,69
Ben Davies,78.0,79,77
Carlos Sánchez,88.5,88,89
Santiago Gentiletti,69.0,69,69
Takashi Inui,83.0,87,79
Raúl Jiménez,77.5,77,78
Joel Campbell,88.0,89,87
Mário Rui,86.0,88,84
M'Baye Niang,88.5,85,92
Christoph Kramer,53.5,53,54
Konstantinos Fortounis,75.0,73,77
Joãozinho,91.5,91,92
André Carrillo,86.5,87,86
Rodrigo Moledo,65.5,64,67
Johannes Geis,53.5,53,54
Salif Sané,66.0,64,68
Milan Badelj,62.0,60,64
Agustín Marchesín,50.5,49,52
Łukasz Teodorczyk,76.0,75,77
Nacer Chadli,77.0,76,78
Cristian Tello,92.5,94,91
Bruno,42.5,34,51
Sebastian Rode,70.5,75,66
Nicolai Jørgensen,77.0,76,78
John Guidetti,65.5,65,66
Bruno Martins Indi,60.5,58,63
Jordy Clasie,66.5,68,65
Charles Aránguiz,75.5,78,73
Mathew Ryan,44.5,44,45
Rogelio Funes Mori,80.0,83,77
Aymen Abdennour,66.0,63,69
Mexer,68.5,68,69
Enzo Pérez,70.5,74,67
Teófilo Gutiérrez,66.5,66,67
Dorlan Pabón,88.0,90,86
Charlie Austin,70.0,66,74
Borja Bastón,62.5,58,67
Sergi Enrich,63.5,60,67
Hernán Pérez,80.5,82,79
Thomas Delaney,72.5,71,74
Davy Pröpper,68.5,66,71
Cenk Tosun,73.5,74,73
Koen Casteels,45.0,44,46
Emanuele Giaccherini,79.0,84,74
Allan Nyom,77.0,76,78
Kevin Vogt,71.0,66,76
Fontàs,32.5,33,32
Lamine Sané,67.0,66,68
Gökhan Töre,85.5,85,86
Fredy Montero,74.5,75,74
Celso Borges,60.5,59,62
Michail Antonio,88.5,88,89
Etxeita,56.0,52,60
Julian Baumgartlinger,71.0,69,73
Mehmet Ekici,75.0,75,75
Muniain,82.5,86,79
Susaeta,74.5,75,74
Etrit Berisha,28.0,28,28
Yannick Bolasie,89.0,89,89
Miguel Lopes,77.0,77,77
Senad Lulić,79.5,78,81
Rochina,72.0,75,69
Omar El Kaddouri,74.0,73,75
Denis Glushakov,69.5,71,68
Carlos Zambrano,66.5,65,68
Mame Diouf,87.5,88,87
Onur Kıvrak,64.5,64,65
Jefferson Montero,90.5,91,90
Keisuke Honda,76.5,77,76
Bernardo Espinosa,63.5,61,66
Marco Fabián,72.5,76,69
Ivelin Popov,79.0,80,78
Joe Allen,65.0,67,63
Romain Thomas,61.5,61,62
Mehdi Carcela-González,84.5,87,82
Sandro Wagner,59.5,54,65
Pablo Piatti,83.5,88,79
Eric Maxim Choupo-Moting,77.5,77,78
Sebastian Langkamp,59.5,55,64
Neven Subotić,70.0,67,73
Fabian Delph,78.0,79,77
Raúl Bobadilla,72.5,69,76
Troy Deeney,69.0,69,69
Håvard Nordtveit,63.5,63,64
Balázs Dzsudzsák,77.0,78,76
Andy Carroll,67.0,69,65
Bořek Dočkal,68.5,68,69
Marek Suchý,76.0,73,79
Luiz Adriano,78.0,78,78
Guilherme,38.5,37,40
Ki Sung Yueng,66.0,64,68
Ruud Vormer,65.5,65,66
